,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 1 CR down,3.0622393862438936e-31,10.823701185495118,760.4839760069518,"['CYFIP2', 'ENO2', 'GLS', 'HK1', 'ATCAY', 'NPTN', 'DNM1L', 'IDH3A', 'NSF', 'ATP6V1G2', 'SLC6A17', 'TMOD2', 'SYP', 'ATP1B1', 'SCAMP1', 'SYNGR3', 'TUBA4A', 'DNM1', 'SYN1', 'STX1B', 'VSNL1', 'DNAJC6', 'MAP1A', 'ATP6V1B2', 'AMPH', 'SLC25A12', 'INA', 'ATP6V1A', 'CAMK2B', 'NAPB', 'STXBP1', 'ATP1A3', 'PDXP', 'GNG3', 'DPP6', 'SYNGR1', 'GNG2', 'NCDN', 'ATP6V0A1', 'PACSIN1', 'CADM3', 'TMEM30A', 'GOT1', 'CADM2', 'ATP2B2', 'TUBB4A', 'SNAP91', 'GNAO1', 'SYNJ1', 'GNAQ', 'VPS41', 'CNTN1']",1.3014517391536547e-28,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 364 Oligo down,2.337393450097834e-28,10.921419393100722,694.8572471031168,"['CYFIP2', 'ATP6V1A', 'NAPB', 'SNAP25', 'CNTNAP2', 'NDRG4', 'RAB3A', 'STXBP1', 'CISD1', 'CEND1', 'GLS', 'GNG3', 'PCSK1N', 'SYNGR1', 'ATCAY', 'BASP1', 'EPB41L3', 'NPTN', 'NCDN', 'ATP6V1E1', 'DNM1L', 'ATP6V1D', 'SH3GL2', 'SNCA', 'ATP6V0A1', 'YWHAH', 'NSF', 'ATP6V1G2', 'SYT1', 'MDH1', 'TPM3', 'SYP', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'OXR1', 'SNAP91', 'DNM1', 'SYN1', 'SYNJ1', 'DNAJC6', 'VPS41', 'ATP6V1B2', 'AMPH', 'SLC25A12', 'VAMP2']",4.9669610814578973e-26,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 56 Vip down,1.5413866551149957e-24,20.893692416725727,1145.5877789663114,"['CAMK2B', 'ENO2', 'PHYHIP', 'GLS', 'CAMKV', 'EPB41L3', 'NCDN', 'WASF1', 'SH3GL2', 'PACSIN1', 'IDH3A', 'DMTN', 'TMEM30A', 'SLC6A17', 'GOT1', 'TMOD2', 'ATP2B2', 'ATP2B1', 'SCAMP1', 'TUBB4A', 'TUBA4A', 'DNM1', 'SYN1', 'STX1B', 'VSNL1', 'MAP1A', 'INA']",2.1836310947462437e-22,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 365 Oligo down,5.83328483750905e-24,9.715630235537597,519.7712745072694,"['CYFIP2', 'ATP6V1A', 'NAPB', 'SNAP25', 'CNTNAP2', 'NDRG4', 'RAB3A', 'STXBP1', 'CEND1', 'GLS', 'GNG3', 'PCSK1N', 'SYNGR1', 'ATCAY', 'NPTN', 'TNR', 'NCDN', 'ATP6V1E1', 'DNM1L', 'ATP6V1D', 'SH3GL2', 'ATP6V0A1', 'YWHAH', 'NSF', 'ATP6V1G2', 'SYT1', 'MDH1', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'OXR1', 'SNAP91', 'DNM1', 'SYN1', 'SYNJ1', 'DNAJC6', 'GNAQ', 'VPS41', 'ATP6V1B2', 'SLC25A12', 'VAMP2']",5.20654649226946e-22,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 363 Oligo down,6.1253488144346596e-24,8.606675687866487,460.02342902843645,"['CYFIP2', 'ATP6V1A', 'SNAP25', 'CNTNAP2', 'NDRG4', 'RAB3A', 'STXBP1', 'CISD1', 'ATP1A3', 'PDXP', 'CEND1', 'GLS', 'GNG3', 'PCSK1N', 'SYNGR1', 'ATCAY', 'BASP1', 'FTH1', 'NPTN', 'NRCAM', 'NCDN', 'ATP6V1E1', 'DNM1L', 'ATP6V1D', 'SH3GL2', 'SNCA', 'ATP6V0A1', 'YWHAH', 'NSF', 'CADM3', 'SYT1', 'TMOD2', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'OXR1', 'YWHAZ', 'SNAP91', 'SYNJ1', 'VSNL1', 'GNAQ', 'VPS41', 'ATP6V1B2', 'AMPH', 'VAMP2']",5.20654649226946e-22,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 57 Vip down,9.820621285192386e-22,17.079796492167628,826.1905370418311,"['CAMK2B', 'ENO2', 'PHYHIP', 'GLS', 'UCHL1', 'EPB41L3', 'NRCAM', 'NCDN', 'TPPP', 'DNM1L', 'ATP6V1D', 'SH3GL2', 'CADM3', 'TMEM30A', 'SLC6A17', 'GOT1', 'TMOD2', 'SCAMP1', 'TUBB4A', 'TUBA4A', 'DNM1', 'SYN1', 'STX1B', 'MAP1A', 'ATP6V1B2', 'INA']",6.956273410344606e-20,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 367 Oligo down,3.202506256494735e-21,8.320451584889275,392.64504944435015,"['CYFIP2', 'ATP6V1A', 'NAPB', 'SNAP25', 'CNTNAP2', 'NDRG4', 'RAB3A', 'STXBP1', 'CEND1', 'GLS', 'GNG3', 'PCSK1N', 'DPP6', 'SYNGR1', 'NPTN', 'NCDN', 'ATP6V1E1', 'DNM1L', 'ATP6V1D', 'SH3GL2', 'ATP6V0A1', 'YWHAH', 'NSF', 'ATP6V1G2', 'SYT1', 'MDH1', 'TPM3', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'OXR1', 'SNAP91', 'DNM1', 'SYN1', 'SYNJ1', 'DNAJC6', 'GNAQ', 'ATP6V1B2', 'SLC25A12', 'VAMP2']",1.9443787985860893e-19,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 125 DG down,1.5844026922249554e-20,10.688123237741559,487.2875104611388,"['CNTNAP2', 'RAB3A', 'STXBP1', 'PDXP', 'CEND1', 'ENO2', 'GNG3', 'SYNGR1', 'UCHL1', 'ATCAY', 'TPPP', 'ATP6V1E1', 'DNM1L', 'DYNC1I1', 'IDH3A', 'CADM3', 'SLC6A17', 'GOT1', 'MDH1', 'TMOD2', 'SCAMP1', 'SYNGR3', 'TUBB4A', 'TUBA4A', 'GNAO1', 'STX1B', 'SYNJ1', 'VSNL1', 'DNAJC6', 'ATP6V1B2', 'LY6H', 'INA']",8.417139302445075e-19,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 53 Vip down,2.1425261900152342e-19,22.814814814814813,980.743437096268,"['PRKCG', 'CAMK2B', 'DMTN', 'SLC6A17', 'GOT1', 'TMOD2', 'ENO2', 'TUBA4A', 'DNM1', 'STX1B', 'DNAJC6', 'MAP1A', 'ATP6V1B2', 'NRCAM', 'TAGLN3', 'TPPP', 'DNM1L', 'WASF1', 'INA', 'ATP6V0A1']",9.128578190790314e-18,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 355 V3d down,2.1479007507741915e-19,8.601759194339984,369.7434001622011,"['CYFIP2', 'CAMK2B', 'NAPB', 'NDRG4', 'ENO2', 'GLS', 'GNG3', 'PCSK1N', 'ACTR1A', 'DPP6', 'SYNGR1', 'SV2B', 'BASP1', 'NPTN', 'ATP6V1H', 'NCAM1', 'NCDN', 'DNM1L', 'PACSIN1', 'YWHAH', 'TMEM30A', 'GOT1', 'ATP2B2', 'ATP1B1', 'SCAMP1', 'SYNGR3', 'SYN2', 'OXR1', 'SNAP91', 'DNM1', 'SYN1', 'GNAO1', 'SYNJ1', 'DNAJC6', 'GNAQ']",9.128578190790314e-18,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 362 Oligo down,2.827055571011214e-19,7.254708008369793,309.847715953066,"['ATP6V1A', 'SLC24A2', 'SNAP25', 'RAB3A', 'CISD1', 'GNG3', 'PCSK1N', 'DPP6', 'SYNGR1', 'BASP1', 'FTH1', 'NPTN', 'NRCAM', 'NCDN', 'TPPP', 'ATP6V1E1', 'ATP6V1D', 'YWHAH', 'NSF', 'CADM3', 'TMEM30A', 'SYT1', 'MDH1', 'TMOD2', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'OXR1', 'YWHAZ', 'SNAP91', 'DNM1', 'GNAO1', 'SYNJ1', 'GNAQ', 'MAP1A', 'VPS41', 'CNTN1', 'ATP6V1B2', 'AMPH', 'VAMP2']",1.092271470617969e-17,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 360 OPC down,3.879525680694324e-19,6.644605561815183,281.6874471253789,"['CYFIP2', 'ATP6V1A', 'SNAP25', 'CNTNAP2', 'STXBP1', 'CISD1', 'GNG3', 'PCSK1N', 'GNG2', 'ATCAY', 'FTH1', 'NPTN', 'NRCAM', 'DNM1L', 'WASF1', 'SH3GL2', 'SNCA', 'ATP6V0A1', 'YWHAH', 'NSF', 'ATP6V1G2', 'TMEM30A', 'SYT1', 'MDH1', 'ATP2B2', 'ATP2B1', 'ATP1B1', 'SCAMP1', 'SYN2', 'OXR1', 'YWHAZ', 'TUBB4A', 'SNAP91', 'GNAO1', 'NFASC', 'SYNJ1', 'VSNL1', 'GNAQ', 'GNB1', 'AMPH', 'LY6H', 'SLC25A12', 'VAMP2']",1.3739986785792397e-17,0,0,AllenBrainAtlas10xscRNA2021
