,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 31 Sncg up,0.0007355915294806902,3.217797812839135,23.2158821506578,"['GGCT', 'PSMA5', 'PPP1R14B', 'PSMB4', 'EIF6', 'GLOD4', 'LAMP2', 'TPP1', 'KCTD12', 'PGLS', 'NUDT5', 'GNS']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
1,2,Human Exc L3-5 RORB RPRM up,0.0015681180119444457,3.921855799373041,25.32687058887177,"['HDDC2', 'CFL2', 'ZNF428', 'COPS7A', 'MAT2B', 'TMSB10', 'PTMA', 'SOD1']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 379 PVM up,0.0022889197102474368,7.766853105681483,47.21994510162065,"['SNX2', 'RRM2B', 'TMSB4X', 'LAMP2']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
3,4,Human Exc L3-5 FEZF2 LINC01107 up,0.003778604879726964,2.0484318727490995,11.42697321296459,"['LYPLA1', 'GSS', 'ANXA4', 'ARPC5L', 'MRE11A', 'CNPY2', 'PEPD', 'NUDT5', 'EML2', 'ARMCX3', 'PSMA5', 'PSMD5', 'GLOD4', 'PPP1R7', 'SCRN2', 'RNPEP', 'TPP1', 'COPG2', 'CAPN1', 'PSPH', 'DFNA5']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 377 Micro up,0.004168622962864558,6.522513607125186,35.74448027946985,"['RRM2B', 'TMSB4X', 'CTSZ', 'KCTD12']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 358 Astro up,0.004479389290600265,6.385981912144703,34.53710520599195,"['TSC22D4', 'LAMP2', 'SPARCL1', 'PRDX6']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Oligo L5-6 OPALIN LDLRAP1 up,0.004583180034092726,3.611295681063123,19.44813522205591,"['PHLDB1', 'PPM1B', 'FNTA', 'LAMP2', 'AK3', 'PTPN12', 'PTMA']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 235 L3 RSP-ACA up,0.004743130936732422,9.528365384615384,50.98683416182843,"['CNPY2', 'MAT2B', 'SOD1']",0.1375507971652402,0,0,AllenBrainAtlas10xscRNA2021
8,9,Human Inh L5-6 PVALB ZFPM2-AS1 up,0.008478933562114481,5.2796043838545845,25.184613591808127,"['LYPLA1', 'GSR', 'AK3', 'EML2']",0.21856806515672886,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 30 Sncg up,0.009654608165088499,2.3977345173041895,11.126255309579285,"['GGCT', 'PPP1R14B', 'PSMB4', 'EIF6', 'GLOD4', 'LSM1', 'TPP1', 'COPS7A', 'KCTD12', 'PGLS', 'GNS']",0.2214456506454062,0,0,AllenBrainAtlas10xscRNA2021
10,11,Human Exc L6 FEZF2 PROKR2 up,0.010499578263359777,2.4825138727577754,11.31137632687229,"['PSMB4', 'SNX2', 'PSMA4', 'ANP32A', 'ZNF428', 'COPS7A', 'ARPC5', 'TMSB10', 'PTMA', 'SOD1']",0.2214456506454062,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 356 Astro up,0.012280543881752018,6.621404682274248,29.132452860336144,"['SPARCL1', 'ACSS1', 'PRDX6']",0.22746187994477202,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 372 SMC up,0.012745708790008777,6.526483516483516,28.47218003820974,"['SH3BGRL', 'SPARCL1', 'PTMA']",0.22746187994477202,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 363 Oligo up,0.013755482909447064,3.709993961352657,15.902213070226459,"['TSC22D4', 'PCYT2', 'FNTA', 'TPP1', 'PTMA']",0.2279480024994085,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 63 Sst Chodl up,0.018079710115154076,2.738677918424754,10.990218516792849,"['ARMCX3', 'PSMB4', 'GPX1', 'FNTA', 'GSR', 'LSM1', 'COPG2']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 310 L5 NP CTX up,0.01971009432441295,5.50064874884152,21.59898144020572,"['PCYT2', 'RNPEP', 'COPG2']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
16,17,Human Inh L5 PVALB LRIG3 up,0.020193303903007137,3.349822598253275,13.072361841933233,"['ARMCX3', 'LYPLA1', 'AK3', 'EML2', 'PGM1']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 234 L3 RSP-ACA down,0.020812714854479247,2.326686704954109,9.009375756058654,"['PPM1B', 'ANP32A', 'RRM2B', 'TMSB4X', 'CAPZA2', 'ARPC5L', 'PTMA', 'SOD1', 'PTMS']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 61 Sst Chodl up,0.022187401055485514,3.9179089644205924,14.920301085383757,"['PSMB4', 'GPX1', 'GSR', 'EML2']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 360 OPC down,0.022399526368977442,2.0308599508599507,7.71465910174161,"['PPM1B', 'PCYT2', 'ANP32A', 'RRM2B', 'CAPZA2', 'ARPC5L', 'LSM1', 'COPG2', 'NENF', 'TMSB10', 'DGKH', 'PTMS']",0.250317565162227,0,0,AllenBrainAtlas10xscRNA2021
