,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Human Exc L3-5 FEZF2 ASGR2 down,0.0003973053137316762,80.4475806451613,629.9693586370835,"['LSAMP', 'ADD3']",0.03279937000930994,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 57 Vip down,0.00045384650129595065,12.612388250319285,97.08703082428327,"['SH3BGRL3', 'FMN2', 'CELSR2', 'NUDT3']",0.03279937000930994,0,0,AllenBrainAtlas10xscRNA2021
2,3,Human Exc L3-5 FEZF2 LINC01107 down,0.0005436359670051372,67.73514431239389,509.18070720221294,"['LSAMP', 'ADD3']",0.03279937000930994,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 349 L6b CTX up,0.0012415893708468593,15.746825396825397,105.36772434629337,"['CADM4', 'PITHD1', 'OMG']",0.056181919030820385,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 364 Oligo up,0.0017837208431174534,8.632989237865145,54.63865278134648,"['CADM4', 'RRAS2', 'LLGL1', 'MAPK3']",0.06425437067906944,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 302 CA2-IG-FC down,0.002724443173750432,28.56200716845878,168.67268232056819,"['CADM1', 'SIRPA']",0.06425437067906944,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Inh L1 LAMP5 BMP2 down,0.002839972184710252,27.93969144460028,163.83726156915148,"['CADM1', 'ADD3']",0.06425437067906944,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human Inh L1 LAMP5 NMBR down,0.002839972184710252,27.93969144460028,163.83726156915148,"['CADM1', 'ADD3']",0.06425437067906944,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 348 L6b CTX up,0.003570343189142846,10.751630434782609,60.586443383819926,"['CADM4', 'PITHD1', 'OMG']",0.07180356858165057,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 363 Oligo up,0.005068625807297669,9.45358851674641,49.95924255487914,"['CADM4', 'EPB41L2', 'RRAS2']",0.08723237932780174,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 49 Vip down,0.005301415318264195,20.063508064516128,105.1283974363864,"['SIRPA', 'SH3BGRL3']",0.08723237932780174,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 366 Oligo down,0.009230177712374539,4.3347649186256785,20.309574273399456,"['CADM1', 'DDAH1', 'LSAMP', 'SH3BGRL3', 'NUDT3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 161 L2/3 IT ENTl down,0.011494588689037815,103.96354166666667,464.2885874243707,['LSAMP'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 358 Astro up,0.011814596043916763,13.08031599736669,58.0559303610333,"['GNA13', 'SLC1A2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
14,15,Human Astro L1 FGFR3 SERPINI2 up,0.012040934245614011,12.947539915281851,57.22091784335224,"['SLC1A2', 'FMN2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 55 Vip down,0.012731366406601064,12.56483238456673,54.82898988673497,"['SIRPA', 'FMN2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 236 L3 RSP-ACA down,0.013126184702817524,89.10714285714286,386.1142784895618,['LSAMP'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 5 Lamp5 Lhx6 down,0.013678341554805181,12.088253195374316,51.88207682717517,"['SH3BGRL3', 'FMN2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 355 V3d down,0.014374005304783796,4.676874849288643,19.840864676550122,"['CADM1', 'LSAMP', 'SIRPA', 'NUDT3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 70 Sst down,0.014755169717842366,77.96484375,328.7123934869669,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
20,21,Mouse 365 Oligo up,0.015918790117453296,6.1396875,25.419872478763352,"['CADM4', 'LLGL1', 'MAPK3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
21,22,Mouse 343 L6b CTX down,0.016381547690707304,69.29861111111111,284.9281499305533,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 41 Vip down,0.017760101564560676,10.494447382337388,42.301027142603964,"['SIRPA', 'SH3BGRL3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
23,24,Human Exc L6 FEZF2 KLK7 down,0.01800532259639319,62.365625,250.52819538044852,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
24,25,Mouse 365 Oligo down,0.018847286483762396,4.296962629796213,17.06489864233347,"['CADM1', 'DDAH1', 'SH3BGRL3', 'NUDT3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
25,26,Mouse 53 Vip down,0.018851992542239616,10.159242191500256,40.34373916052291,"['SIRPA', 'NUDT3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
26,27,Mouse 51 Vip down,0.019971671482102066,9.844665012406947,38.5265101325451,"['SIRPA', 'FMN2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
27,28,Mouse 368 Oligo down,0.020686652324102592,4.172036047703847,16.180268065959375,"['CADM1', 'DDAH1', 'LSAMP', 'NUDT3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
28,29,Mouse 43 Vip down,0.021409753581605424,9.477658303464755,36.431253075123614,"['SIRPA', 'SH3BGRL3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
29,30,Mouse 378 Micro down,0.021948051870455856,5.415745856353591,20.68314987706727,"['CADM1', 'DDAH1', 'LSAMP']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
30,31,Mouse 167 L2/3 IT ENTl up,0.022861068741375043,47.96634615384615,181.23219876999113,['MAPK3'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
31,32,Mouse 122 DG down,0.023220302315149273,5.2964864864864865,19.92923950426568,"['DDAH1', 'SIRPA', 'FMN2']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
32,33,Mouse 351 L6b CTX up,0.0235445768625495,5.26747311827957,19.747018046259587,"['CADM4', 'PITHD1', 'OMG']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
33,34,Mouse 44 Vip down,0.024720526736570027,8.758727353071144,32.408353977254606,"['SIRPA', 'SH3BGRL3']",0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
34,35,Human Exc L6 FEZF2 POGK down,0.026085290572661173,41.56666666666667,151.56801592617538,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
35,36,Mouse 69 Sst down,0.026085290572661173,41.56666666666667,151.56801592617538,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
36,37,Mouse 85 Sst down,0.026085290572661173,41.56666666666667,151.56801592617538,['CADM1'],0.1253132267128679,0,0,AllenBrainAtlas10xscRNA2021
