,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Human Exc L2 LINC00507 GLRA3 up,0.025937093673008556,41.572916666666664,151.8276651730302,['CAT'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
1,2,Human Inh L3-5 VIP HS3ST3A1 up,0.025937093673008556,41.572916666666664,151.8276651730302,['PROS1'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
2,3,Human Inh L1-6 LAMP5 CA1 up,0.041190516066627526,25.564102564102566,81.53791281942478,['CA1'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
3,4,Human Endo L2-5 NOSTRIN SRGN up,0.04421377893724838,23.73452380952381,74.02130556201558,['FN1'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
4,5,Human OPC L1-6 PDGFRA COL20A1 up,0.05322919174316746,19.537254901960786,57.30566631783699,['KIF13A'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
5,6,Human Inh L5-6 LAMP5 CRABP1 up,0.07101764164383469,14.427536231884059,38.15833677729338,['CA1'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 368 Oligo up,0.07687605873194113,13.269333333333334,34.043281187726755,['KIF13A'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human Oligo L2-6 OPALIN FTH1P3 up,0.08173117888128069,12.436875,31.14591136074601,['KIF13A'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 360 OPC up,0.0951964749969455,10.577127659574469,24.875419618227436,['KIF13A'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
9,10,Human Oligo L2-6 OPALIN MAP6D1 up,0.10185839864661637,9.840594059405941,22.477606252769743,['KIF13A'],0.3259468756691724,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 349 L6b CTX up,0.12711941492662474,7.754296875,15.994232640747382,['KIF13A'],0.3332635614310245,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 366 Oligo up,0.13447325185759362,7.295220588235294,14.637057422023762,['KIF13A'],0.3332635614310245,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 369 Endo up,0.1353883218313537,7.241605839416058,14.480374212167852,['SLC2A1'],0.3332635614310245,0,0,AllenBrainAtlas10xscRNA2021
13,14,Human Oligo L3-6 OPALIN ENPP6 up,0.16507394925133972,5.826176470588235,10.495051315869526,['KIF13A'],0.35508258534972315,0,0,AllenBrainAtlas10xscRNA2021
14,15,Human Exc L3 LAMP5 CARM1P1 up,0.1729999940913335,5.5307262569832405,9.703458555598411,['KIF13A'],0.35508258534972315,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 348 L6b CTX up,0.17911509900672568,5.3206989247311824,9.150147836311916,['KIF13A'],0.35508258534972315,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 6 Lamp5 Lhx6 up,0.1886376234670404,5.020812182741117,8.374350413278753,['ASNS'],0.35508258534972315,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 367 Oligo up,0.2650473190371886,3.394655172413793,4.507582369431823,['KIF13A'],0.44147185923202115,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 28 Sncg up,0.2751657629976466,3.246864686468647,4.189694411361738,['NTMT1'],0.44147185923202115,0,0,AllenBrainAtlas10xscRNA2021
19,20,Human Oligo L5-6 OPALIN LDLRAP1 up,0.2782523441473642,3.2039087947882736,4.098526200910551,['KIF13A'],0.44147185923202115,0,0,AllenBrainAtlas10xscRNA2021
20,21,Mouse 365 Oligo up,0.2897159076210139,3.052329192546584,3.7813916489725026,['KIF13A'],0.44147185923202115,0,0,AllenBrainAtlas10xscRNA2021
21,22,Mouse 125 DG down,0.36319189515084355,2.3060141509433962,2.335586355619849,['BZW1'],0.5081590200705729,0,0,AllenBrainAtlas10xscRNA2021
22,23,Human Exc L5-6 THEMIS SMYD1 up,0.3652392956757243,2.2894613583138175,2.3059512853055306,['BZW1'],0.5081590200705729,0,0,AllenBrainAtlas10xscRNA2021
23,24,Mouse 31 Sncg up,0.47610619807275945,1.6011570247933884,1.188241595800218,['ASNS'],0.6348082640970125,0,0,AllenBrainAtlas10xscRNA2021
24,25,Mouse 30 Sncg up,0.5426587609305275,1.3184246575342466,0.8059194913258277,['ASNS'],0.6797462373177986,0,0,AllenBrainAtlas10xscRNA2021
25,26,Human Exc L3-5 FEZF2 ASGR2 up,0.5564207465283427,1.2678759894459104,0.7432676165044582,['PROS1'],0.6797462373177986,0,0,AllenBrainAtlas10xscRNA2021
26,27,Mouse 366 Oligo down,0.5735358877368926,1.2081234256926952,0.6716378159809937,['BZW1'],0.6797462373177986,0,0,AllenBrainAtlas10xscRNA2021
27,28,Mouse 361 Oligo down,0.6253343461850606,1.0453399122807017,0.49075449343063127,['BZW1'],0.7146678242114978,0,0,AllenBrainAtlas10xscRNA2021
28,29,Human Exc L3-5 FEZF2 LINC01107 up,0.8429990330838886,0.542497034400949,0.09265277988342951,['PROS1'],0.9252867766344043,0,0,AllenBrainAtlas10xscRNA2021
29,30,Human Exc L5 FEZF2 CSN1S1 up,0.867456353094754,0.4949809056192035,0.0703813754902839,['PROS1'],0.9252867766344043,0,0,AllenBrainAtlas10xscRNA2021
