,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 357 Astro down,5.589346533166627e-13,3.8026857035570423,107.28419761225753,"['MTPN', 'DYNC1I2', 'DDX5', 'LRP1', 'SRSF1', 'TIMM13', 'HNRNPU', 'HNRNPR', 'GPHN', 'ADD1', 'NXF1', 'UBL5', 'HNRNPDL', 'PCBP2', 'TRA2A', 'RPL36', 'EIF4H', 'RPL18', 'RPS10', 'SRSF11', 'GTF2I', 'HNRNPA0', 'CLASP2', 'SRRM2', 'DDX17', 'RBM39', 'CREBBP', 'H2AFY', 'H2AFZ', 'HUWE1', 'THOC2', 'TSN', 'TJP1', 'HNRNPK', 'SLTM', 'NACA', 'SUB1', 'RPL27A', 'CAPRIN1', 'HNRNPA2B1', 'PI4KA', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'RPL29', 'UBE2K']",2.537563326057649e-10,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 361 Oligo down,2.323285715403091e-12,3.2254874493154313,86.4044825397842,"['FAM49B', 'CTNND2', 'HNRNPU', 'GPHN', 'ROBO1', 'UBL5', 'CDH2', 'RPL36', 'RPS10', 'SRRM2', 'DDX17', 'HSP90AA1', 'H2AFZ', 'AKR1A1', 'TSN', 'DYNC1LI2', 'PSMA3', 'SLTM', 'HNRNPH1', 'SUB1', 'LUC7L3', 'SRSF5', 'CRK', 'MTPN', 'MACF1', 'DYNC1I2', 'DDX6', 'DDX5', 'SET', 'NFIX', 'MRPL18', 'SRSF1', 'TIMM13', 'ADD1', 'PCBP2', 'RPS3', 'EIF4H', 'DTD1', 'TIMM8B', 'FARP1', 'CREBBP', 'DTNA', 'HOMER1', 'USP9X', 'FUS', 'HUWE1', 'NAP1L1', 'HNRNPM', 'HNRNPK', 'NACA', 'RPL27A', 'CAPRIN1', 'HNRNPA2B1', 'PI4KA', 'HNRNPC', 'UBE2K']",5.273858573965017e-10,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 369 Endo down,3.5361139995089147e-12,3.7705156136528686,99.42092829666389,"['MTPN', 'DYNC1I2', 'SF3B2', 'SET', 'NFIX', 'SRSF1', 'TIMM13', 'HNRNPU', 'HNRNPR', 'GPHN', 'ADD1', 'TRA2A', 'RPL36', 'EIF4H', 'SRSF11', 'CLASP2', 'SRRM2', 'TMED9', 'USP9X', 'FUS', 'H2AFZ', 'HUWE1', 'CASK', 'NAP1L1', 'THOC2', 'TSN', 'RPS28', 'HNRNPK', 'SLTM', 'NACA', 'HNRNPH1', 'SARNP', 'NCL', 'SUB1', 'CAPRIN1', 'HNRNPA2B1', 'PI4KA', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'CRK', 'UBE2K', 'PAFAH1B2']",5.351319185923491e-10,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 292 CA3 up,3.245789727133816e-11,3.3437594200277325,80.75539234276427,"['IPO11', 'SF3B3', 'NUMA1', 'PRKDC', 'USO1', 'HDLBP', 'CHD4', 'THUMPD1', 'PRPF19', 'IPO7', 'ELAVL1', 'PRPSAP1', 'NXF1', 'SNX1', 'IPO9', 'RBBP4', 'POLR2A', 'SIN3A', 'PCBP1', 'MLEC', 'KPNA4', 'SRSF10', 'NEK9', 'DR1', 'NOP58', 'H2AFY', 'STARD7', 'API5', 'DCLK2', 'MEMO1', 'CSNK1D', 'PARVA', 'THOC2', 'TOR1B', 'PDIA6', 'LRPPRC', 'WDR77', 'SMARCA4', 'PSMA3', 'XPNPEP1', 'THRAP3', 'SARNP', 'CLNS1A', 'PSME3', 'ETF1', 'UBA1', 'SRSF6']",3.683971340296881e-09,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 294 CA3 up,1.3723166863679288e-10,2.5925856327058994,58.875936109984615,"['DIDO1', 'TOP2B', 'IPO11', 'ABCD3', 'NUMA1', 'HDLBP', 'CPOX', 'CHD4', 'THUMPD1', 'PRPF19', 'PKD2', 'IPO7', 'ELAVL1', 'IPO5', 'SART1', 'IPO9', 'XPO1', 'TRIM28', 'TNKS1BP1', 'KPNA4', 'TMED4', 'UPF1', 'DBNL', 'PARP1', 'H2AFY', 'STARD7', 'ACTN2', 'MCCC1', 'CSNK1D', 'ACSL3', 'WDR77', 'ARFGAP2', 'DDB1', 'HADHA', 'PSMA3', 'DDX39B', 'NME7', 'THRAP3', 'SARNP', 'PSME3', 'ETF1', 'SRSF6', 'RAB5C', 'PRKDC', 'COPB1', 'USO1', 'UBR4', 'PRPF8', 'NXF1', 'SNX1', 'RBBP4', 'GPC1', 'MLEC', 'BUB3', 'SRSF10', 'DR1', 'NOP58', 'RANBP3', 'PARVA', 'TOR1B', 'LRPPRC', 'SMARCA4', 'HNRNPM', 'OSTC', 'ECHDC1', 'TPP2', 'UBA1', 'SAE1']",1.1001765417746435e-08,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 370 Endo down,1.4539778085127447e-10,3.4930270309052753,79.12246880375773,"['MTPN', 'DYNC1I2', 'DDX5', 'SET', 'TIMM13', 'HNRNPU', 'HNRNPR', 'ELAVL1', 'GPHN', 'ADD1', 'UBL5', 'TPR', 'PCBP2', 'TRA2A', 'EIF4H', 'SRSF11', 'CLASP2', 'SRRM2', 'TIMM8B', 'DDX17', 'FARP1', 'CREBBP', 'TMED9', 'FUS', 'H2AFZ', 'HUWE1', 'THOC2', 'DYNC1LI2', 'RPS28', 'HNRNPK', 'SON', 'SLTM', 'SUB1', 'CAPRIN1', 'HNRNPA2B1', 'BAX', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'UBE2K']",1.1001765417746435e-08,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 373 SMC down,1.972755603959636e-10,3.806602599213265,85.06393885954087,"['MTPN', 'DYNC1I2', 'DDX6', 'DDX5', 'TIMM13', 'HNRNPU', 'GPHN', 'ADD1', 'NXF1', 'TPR', 'PCBP2', 'TRA2A', 'EIF4H', 'GTF2I', 'CLASP2', 'SRRM2', 'DDX17', 'FARP1', 'CREBBP', 'FUS', 'H2AFZ', 'THOC2', 'TSN', 'TJP1', 'RPS28', 'SON', 'SLTM', 'HNRNPH1', 'NCL', 'HNRNPA2B1', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'RPL29', 'UBE2K']",1.2794729202823925e-08,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human Inh L5-6 SST C4orf26 up,2.7023611802739476e-10,3.6805969682437083,81.08990034279321,"['COPB2', 'NUP205', 'NUMA1', 'MRPL18', 'GSTP1', 'CSE1L', 'TIMM13', 'TWF1', 'PRPF19', 'IPO7', 'PRPF8', 'CCAR2', 'IPO5', 'CNDP2', 'NARS', 'PPP2CB', 'PPP2R4', 'PRDX1', 'PCBP1', 'TPR', 'EIF4H', 'TCEB2', 'BANF1', 'RPL18', 'DTD1', 'HNRNPA0', 'BTF3', 'HSPA9', 'DR1', 'XRCC6', 'PRMT1', 'TUBB', 'SRP68', 'TUBB2B', 'PSME3', 'RPL29', 'PAFAH1B2']",1.5335899698054652e-08,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 366 Oligo down,5.36314601658439e-10,3.047297949170296,65.04853677200722,"['FAM49B', 'MTPN', 'MACF1', 'DYNC1I2', 'COPA', 'DDX5', 'SET', 'CTNND2', 'SRSF1', 'TIMM13', 'HNRNPU', 'HNRNPR', 'ELAVL1', 'UBL5', 'CDH2', 'HNRNPDL', 'SCRN1', 'TPR', 'RPL36', 'SRSF11', 'SRRM2', 'MKL2', 'TIMM8B', 'CREBBP', 'TMED9', 'DUSP3', 'USP9X', 'H2AFZ', 'AKR1A1', 'HUWE1', 'CASK', 'TSN', 'RPS28', 'HNRNPK', 'SLTM', 'NACA', 'HNRNPUL2', 'SUB1', 'CAPRIN1', 'HNRNPA2B1', 'PI4KA', 'LUC7L3', 'SRSF5', 'TOP1', 'CRK', 'UBE2K', 'PAFAH1B2']",2.7054092128103478e-08,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 374 VLMC down,7.313709291444835e-10,3.6105357733957537,75.95159287481872,"['MTPN', 'MACF1', 'DYNC1I2', 'DDX5', 'NFIX', 'TIMM13', 'HNRNPU', 'HNRNPR', 'GPHN', 'ADD1', 'PCBP2', 'TRA2A', 'EIF4H', 'SRSF11', 'CLASP2', 'SRRM2', 'TIMM8B', 'DDX17', 'RBM39', 'CREBBP', 'USP9X', 'FUS', 'H2AFZ', 'AKR1A1', 'NAP1L1', 'HNRNPK', 'SLTM', 'HNRNPH1', 'SUB1', 'CAPRIN1', 'HNRNPA2B1', 'PI4KA', 'BAX', 'LUC7L3', 'TOP1', 'CRK']",3.3204240183159554e-08,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 368 Oligo down,8.175224146583702e-10,3.277918781725888,68.58960741048338,"['FAM49B', 'MACF1', 'DYNC1I2', 'DDX5', 'SET', 'TIMM13', 'HNRNPU', 'GPHN', 'NXF1', 'UBL5', 'HNRNPDL', 'TRA2A', 'RPL36', 'EIF4H', 'SRSF11', 'SRRM2', 'TIMM8B', 'DDX17', 'CREBBP', 'HSP90AA1', 'USP9X', 'FUS', 'H2AFZ', 'AKR1A1', 'TJP1', 'DYNC1LI2', 'RPS28', 'HNRNPK', 'SON', 'SLTM', 'NACA', 'RPL27A', 'CAPRIN1', 'HNRNPA2B1', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'CRK', 'UBE2K', 'PAFAH1B2']",3.374137965953637e-08,0,0,AllenBrainAtlas10xscRNA2021
11,12,Human Micro L1-6 TYROBP CD74 down,1.1522184194529068e-09,3.1371453271172314,64.56739714534609,"['MACF1', 'DDX5', 'LRP1', 'PRKDC', 'DHX9', 'USO1', 'MSI2', 'PKD2', 'GPHN', 'XPO1', 'HNRNPDL', 'TRA2A', 'ZNF207', 'KPNA4', 'SRSF11', 'CLASP2', 'DDX17', 'RBM39', 'CREBBP', 'HSP90AA1', 'DTNA', 'USP9X', 'FUS', 'MAGI3', 'CIRBP', 'CASK', 'MEMO1', 'NAP1L1', 'TJP1', 'HNRNPM', 'SON', 'SLTM', 'DAAM1', 'HNRNPH1', 'HNRNPA2B1', 'TPP2', 'CTNNB1', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'GAPDH', 'UBE2K']",4.3592263535968315e-08,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 358 Astro down,1.4730829454195655e-09,3.206429780033841,65.20566226738822,"['MTPN', 'DYNC1I2', 'COPA', 'DDX5', 'SET', 'SRSF1', 'TIMM13', 'HNRNPU', 'GPHN', 'ADD1', 'UBL5', 'PCBP2', 'TRA2A', 'EIF4H', 'UBQLN1', 'HNRNPA0', 'CLASP2', 'SRRM2', 'TIMM8B', 'RBM39', 'CREBBP', 'HSP90AA1', 'USP9X', 'FUS', 'H2AFZ', 'AKR1A1', 'CASK', 'TSN', 'TJP1', 'HNRNPK', 'SON', 'SLTM', 'NACA', 'SUB1', 'CAPRIN1', 'LUC7L3', 'HNRNPC', 'SRSF5', 'TOP1', 'CRK', 'UBE2K']",5.1444589016960207e-08,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 379 PVM down,3.5321022053604965e-09,3.7825854564890937,73.61430502686949,"['MTPN', 'MACF1', 'DDX6', 'COPA', 'TIMM13', 'HNRNPU', 'ELAVL1', 'ADD1', 'NARS', 'UBL5', 'PCBP2', 'TRA2A', 'SRSF11', 'GTF2I', 'CLASP2', 'SRRM2', 'TIMM8B', 'CREBBP', 'FUS', 'H2AFZ', 'CASK', 'NAP1L1', 'HNRNPK', 'SON', 'HNRNPH1', 'SUB1', 'HNRNPA2B1', 'HNRNPC', 'TOP1', 'CRK', 'UBE2K']",1.1454102865954754e-07,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 376 VLMC down,3.95402578975359e-09,3.76284469879213,72.80551952198836,"['DYNC1I2', 'DDX5', 'SET', 'NFIX', 'TIMM13', 'HNRNPU', 'GPHN', 'ADD1', 'TRA2A', 'RPL36', 'RPS10', 'SRSF11', 'DDX17', 'SRRM2', 'MKL2', 'TIMM8B', 'FARP1', 'CREBBP', 'HSP90AA1', 'DTNA', 'FUS', 'H2AFZ', 'HUWE1', 'NAP1L1', 'HNRNPH1', 'NCL', 'SUB1', 'HNRNPA2B1', 'LUC7L3', 'CRK', 'UBE2K']",1.196751805698753e-07,0,0,AllenBrainAtlas10xscRNA2021
