,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 39 Lamp5 up,0.004215395129783775,22.59103800340329,123.55065676287644,"['GSTO1', 'TMOD3']",0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 379 PVM up,0.015007658122787284,11.412001148435257,47.92121435823033,"['NPC2', 'CTSC']",0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 182 L2/3 IT CTX down,0.026675438127783887,41.20661157024794,149.33325716982057,['CREBRF'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 307 L5 NP CTX up,0.03105318942430504,34.86363636363637,121.04841961551217,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 369 Endo up,0.038574393405533335,6.778043775649794,22.06366175198446,"['ITGB1', 'TMOD3']",0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
5,6,Human Inh L1-2 SST PRRT4 up,0.03975101520212152,26.655080213903744,85.9658295948253,['CALB1'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 65 Sst up,0.03975101520212152,26.655080213903744,85.9658295948253,['GLRX'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 116 Pvalb up,0.046224241547830405,22.65340909090909,69.64226350504619,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 18 Pax6 up,0.05051600179432738,20.59194214876033,61.47652515510766,['TMOD3'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 305 L5 NP CTX up,0.052654795299780933,19.695652173913043,57.98395993375175,['MYL4'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 233 L6 IT ENTl down,0.05904295112171703,17.420454545454547,49.29100393195118,['CREBRF'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 66 Sst up,0.061162961873558554,16.774410774410775,46.871284550836876,['GLRX'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 304 L5 NP CTX up,0.061162961873558554,16.774410774410775,46.871284550836876,['MYL4'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 115 Pvalb up,0.07169315936667503,14.149857954545455,37.28996884194453,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 103 Sst up,0.077955752812053,12.935064935064934,33.0052912902955,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 119 Pvalb Vipr2 up,0.08830172707083632,11.315340909090908,27.462282739596837,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 3 Lamp5 Lhx6 down,0.0903572583768995,11.03880266075388,26.537104191380898,['PLEKHA5'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 371 Peri up,0.0944547358631225,10.52431289640592,24.833532270728778,['TMOD3'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 33 Sncg up,0.09649670153159273,10.284607438016529,24.047946854635047,['GSTO1'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 39 Lamp5 down,0.09649670153159273,10.284607438016529,24.047946854635047,['PLEKHA5'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
20,21,Mouse 4 Lamp5 Lhx6 up,0.09649670153159273,10.284607438016529,24.047946854635047,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
21,22,Mouse 9 Lamp5 up,0.10056713532149907,9.836462450592885,22.593663349220005,['TMOD3'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 238 L5 PT CTX up,0.10151670189610797,3.853234316982607,8.814396585258907,"['UQCRB', 'GLRX']",0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
23,24,Mouse 303 L5 NP CTX up,0.10461963696044026,9.425662878787879,21.27771770333297,['MYL4'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
24,25,Mouse 181 L2/3 IT CTX up,0.10663918735293466,9.232838589981448,20.665901611884028,['CFAP74'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
25,26,Mouse 235 L3 RSP-ACA up,0.10865428362703972,9.047727272727272,20.08219202209419,['UQCRB'],0.43461713450815886,0,0,AllenBrainAtlas10xscRNA2021
