,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 37 Sncg up,0.08537467354402693,11.897129186602871,29.27533461302574,['KRT1'],0.6836994300685145,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 297 CA3 up,0.09996930200784186,10.058704453441296,23.16411122367751,['KRT10'],0.6836994300685145,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 350 L6b CTX up,0.12497903497150159,7.913875598086125,16.457769102687624,['JUP'],0.6836994300685145,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 38 Sncg up,0.1398398929473613,7.004945249028612,13.780528504706739,['KRT1'],0.6836994300685145,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 302 CA2-IG-FC up,0.14243738126427385,6.865650969529086,13.380143154067955,['KRT10'],0.6836994300685145,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 341 L6b CTX up,0.17219602675220333,5.570785251899803,9.799689560820283,['JUP'],0.6887841070088133,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 340 L6b CTX up,0.2817066221854001,3.1632061805890874,4.0074314199822245,['JUP'],0.8384443299609684,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 261 L6 Car3 up,0.3365977101372046,2.543859649122807,2.769924316217717,['KRT10'],0.8384443299609684,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 293 CA3 up,0.34401031411568445,2.4752024291497974,2.641248015764207,['KRT10'],0.8384443299609684,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 125 DG down,0.3493518041504035,2.4275074478649454,2.5529509093137666,['PLD3'],0.8384443299609684,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 31 Sncg up,0.4597193418653306,1.6855154414963027,1.309879956749031,['KRT1'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 30 Sncg up,0.525290815614698,1.38788752703677,0.893526480071352,['KRT1'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
12,13,Human Oligo L3-6 OPALIN ENPP6 down,0.5460444574319029,1.3077551576223871,0.7912636434746371,['PLD3'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
13,14,Human Astro L1-6 FGFR3 PLCG1 down,0.5935860154630588,1.1437039698221663,0.5965252779330742,['PLD3'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 300 CA3 up,0.6049170704703613,1.1080515859184386,0.5569775359551408,['KRT10'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
15,16,Human Oligo L2-6 OPALIN FTH1P3 down,0.6069822048873187,1.1016812063088566,0.5500207373413485,['PLD3'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 29 Sncg up,0.6247184505038389,1.0484982088729677,0.49327039647446264,['KRT1'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 299 CA3 up,0.6521117710017164,0.9713011838261671,0.4152694319430981,['KRT10'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
18,19,Human OPC L1-6 PDGFRA COL20A1 down,0.6833518753849264,0.8896434634974533,0.3387276218274582,['PLD3'],0.8631813162756964,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 294 CA3 up,0.7590339667292295,0.7138253797759705,0.19680790363239023,['KRT10'],0.9108407600750754,0,0,AllenBrainAtlas10xscRNA2021
20,21,Human Exc L3-5 FEZF2 LINC01107 up,0.8285203833945401,0.5710807267278517,0.10742818825411833,['KRT10'],0.9227122161663706,0,0,AllenBrainAtlas10xscRNA2021
21,22,Human Exc L5 THEMIS LINC01116 up,0.9146962716124966,0.40181048992403223,0.035826714059647595,['KRT10'],0.9227122161663706,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 96 Sst up,0.9183826826325504,0.3942783009372134,0.03356929203819227,['KRT10'],0.9227122161663706,0,0,AllenBrainAtlas10xscRNA2021
23,24,Human Inh L3-5 PVALB ISG20 up,0.9227122161663706,0.3853438260373967,0.030996242325286395,['KRT10'],0.9227122161663706,0,0,AllenBrainAtlas10xscRNA2021
