,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 371 Peri up,3.4451006509547795e-07,86.66521739130435,1289.6774524269658,"['LAMA2', 'COL4A1', 'LAMC1', 'VCL']",9.99079188776886e-06,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 375 VLMC up,3.203992024338952e-05,57.93604651162791,599.5527951925591,"['COL4A2', 'COL4A1', 'LAMC1']",0.00046457884352914806,0,0,AllenBrainAtlas10xscRNA2021
2,3,Human Inh L5-6 LAMP5 CRABP1 up,0.00011307161553032556,37.13805970149254,337.49171548964955,"['COL18A1', 'COL4A2', 'COL4A1']",0.0009289195034936859,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 372 SMC up,0.00012812682806809462,35.54107142857143,318.53649514693814,"['COL4A2', 'COL4A1', 'VCL']",0.0009289195034936859,0,0,AllenBrainAtlas10xscRNA2021
4,5,Human VLMC L1-5 PDGFRA COLEC12 up,0.0007458431753894333,56.98571428571429,410.3538550694941,"['COL18A1', 'LAMA2']",0.004325890417258713,0,0,AllenBrainAtlas10xscRNA2021
5,6,Human Inh L1-6 LAMP5 CA1 up,0.0013262988762919497,41.96842105263158,278.0560246700436,"['COL4A2', 'COL4A1']",0.006410444568744423,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 370 Endo up,0.004118045420461583,23.07710144927536,126.74813293504668,"['COL4A2', 'COL4A1']",0.017060473884769417,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 369 Endo up,0.014819918294478858,11.668823529411764,49.14655458197677,"['COL4A2', 'COL4A1']",0.05372220381748586,0,0,AllenBrainAtlas10xscRNA2021
8,9,Human Exc L2 LINC00507 GLRA3 up,0.033228290097006515,31.96955128205128,108.83565874121032,['LAMB1'],0.10706893475702099,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 93 Sst up,0.046219715818065006,22.555429864253394,69.34325924679375,['LAMA4'],0.1340371758723885,0,0,AllenBrainAtlas10xscRNA2021
10,11,Human Exc L3-5 RORB LAMA4 up,0.052652225928391236,19.65877712031558,57.87635915452169,['LAMA4'],0.13881041381121326,0,0,AllenBrainAtlas10xscRNA2021
11,12,Human Exc L2 LAMP5 KCNG3 up,0.08543356514088656,11.779881656804733,28.978699956832514,['LAMB1'],0.20575427515290173,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 379 PVM up,0.10627394826975518,9.329737335834897,20.914799669740503,['CLIC1'],0.20575427515290173,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 310 L5 NP CTX up,0.1099038737594078,8.999095022624434,19.871344206358376,['COL12A1'],0.20575427515290173,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 148 L2 IT PAR up,0.11231593236202139,8.791335101679929,19.221722799537645,['AGRN'],0.20575427515290173,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 347 L6b CTX up,0.11351960008435957,8.690996503496503,18.909694364771376,['LAMC1'],0.20575427515290173,0,0,AllenBrainAtlas10xscRNA2021
16,17,Human Oligo L2-6 OPALIN MAP6D1 up,0.1290249668906648,7.567402894135568,15.49614436945303,['LAMB1'],0.22010141410760467,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 376 VLMC up,0.1500634132130179,6.4169360051713,12.170985320206372,['LAMC1'],0.24176883239875105,0,0,AllenBrainAtlas10xscRNA2021
18,19,Human Exc L5 THEMIS VILL up,0.1928827672603341,4.854483096521313,7.98889029560125,['LAMA4'],0.29440001318682574,0,0,AllenBrainAtlas10xscRNA2021
19,20,Human Exc L6 THEMIS SNTG2 up,0.22732289782199003,4.026048026048026,5.964122383673828,['LAMB1'],0.3296182018418855,0,0,AllenBrainAtlas10xscRNA2021
20,21,Human Inh L2 PAX6 FREM2 up,0.36030460463658065,2.310750411667843,2.358826686152752,['LAMA5'],0.49756350164099233,0,0,AllenBrainAtlas10xscRNA2021
21,22,Human Inh L1-2 VIP WNT4 up,0.5112558000004137,1.433171234895373,0.9614934091743889,['LAMA5'],0.6738570780761709,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 298 CA3 up,0.534438372267308,1.3406987985084933,0.8399998900437767,['AGRN'],0.6738570780761709,0,0,AllenBrainAtlas10xscRNA2021
23,24,Mouse 300 CA3 up,0.7146145770029366,0.8094328408897945,0.27197909493558203,['AGRN'],0.8634926138785484,0,0,AllenBrainAtlas10xscRNA2021
24,25,Mouse 299 CA3 up,0.7596563297335592,0.7095348663021497,0.19504343323718248,['AGRN'],0.8812013424909286,0,0,AllenBrainAtlas10xscRNA2021
25,26,Mouse 97 Sst up,0.8077130703745485,0.610897977761883,0.1304562823240736,['LAMB1'],0.9009107323408426,0,0,AllenBrainAtlas10xscRNA2021
26,27,Mouse 294 CA3 up,0.853617190948017,0.5214453913433506,0.08253043433578605,['COL4A2'],0.9168480939812036,0,0,AllenBrainAtlas10xscRNA2021
27,28,Human Exc L5 FEZF2 CSN1S1 up,0.9256244923121433,0.38062864576776195,0.029417510048394328,['CLEC11A'],0.9586825098947199,0,0,AllenBrainAtlas10xscRNA2021
28,29,Mouse 96 Sst up,0.9660652715633595,0.28801203046846907,0.009943292244511608,['LAMC1'],0.9660652715633595,0,0,AllenBrainAtlas10xscRNA2021
