,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 364 Oligo down,2.047694054476629e-08,15.1015625,267.3575556220516,"['GOT2', 'ATP5A1', 'ATP5D', 'VDAC2', 'CYCS', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20', 'ATP5L']",2.4162789842824224e-06,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 234 L3 RSP-ACA down,1.7365304433944557e-07,13.81198003327787,215.00013373709442,"['ATP5A1', 'ATP5D', 'CYCS', 'ATP5C1', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20', 'ATP5L']",1.0245529616027289e-05,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 367 Oligo down,5.403700352227746e-07,11.993157785610617,173.07340010404732,"['GOT2', 'ATP5A1', 'CYCS', 'ATP5C1', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20', 'ATP5L']",2.125455471876247e-05,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 363 Oligo down,1.4225267606268982e-06,10.614746543778802,142.90713794010077,"['ATP5A1', 'ATP5D', 'CYCS', 'ATP5C1', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20', 'ATP5L']",3.613585555639089e-05,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 362 Oligo down,1.5311803201860544e-06,10.515893313847277,140.80225559865315,"['GOT2', 'ATP5A1', 'ATP5D', 'CYCS', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20', 'ATP5L']",3.613585555639089e-05,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 372 SMC down,4.559733613110298e-06,12.93710334375296,159.1036840327962,"['ATP5A1', 'ATP5D', 'ATP5J', 'VDAC1', 'ACO2', 'SLC25A4', 'ATP5L']",8.967476105783586e-05,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Inh L3-5 PVALB ISG20 up,1.7221303177129367e-05,5.627582301233595,61.73099523398746,"['NDUFA9', 'MDH2', 'GOT2', 'ATP5A1', 'ATP5C1', 'ATP5O', 'SDHB', 'ATP5L', 'ALDH2', 'ATP5D', 'VDAC2', 'ACO2', 'SLC25A4']",0.0002903019678430379,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human Inh L5-6 PVALB KCNIP2 up,2.7614340293537608e-05,12.13833746898263,127.41825680045412,"['ATP5A1', 'ATP5C1', 'ATP5J', 'ATP5O', 'SLC25A4', 'ATP5L']",0.0003611852271843687,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 356 Astro down,2.8187157738226567e-05,9.659301496792587,101.19706387324767,"['ATP5A1', 'ATP5D', 'CYCS', 'ATP5J', 'SDHB', 'SLC25A4', 'ATP5L']",0.0003611852271843687,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 365 Oligo down,3.0608917557997344e-05,9.53032221753201,99.06025787066406,"['ATP5A1', 'VDAC2', 'CYCS', 'ATP5J', 'VDAC1', 'SLC25A4', 'TOMM20']",0.0003611852271843687,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 358 Astro down,4.167881821514347e-05,9.06056139880753,91.38045068054755,"['NDUFA11', 'ATP5A1', 'CYCS', 'ATP5J', 'VDAC1', 'SLC25A4', 'ATP5L']",0.00042908657163454777,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 361 Oligo down,4.363592253910655e-05,7.660472124560522,76.9083044949159,"['ATP5A1', 'ATP5D', 'CYCS', 'ATP5J', 'ACO2', 'SLC25A4', 'TOMM20', 'ATP5L']",0.00042908657163454777,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 360 OPC down,5.246103643468951e-05,7.453175457481162,73.45432224168778,"['ATP5A1', 'ATP5D', 'CYCS', 'ATP5J', 'VDAC1', 'ACO2', 'SLC25A4', 'ATP5L']",0.0004761847922533356,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 111 Pvalb up,7.218003691904614e-05,10.151041666666666,96.80385622456996,"['NDUFA11', 'MDH2', 'VDAC3', 'ATP5C1', 'SLC25A5', 'SDHB']",0.0006083745968891032,0,0,AllenBrainAtlas10xscRNA2021
14,15,Human Inh L5-6 SST C4orf26 up,0.00010364718770184069,9.481968810916179,86.99249212871872,"['ALDH2', 'VDAC2', 'ATP5J', 'VDAC1', 'SLC25A5', 'SLC25A4']",0.0008153578765878134,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 113 Pvalb up,0.00012155266440751841,18.133699633699635,163.4782568517394,"['NDUFA11', 'VDAC3', 'ATP5C1', 'SLC25A5']",0.0008964509000054483,0,0,AllenBrainAtlas10xscRNA2021
16,17,Human Exc L5-6 FEZF2 LPO up,0.0001439286496737927,7.369675010979359,65.19356653309748,"['ECHS1', 'FAM162A', 'ATP5C1', 'ATP5J', 'VDAC1', 'SLC25A5', 'ATP5L']",0.0009990341565592668,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 377 Micro down,0.00019278169972489017,10.894444444444444,93.1905559200773,"['ATP5A1', 'ATP5D', 'ATP5J', 'SLC25A4', 'ATP5L']",0.0012637911426409466,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 185 L2 IT RSP-ACA down,0.0003065427869915118,14.135957066189624,114.36205848724674,"['ATP5D', 'CYCS', 'ATP5C1', 'ATP5L']",0.0019037920455262313,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 357 Astro down,0.0003539063719237543,7.49031007751938,59.52158548685998,"['ATP5D', 'ATP5J', 'VDAC1', 'ACO2', 'SLC25A4', 'ATP5L']",0.0020479919922656237,0,0,AllenBrainAtlas10xscRNA2021
20,21,Mouse 371 Peri down,0.0003644731511659161,9.447342995169082,74.79515930762133,"['ATP5A1', 'CYCS', 'ATP5J', 'SLC25A4', 'ATP5L']",0.0020479919922656237,0,0,AllenBrainAtlas10xscRNA2021
21,22,Mouse 116 Pvalb up,0.0004487323925980029,75.00375939849624,578.2102706794014,"['NDUFA11', 'SLC25A5']",0.0024068373784801975,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 373 SMC down,0.0007358505185280888,8.052066115702479,58.09149861326381,"['ATP5A1', 'CYCS', 'ATP5J', 'VDAC1', 'ATP5L']",0.0037752330950571508,0,0,AllenBrainAtlas10xscRNA2021
23,24,Mouse 114 Pvalb up,0.000958193010549833,17.36045494313211,120.66317071692114,"['NDUFA11', 'ATP5C1', 'SLC25A5']",0.004711115635203346,0,0,AllenBrainAtlas10xscRNA2021
24,25,Human Exc L5 FEZF2 CSN1S1 up,0.001083615532917013,4.26105675146771,29.092160922730702,"['FAM162A', 'ATP5A1', 'ATP5D', 'ATP5C1', 'ATP5J', 'ACO2', 'SLC25A11', 'SLC25A4', 'ATP5L']",0.005063560914435669,0,0,AllenBrainAtlas10xscRNA2021
25,26,Mouse 115 Pvalb up,0.0011156998625027744,45.94239631336406,312.32897040365367,"['NDUFA11', 'SLC25A5']",0.005063560914435669,0,0,AllenBrainAtlas10xscRNA2021
26,27,Mouse 103 Sst up,0.0013275193945400411,41.88235294117647,277.4472679372888,"['NDUFA11', 'SLC25A5']",0.005792086777956354,0,0,AllenBrainAtlas10xscRNA2021
27,28,Human Exc L3-5 RORB RPRM up,0.001374393472735406,9.357942367230294,61.666432924767534,"['MDH2', 'VDAC1', 'SLC25A5', 'SLC25A4']",0.005792086777956354,0,0,AllenBrainAtlas10xscRNA2021
28,29,Mouse 31 Sncg up,0.0019101522528509663,6.44559068219634,40.35308665333017,"['NDUFA11', 'VDAC3', 'ATP5C1', 'SLC25A5', 'SDHB']",0.0075677275546182365,0,0,AllenBrainAtlas10xscRNA2021
29,30,Mouse 370 Endo down,0.001923998530835145,6.434551495016612,40.237500598826756,"['ATP5A1', 'ATP5D', 'ATP5J', 'SLC25A4', 'ATP5L']",0.0075677275546182365,0,0,AllenBrainAtlas10xscRNA2021
30,31,Mouse 110 Pvalb up,0.0022790290073385388,6.180191693290735,37.600322111419956,"['NDUFA11', 'MDH2', 'VDAC3', 'ATP5C1', 'SLC25A5']",0.008558139163252522,0,0,AllenBrainAtlas10xscRNA2021
31,32,Mouse 132 L2/3 IT PPP down,0.0023208512985091584,12.641123882503193,76.67879751132459,"['GOT2', 'ATP5A1', 'VDAC1']",0.008558139163252522,0,0,AllenBrainAtlas10xscRNA2021
32,33,Mouse 368 Oligo down,0.0024735488785944146,6.060188087774295,36.37386320341292,"['ATP5A1', 'ATP5D', 'ATP5J', 'SLC25A4', 'ATP5L']",0.008589985876628632,0,0,AllenBrainAtlas10xscRNA2021
33,34,Mouse 98 Sst up,0.002511640590524396,12.28491620111732,73.54757117137125,"['NDUFA11', 'VDAC3', 'SLC25A5']",0.008589985876628632,0,0,AllenBrainAtlas10xscRNA2021
34,35,Mouse 105 Pvalb up,0.002547877166796628,29.645833333333332,177.0595839464994,"['NDUFA11', 'ATP5C1']",0.008589985876628632,0,0,AllenBrainAtlas10xscRNA2021
35,36,Mouse 109 Pvalb up,0.0026710814079758632,12.013964784456588,71.18600754673123,"['NDUFA11', 'ATP5C1', 'SLC25A5']",0.008755211281698663,0,0,AllenBrainAtlas10xscRNA2021
36,37,Mouse 129 L2/3 IT APr down,0.0028790268778822515,11.691489361702128,68.39875448702247,"['GOT2', 'ATP5A1', 'VDAC1']",0.00918176139432718,0,0,AllenBrainAtlas10xscRNA2021
37,38,Mouse 379 PVM down,0.003409834341721469,7.231508875739645,41.08286410516449,"['ATP5A1', 'VDAC2', 'ATP5J', 'ATP5L']",0.010588432955871929,0,0,AllenBrainAtlas10xscRNA2021
38,39,Mouse 30 Sncg up,0.004291110492564893,5.301377410468319,28.898920087696943,"['NDUFA11', 'MDH2', 'VDAC3', 'ATP5C1', 'SLC25A5']",0.01298335995186301,0,0,AllenBrainAtlas10xscRNA2021
39,40,Mouse 366 Oligo down,0.006111160544359317,4.855696202531646,24.75258430469831,"['ATP5A1', 'ATP5D', 'ATP5J', 'SLC25A4', 'ATP5L']",0.01802792360585999,0,0,AllenBrainAtlas10xscRNA2021
40,41,Mouse 374 VLMC down,0.006908909992362727,5.8821218074656185,29.26322304730039,"['ATP5A1', 'CYCS', 'ATP5C1', 'VDAC1']",0.019884179978019556,0,0,AllenBrainAtlas10xscRNA2021
41,42,Mouse 97 Sst up,0.007405541182398892,3.9881154499151106,19.56380702386779,"['ECHS1', 'NDUFA11', 'MDH2', 'VDAC3', 'ATP5C1', 'SLC25A11']",0.02080604427435879,0,0,AllenBrainAtlas10xscRNA2021
42,43,Mouse 375 VLMC down,0.007991945990725856,5.632044038823699,27.198948524699407,"['ATP5A1', 'ATP5J', 'SLC25A4', 'ATP5L']",0.02193138667222444,0,0,AllenBrainAtlas10xscRNA2021
43,44,Mouse 236 L3 RSP-ACA up,0.009069353088836078,5.4220298757503835,25.499016741851513,"['NDUFA11', 'MDH2', 'ATP5C1', 'SDHB']",0.02432235601096948,0,0,AllenBrainAtlas10xscRNA2021
44,45,Mouse 355 V3d up,0.012684721846906038,6.737311385459534,29.424244134038275,"['MDH2', 'FAM162A', 'ATP5J']",0.03326215950966472,0,0,AllenBrainAtlas10xscRNA2021
45,46,Mouse 112 Pvalb up,0.014137762456689684,11.915366146458583,50.746422861723886,"['NDUFA11', 'SLC25A5']",0.03626643412803006,0,0,AllenBrainAtlas10xscRNA2021
46,47,Human Exc L5 THEMIS FGF10 up,0.015208746125871878,6.283381364073007,26.30150937320932,"['ATP5A1', 'VDAC1', 'ATP5L']",0.03818366048623152,0,0,AllenBrainAtlas10xscRNA2021
47,48,Human Exc L5 THEMIS LINC01116 up,0.01798339961906272,2.7840958348110494,11.187349526572941,"['NDUFA9', 'FAM162A', 'ATP5A1', 'ATP5D', 'ATP5C1', 'ATP5J', 'SDHB', 'ATP5L']",0.04420919073019585,0,0,AllenBrainAtlas10xscRNA2021
