,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Human Oligo L2-6 OPALIN FTH1P3 up,0.023131044793018793,8.979656419529837,33.82259098371489,"['TF', 'CRYAB']",0.4163588062743383,0,0,AllenBrainAtlas10xscRNA2021
1,2,Human Inh L3-5 VIP HS3ST3A1 up,0.0700725371329717,14.559941520467836,38.70359077425905,['FABP5'],0.46895213128022367,0,0,AllenBrainAtlas10xscRNA2021
2,3,Human Oligo L3-6 OPALIN ENPP6 up,0.08807939164753467,4.178571428571429,10.151909040315498,"['TF', 'CRYAB']",0.46895213128022367,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 375 VLMC up,0.12518613547672552,7.757115009746589,16.11892479212372,['CP'],0.46895213128022367,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 374 VLMC up,0.13026448091117324,7.4262784621127285,15.136154814985696,['CP'],0.46895213128022367,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 368 Oligo up,0.19839167749134176,4.647251461988304,7.516985160791354,['CRYAB'],0.5123151011948319,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Oligo L5-6 OPALIN LDLRAP1 up,0.22465169923919434,2.291783380018674,3.4221002924985076,"['TF', 'CRYAB']",0.5123151011948319,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 358 Astro up,0.2525911479606718,3.5163919900762006,4.8384959983786695,['FABP5'],0.5123151011948319,0,0,AllenBrainAtlas10xscRNA2021
8,9,Human Oligo L2-6 OPALIN MAP6D1 up,0.256941656798116,3.4464130623588676,4.6833522029908385,['TF'],0.5123151011948319,0,0,AllenBrainAtlas10xscRNA2021
9,10,Human Inh L5-6 VIP COL4A3 up,0.2846195006637955,3.051400430901816,3.8343961165575453,['FABP5'],0.5123151011948319,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 366 Oligo up,0.3291685419887074,2.554953560371517,2.839027026793925,['CRYAB'],0.5386394323451575,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 362 Oligo up,0.41368994847383433,1.9047619047619047,1.6812161951712776,['FABP5'],0.607732506953386,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 6 Lamp5 Lhx6 up,0.4389179216885566,1.758393445542791,1.4479365100929313,['FABP5'],0.607732506953386,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 31 Sncg up,0.8325642244893283,0.5607365521241119,0.10275212102921498,['FABP5'],0.9993039127941504,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 30 Sncg up,0.8849906237380282,0.4617159336697909,0.05641163492755008,['FABP5'],0.9993039127941504,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 29 Sncg up,0.941864538643481,0.3488013226784238,0.020891042454149016,['FABP5'],0.9993039127941504,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 97 Sst up,0.9711191864474029,0.2781954887218045,0.008152817061409781,['FABP5'],0.9993039127941504,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 96 Sst up,0.9993039127941504,0.13114277406222738,9.131859370526144e-05,['FABP5'],0.9993039127941504,0,0,AllenBrainAtlas10xscRNA2021
