,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 379 PVM up,8.004401254257579e-05,19.72300819061802,186.0458329221101,"['ASAH1', 'LAMP1', 'HEXA', 'CTSB']",0.012807042006812127,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 377 Micro up,0.002488427116072047,12.054655870445345,72.28097568861115,"['HEXA', 'COTL1', 'PLXDC2']",0.14751491672975026,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 374 VLMC down,0.002765904688682817,4.694602101195508,27.653025555528988,"['NPEPPS', 'MAP1B', 'PSAP', 'RAB6A', 'ARID1A', 'CTSB']",0.14751491672975026,0,0,AllenBrainAtlas10xscRNA2021
3,4,Human Micro L1-6 TYROBP CD74 up,0.007723978551513321,16.32403609515997,79.3907365306209,"['RNASET2', 'PLXDC2']",0.2629888937744443,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 368 Oligo down,0.008218402930451384,3.7115304520552335,17.82046577884822,"['NPEPPS', 'MAP1B', 'PSAP', 'RAB6A', 'ARID1A', 'CTSB']",0.2629888937744443,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 301 CA2-IG-FC down,0.013825219106931585,11.908954776879305,50.98534224482072,"['GAP43', 'CTSB']",0.2862612030461644,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Exc L5 THEMIS FGF10 up,0.015608185807111102,4.442706562393743,18.481480574470403,"['VCP', 'CAPNS1', 'S100A6', 'CTSB']",0.2862612030461644,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human VLMC L1-5 PDGFRA COLEC12 down,0.01582998911242457,3.195818544809228,13.249381414976353,"['NPEPPS', 'MAP1B', 'PRKAR2A', 'PSAP', 'ACYP2', 'ARID1A']",0.2862612030461644,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 378 Micro up,0.016782643732601916,10.714285714285714,43.79367897594362,"['HEXA', 'PLXDC2']",0.2862612030461644,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 262 L6 Car3 up,0.017891325190385277,5.753787878787879,23.15001633199684,"['CAPNS1', 'PRKAR2A', 'COTL1']",0.2862612030461644,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 63 Sst Chodl up,0.024533005805995916,3.852005123657503,14.282217654322336,"['ASAH1', 'VCP', 'CAPNS1', 'ENDOD1']",0.3228344887778294,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 356 Astro down,0.026950890436886536,3.158986928104575,11.415754078865156,"['NPEPPS', 'PSAP', 'RAB6A', 'ARID1A', 'CTSB']",0.3228344887778294,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 359 OPC down,0.027368099668094666,2.802395209580838,10.084074998227916,"['NPEPPS', 'MAP1B', 'PSAP', 'RAB6A', 'ARID1A', 'CTSB']",0.3228344887778294,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 376 VLMC down,0.02864583587187257,3.6639459611595835,13.017073722113006,"['NPEPPS', 'MAP1B', 'RAB6A', 'CTSB']",0.3228344887778294,0,0,AllenBrainAtlas10xscRNA2021
