,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 355 V3d up,1.1338993990534988e-14,62.221518987341774,1997.9658782878535,"['RPS9', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL13A', 'RPL35A', 'RCC1', 'RPL23A', 'RPL10A', 'RPL6']",1.3039843089115236e-12,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 371 Peri down,2.7886761864867876e-10,33.041651031894936,726.9257042784976,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",1.288563558433293e-08,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 356 Astro down,3.361470152434677e-10,26.593904448105437,580.1054035137296,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",1.288563558433293e-08,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 359 OPC down,6.69046773203796e-09,19.20076213397513,361.4079206921099,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",1.727700713152864e-07,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 234 L3 RSP-ACA down,7.511742231099409e-09,22.320875463970307,417.55211763726777,"['RPS16', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",1.727700713152864e-07,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 361 Oligo down,1.4667574043061209e-08,17.603359173126616,317.52282014649455,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",2.811285024920065e-07,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 360 OPC down,1.877971711600254e-08,17.12603380079108,304.68050612183134,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPS8', 'RPL14', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",3.0852392404861313e-07,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 364 Oligo down,4.130239446778721e-06,14.032659409020217,173.96533686815533,"['RPS9', 'RPS16', 'RPL21', 'RPL18A', 'RPL35A', 'RPL10A', 'RPL17']",5.937219204744411e-05,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 363 Oligo down,1.4095221233119218e-05,11.532132132132132,128.81016494767178,"['RPS16', 'RPL21', 'RPL18A', 'RPL13A', 'RPL35A', 'RPL10A', 'RPL17']",0.00018010560464541223,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 375 VLMC down,1.8449482727776987e-05,13.78709829867675,150.28590963269374,"['RPS9', 'RPS16', 'RPL35A', 'RPL10A', 'RPL17', 'RPL6']",0.00021216905136943535,0,0,AllenBrainAtlas10xscRNA2021
