,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Human Astro L1 FGFR3 SERPINI2 down,7.80253254428869e-05,1.9176346798567407,18.137903703305547,"['GALNT11', 'SMG1', 'C2CD5', 'ROCK1', 'RIF1', 'NEDD4L', 'FAM208A', 'MTR', 'STRN3', 'ARHGAP12', 'HERC4', 'NIPBL', 'NRD1', 'SLC22A17', 'KIF3A', 'KIAA1468', 'VPS53', 'POGZ', 'SACS', 'APBB2', 'DIP2C', 'MARK3', 'MDN1', 'KPNA1', 'PPFIA2', 'ANKIB1', 'OSBPL6', 'TAF15', 'NEGR1', 'LRBA', 'INSR', 'CADPS', 'RANBP9', 'TRAPPC8', 'RPRD2', 'WDR33', 'TBCK', 'DNAJC1', 'SFPQ', 'NBEA', 'CCNY', 'CSDE1', 'DMXL2', 'PHF14', 'TRIP12', 'PTPN4', 'EIF4G3']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 31 Sncg up,0.00010185705470532164,2.1629490075255275,19.881697829113442,"['TMEM55A', 'NDUFB8', 'RIF1', 'PPP1R11', 'SAR1B', 'NDUFB11', 'DLST', 'CORO1C', 'TIAL1', 'PRRC1', 'GRPEL1', 'SNRPD2', 'GDAP1L1', 'TCP11L1', 'MGAT1', 'CCT7', 'SEPHS2', 'RPS13', 'CCT5', 'ATG3', 'RANBP1', 'SURF1', 'TAF15', 'AMFR', 'NONO', 'TTC9C', 'MRPL48', 'MTSS1', 'TCP1', 'MRTO4', 'PEX5', 'COPS8', 'FARSB']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 30 Sncg up,0.0001732814183773554,2.005422949645689,17.36815314149686,"['TMEM55A', 'NDUFB8', 'PPP1R11', 'POLDIP2', 'SAR1B', 'MRPS14', 'NDUFB11', 'CORO1C', 'TIAL1', 'PRRC1', 'GRPEL1', 'SNRPD2', 'PDZD11', 'GDAP1L1', 'TCP11L1', 'MGAT1', 'CCT7', 'SEPHS2', 'RPS13', 'ATG3', 'RANBP1', 'SURF1', 'TAF15', 'AMFR', 'ATP1B3', 'MRPL48', 'CWC15', 'MTSS1', 'G6PC3', 'TCP1', 'MRTO4', 'POLR1C', 'PEX5', 'FAM20B', 'MXRA7', 'COPS8', 'FARSB']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
3,4,Human VLMC L1-5 PDGFRA COLEC12 down,0.0002320893174147234,1.9729757387114655,16.510627031847434,"['DOCK4', 'ROCK1', 'RIF1', 'FHIT', 'STRN3', 'HERC4', 'NIPBL', 'POGZ', 'APBB2', 'AP3S1', 'DIP2C', 'METTL15', 'MDN1', 'KPNA1', 'OSBPL8', 'PBRM1', 'ANKIB1', 'TAF15', 'RPS7', 'NEGR1', 'ARL15', 'LRBA', 'OSBPL3', 'RANBP9', 'TRAPPC8', 'ATP1B3', 'MTSS1', 'ERBB2IP', 'TBCK', 'ITCH', 'SFPQ', 'NBEA', 'CCNY', 'PHF14', 'PIK3C3', 'TRIP12', 'EIF4G3']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 96 Sst up,0.00030798249194381445,1.5330618453786307,12.395521911714596,"['PHF2', 'GALNT11', 'NGLY1', 'MRPL38', 'TXNDC12', 'TXNDC15', 'EDC3', 'HERC4', 'SMPD4', 'MRPL1', 'SPR', 'NKRF', 'GDAP1L1', 'TCP11L1', 'PPFIA1', 'SEPHS2', 'CTNNBL1', 'VPS39', 'RPS13', 'MED1', 'ATG3', 'IK', 'ARMT1', 'FNBP1', 'ARHGEF17', 'AIP', 'COMMD2', 'VWA5B2', 'PUS7', 'MTSS1', 'GIGYF1', 'EBNA1BP2', 'TWSG1', 'CYP2U1', 'PPIF', 'PIK3C3', 'DNAJC9', 'PRR12', 'TMEM55A', 'DCTN6', 'NDUFB8', 'NUFIP2', 'DCUN1D5', 'PLGRKT', 'TUBGCP2', 'SAR1B', 'INPP1', 'NDUFB11', 'UBA5', 'MTTP', 'DCUN1D1', 'CBL', 'FHIT', 'ARHGAP12', 'PTDSS2', 'EMG1', 'GRPEL1', 'MFN2', 'STK38L', 'CCT7', 'MDN1', 'N4BP1', 'SH2B1', 'CNTLN', 'HEXIM1', 'RNF20', 'BCAP31', 'RANBP1', 'FAHD1', 'TAF15', 'LRBA', 'LYSMD2', 'SAMD4B', 'TRAPPC8', 'TTC9C', 'RPRD2', 'CWC15', 'PEX14', 'CHERP', 'SEC23IP', 'DLG3', 'B4GAT1', 'NFIC', 'TMEM57', 'OTULIN', 'CDK2AP2', 'MKRN2', 'TAB2', 'CDO1', 'RBMX']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
5,6,Human Micro L1-6 TYROBP CD74 down,0.00036022522904052877,1.9626665950609992,15.561553776885047,"['SMG1', 'C2CD5', 'CTTNBP2', 'NEDD4L', 'MED12L', 'STRN3', 'HERC4', 'NRD1', 'KIAA1468', 'POGZ', 'RPL13', 'METTL15', 'MARK3', 'KPNA1', 'OSBPL8', 'PBRM1', 'ANKIB1', 'OSBPL6', 'TAF15', 'FNBP1', 'ARL15', 'LRBA', 'OSBPL3', 'RANBP9', 'ERBB2IP', 'TBCK', 'ITCH', 'SFPQ', 'ZEB1', 'NBEA', 'CCNY', 'CSDE1', 'PHF14', 'TRIP12', 'EIF4G3']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
6,7,Human Astro L1-6 FGFR3 AQP1 down,0.0003893550241281895,1.9535928143712575,15.337694249461375,"['ROCK1', 'MTR', 'HERC4', 'NIPBL', 'SLC22A17', 'KIAA1468', 'POGZ', 'TSPAN3', 'DIP2C', 'METTL15', 'MARK3', 'PPFIA2', 'PBRM1', 'ANKIB1', 'OSBPL6', 'TAF15', 'NEGR1', 'LRBA', 'OSBPL3', 'TCF12', 'CADPS', 'CTDSPL', 'RPRD2', 'TBCK', 'DNAJC1', 'ITCH', 'SFPQ', 'ZEB1', 'NBEA', 'CCNY', 'PHF14', 'TRIP12', 'PTPN4', 'PAXBP1', 'EIF4G3']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
7,8,Human Astro L1-6 FGFR3 PLCG1 down,0.00043962599363547275,1.8387089006874466,14.212458957412302,"['SMG1', 'ROCK1', 'NUFIP2', 'NEDD4L', 'STRN3', 'HERC4', 'NIPBL', 'NRD1', 'KIF3A', 'KIAA1468', 'POGZ', 'SACS', 'TSPAN3', 'DIP2C', 'MARK3', 'MDN1', 'KPNA1', 'PPFIA2', 'PBRM1', 'ANKIB1', 'TAF15', 'NEGR1', 'LRBA', 'INSR', 'TCF12', 'CADPS', 'RANBP9', 'RPRD2', 'TBCK', 'DNAJC1', 'SFPQ', 'ZEB1', 'NBEA', 'CCNY', 'DMXL2', 'PHF14', 'PIK3C3', 'TRIP12', 'TAB2', 'PTPN4', 'EIF4G3']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 1 CR down,0.00045885905914696396,1.8974670652780972,14.585388085715334,"['C2CD5', 'NUFIP2', 'CTTNBP2', 'RAPH1', 'NEDD4L', 'FAM208A', 'MTIF2', 'CTDSPL2', 'MED12L', 'ACTR1B', 'SLC22A17', 'NCS1', 'DIP2C', 'MARK3', 'ARFGEF3', 'PPFIA2', 'ZYG11B', 'LRBA', 'PCDH7', 'INSR', 'LYSMD2', 'RPRD2', 'CLIP3', 'IMPACT', 'DNAJC1', 'ITCH', 'CCNY', 'CSDE1', 'HECW1', 'DMXL2', 'ASXL2', 'PHF14', 'TRIP12', 'PTPN4', 'EIF4G3', 'MAD1L1', 'GAS7']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 299 CA3 up,0.0004797364931010911,1.7668481649278855,13.502737046298792,"['NDUFB8', 'SMARCD3', 'POLDIP2', 'SAR1B', 'SRC', 'NDUFB11', 'UBE2D1', 'MTIF2', 'CDC73', 'TIAL1', 'ATXN3', 'AKAP13', 'CHTF8', 'ZC3H7A', 'VPS53', 'TRPS1', 'SACS', 'MDP1', 'POLR2I', 'CCT7', 'METTL15', 'RPS13', 'HEXIM1', 'RAB2B', 'ANKIB1', 'FNBP1', 'AMFR', 'NONO', 'ARHGEF17', 'AIP', 'TOMM34', 'MRPL48', 'SCAF4', 'TBCK', 'TCP1', 'DRG1', 'FAM20B', 'CDK2AP2', 'ELMO2', 'PRR12', 'COPS8', 'PAXBP1', 'RBMX', 'PI4K2A', 'AHDC1', 'SF1']",0.023459114512643355,0,0,AllenBrainAtlas10xscRNA2021
