,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 359 OPC up,0.0001831680104570772,124.725,1073.2719376950276,"['VCAN', 'PTPRZ1']",0.007143552407826011,0,0,AllenBrainAtlas10xscRNA2021
1,2,Human OPC L1-6 PDGFRA COL20A1 up,0.00043035527752799174,79.752,618.1497340214149,"['VCAN', 'PTPRZ1']",0.008391927911795839,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 361 Oligo up,0.0008702128240442448,55.32222222222222,389.8431280744211,"['VCAN', 'PTPRZ1']",0.011312766712575183,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 360 OPC up,0.0014285122327742609,42.784946236559136,280.2893928452439,"['VCAN', 'PTPRZ1']",0.012332151797871274,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 358 Astro up,0.001581045102291189,40.59183673469388,261.8039188938469,"['PTPRZ1', 'NCAN']",0.012332151797871274,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 43 Vip up,0.006581796197874835,181.61818181818182,912.3494182081016,['PTPRZ1'],0.04278167528618643,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 176 L2/3 IT CTX up,0.017266474337105393,64.8051948051948,263.043544162992,['MATN2'],0.090311504287744,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 357 Astro up,0.019036979887302796,58.52492668621701,231.83899894541258,['PTPRZ1'],0.090311504287744,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 344 L6b RHP up,0.02315679597121641,47.72727272727273,179.71546945510647,['NAMPT'],0.090311504287744,0,0,AllenBrainAtlas10xscRNA2021
9,10,Human Inh L1-5 VIP LINC01013 up,0.02315679597121641,47.72727272727273,179.71546945510647,['NCAN'],0.090311504287744,0,0,AllenBrainAtlas10xscRNA2021
10,11,Human Astro L1-6 FGFR3 AQP1 up,0.026675438127783887,41.20661157024794,149.33325716982057,['TNC'],0.09457655336214287,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 346 L6b CTX up,0.032514035214057754,33.55892255892256,114.97566851206538,['NAMPT'],0.10113844221265185,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 289 CA1 up,0.03716177957627267,29.21700879765396,96.19625574937483,['MATN2'],0.10113844221265185,0,0,AllenBrainAtlas10xscRNA2021
13,14,Human Astro L1-6 FGFR3 PLCG1 up,0.037741306359582505,28.751803751803752,94.21966448632159,['NCAN'],0.10113844221265185,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 172 L2/3 IT CTX up,0.03889940085101994,27.864335664335666,90.46926829385504,['MATN2'],0.10113844221265185,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 356 Astro up,0.04236602319273223,25.50192061459667,80.62199058091778,['PTPRZ1'],0.10326718153228481,0,0,AllenBrainAtlas10xscRNA2021
16,17,Human Astro L1 FGFR3 SERPINI2 up,0.05896036082022865,18.08,51.18248959763659,['NCAN'],0.13388844550868007,0,0,AllenBrainAtlas10xscRNA2021
