,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Mouse 367 Oligo down,3.88871317881869e-11,6.947140039447731,166.52543189311146,"['EIF5A', 'MTCH1', 'SCOC', 'ARL3', 'COX7A2', 'ASH1L', 'SRP9', 'LZTFL1', 'MYL12B', 'ACTG1', 'ATP5B', 'PRDX5', 'PCLO', 'ARPC2', 'MORF4L2', 'RAB12', 'RPL37A', 'NDUFS4', 'SUMO2', 'HDGF', 'PRKACB', 'ITM2C']",8.555168993401117e-09,0,0,AllenBrainAtlas10xscRNA2021
1,2,Mouse 363 Oligo down,3.549593954226082e-10,6.13549139690872,133.50226597768912,"['EIF5A', 'MTCH1', 'SCOC', 'USP15', 'ARL3', 'CELF2', 'RPL22', 'COX7A2', 'ASH1L', 'SRP9', 'MYL12B', 'ATP5B', 'MAP1LC3A', 'PCLO', 'ARPC2', 'MORF4L2', 'RAB12', 'RPL37A', 'HDGF', 'DLAT', 'PRKACB', 'ITM2C']",3.849830198934937e-08,0,0,AllenBrainAtlas10xscRNA2021
2,3,Mouse 374 VLMC down,5.249768453093096e-10,7.502127659574468,160.3029653098054,"['EIF5A', 'MTCH1', 'SCOC', 'ARL3', 'COX7A2', 'ASH1L', 'SRP9', 'MYL12B', 'ACTG1', 'MTDH', 'ATP5B', 'PRDX5', 'MAP1LC3A', 'ARPC2', 'MORF4L2', 'CFL1', 'PRKACB', 'ERGIC1']",3.849830198934937e-08,0,0,AllenBrainAtlas10xscRNA2021
3,4,Mouse 234 L3 RSP-ACA down,1.2021652614319261e-09,6.670723941560686,137.01094308705362,"['EIF5A', 'SCOC', 'ARL3', 'PDAP1', 'COX7A2', 'SRP9', 'MYL12B', 'EIF1', 'ACTG1', 'ATP5B', 'PRDX5', 'MAP1LC3A', 'ARPC2', 'MORF4L2', 'RAB12', 'CFL1', 'RPL37A', 'SUMO2', 'HDGF']",6.611908937875593e-08,0,0,AllenBrainAtlas10xscRNA2021
4,5,Mouse 361 Oligo down,5.945729592307019e-09,5.211796982167352,98.71452330440397,"['EIF5A', 'MTCH1', 'SCOC', 'USP15', 'ARL3', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'ATP5B', 'MAP1LC3A', 'PCLO', 'ARPC2', 'MORF4L2', 'RPL37A', 'NDUFS4', 'HDGF', 'ASCC3', 'PRKACB', 'ITM2C']",2.6161210206150886e-07,0,0,AllenBrainAtlas10xscRNA2021
5,6,Mouse 375 VLMC down,7.3329643185046e-09,6.691526112578744,125.33821273875449,"['EIF5A', 'MTCH1', 'ARL3', 'RPL22', 'COX7A2', 'ASH1L', 'SRP9', 'MYL12B', 'EIF1', 'ACTG1', 'MTDH', 'MAP1LC3A', 'MORF4L2', 'RAB12', 'CFL1', 'RPL37A', 'ITM2C']",2.6887535834516863e-07,0,0,AllenBrainAtlas10xscRNA2021
6,7,Mouse 365 Oligo down,1.1649187598184467e-08,6.082547583160994,111.11615803610738,"['EIF5A', 'SCOC', 'TPM1', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'ATP5B', 'PRDX5', 'PCLO', 'ARPC2', 'MORF4L2', 'RAB12', 'RPL37A', 'NDUFS4', 'HDGF', 'PRKACB', 'ITM2C']",3.4883098718196366e-07,0,0,AllenBrainAtlas10xscRNA2021
7,8,Mouse 373 SMC down,1.4067533568682165e-08,6.841085271317829,123.68269159424885,"['EIF5A', 'SCOC', 'ARL3', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'ATP5B', 'MORF4L2', 'CFL1', 'NDUFS4', 'SUMO2', 'PRKACB', 'ITM2C']",3.4883098718196366e-07,0,0,AllenBrainAtlas10xscRNA2021
8,9,Mouse 362 Oligo down,1.4577948599234064e-08,5.390232899114645,97.26004624404884,"['EIF5A', 'MTCH1', 'SCOC', 'USP15', 'ARL3', 'CELF2', 'COX7A2', 'ASH1L', 'SRP9', 'MYL12B', 'ATP5B', 'MAP1LC3A', 'PCLO', 'ARPC2', 'MORF4L2', 'RPL37A', 'NDUFS4', 'NDUFV2', 'PRKACB', 'ITM2C']",3.4883098718196366e-07,0,0,AllenBrainAtlas10xscRNA2021
9,10,Mouse 366 Oligo down,1.585595396281653e-08,5.361290322580645,96.28727712194713,"['EIF5A', 'MTCH1', 'SCOC', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'ATP5B', 'MAP1LC3A', 'PCLO', 'ARPC2', 'MORF4L2', 'RPL37A', 'NDUFS4', 'SUMO2', 'HDGF', 'PRKACB', 'ITM2C']",3.4883098718196366e-07,0,0,AllenBrainAtlas10xscRNA2021
10,11,Mouse 368 Oligo down,1.0638767268489213e-07,5.506204809147469,88.40859419585968,"['EIF5A', 'MTCH1', 'SCOC', 'CELF2', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'MTDH', 'ATP5B', 'MAP1LC3A', 'PCLO', 'RPL37A', 'SUMO2', 'HDGF', 'PRKACB', 'METAP2']",2.1277534536978427e-06,0,0,AllenBrainAtlas10xscRNA2021
11,12,Mouse 360 OPC down,2.3132780229563535e-07,4.497415959413968,68.71795266905819,"['EIF5A', 'MTCH1', 'SCOC', 'ARL3', 'RPL22', 'PDAP1', 'COX7A2', 'SRP9', 'ACTG1', 'ATP5B', 'PRDX5', 'MAP1LC3A', 'PCLO', 'ARPC2', 'MORF4L2', 'RPL37A', 'ASCC3', 'PRKACB', 'ERGIC1', 'ITM2C']",4.2410097087533145e-06,0,0,AllenBrainAtlas10xscRNA2021
12,13,Mouse 370 Endo down,2.7264572788875843e-07,5.441906373378455,82.25491867003808,"['EIF5A', 'SCOC', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'MTDH', 'ATP5B', 'MAP1LC3A', 'MORF4L2', 'CFL1', 'NDUFS4', 'SUMO2', 'HDGF', 'PRKACB']",4.614004625809758e-06,0,0,AllenBrainAtlas10xscRNA2021
13,14,Mouse 369 Endo down,2.9771739288466806e-07,5.404201680672269,81.20959335520392,"['EIF5A', 'MTCH1', 'SCOC', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'ATP5B', 'MAP1LC3A', 'MORF4L2', 'NDUFS4', 'HDGF', 'PRKACB', 'ERGIC1', 'ITM2C']",4.678416173901927e-06,0,0,AllenBrainAtlas10xscRNA2021
14,15,Mouse 364 Oligo down,6.77415236488629e-07,5.061514195583596,71.89871502542836,"['EIF5A', 'SCOC', 'ARL3', 'CELF2', 'PDAP1', 'COX7A2', 'ASH1L', 'SRP9', 'MYL12B', 'ATP5B', 'MAP1LC3A', 'PCLO', 'ARPC2', 'RPL37A', 'PRKACB', 'ITM2C']",9.935423468499892e-06,0,0,AllenBrainAtlas10xscRNA2021
15,16,Mouse 357 Astro down,3.509620057993793e-06,4.6809959151915965,58.79332167020549,"['SCOC', 'ARL3', 'COX7A2', 'ASH1L', 'SRP9', 'EIF1', 'ACTG1', 'ATP5B', 'MAP1LC3A', 'CFL1', 'RPL37A', 'SUMO2', 'HDGF', 'PRKACB', 'ITM2C']",4.825727579741465e-05,0,0,AllenBrainAtlas10xscRNA2021
16,17,Mouse 359 OPC down,4.317152845278347e-06,4.140112416964742,51.1424544445842,"['EIF5A', 'SCOC', 'ARL3', 'COX7A2', 'ASH1L', 'EIF1', 'ACTG1', 'ATP5B', 'MAP1LC3A', 'PCLO', 'MORF4L2', 'CFL1', 'RPL37A', 'NDUFS4', 'SUMO2', 'TMEM106B', 'ITM2C']",5.365224223524549e-05,0,0,AllenBrainAtlas10xscRNA2021
17,18,Mouse 376 VLMC down,4.389728910156449e-06,5.7008780487804875,70.32741740459927,"['EIF5A', 'ATP5B', 'MTCH1', 'SCOC', 'ARPC2', 'MORF4L2', 'ARL3', 'CFL1', 'ASH1L', 'PRKACB', 'SRP9', 'ACTG1']",5.365224223524549e-05,0,0,AllenBrainAtlas10xscRNA2021
18,19,Mouse 378 Micro down,6.514578947618474e-06,6.009789114504671,71.76570426312806,"['EIF5A', 'MT-ATP6', 'PRDX5', 'MAP1LC3A', 'CFL1', 'SUMO2', 'ASH1L', 'SRP9', 'EIF1', 'ITM2C', 'ACTG1']",7.543196676189812e-05,0,0,AllenBrainAtlas10xscRNA2021
19,20,Mouse 372 SMC down,1.1935955095610978e-05,5.136740088105727,58.22985590632021,"['EIF5A', 'ATP5B', 'MORF4L2', 'CELF2', 'CFL1', 'SUMO2', 'PDAP1', 'COX7A2', 'ASH1L', 'PRKACB', 'SRP9', 'ACTG1']",0.00013129550605172076,0,0,AllenBrainAtlas10xscRNA2021
20,21,Mouse 358 Astro down,1.801433495673024e-05,4.282599020916778,46.78457948192945,"['EIF5A', 'SCOC', 'ARL3', 'COX7A2', 'ASH1L', 'SRP9', 'ACTG1', 'MTDH', 'ATP5B', 'PRDX5', 'MAP1LC3A', 'CFL1', 'HDGF', 'PRKACB']",0.00018872160430860252,0,0,AllenBrainAtlas10xscRNA2021
21,22,Mouse 371 Peri down,2.3571590295010617e-05,5.199961172587847,55.40802181087671,"['EIF5A', 'CELF2', 'RPL22', 'CFL1', 'RPL37A', 'NDUFS4', 'SUMO2', 'COX7A2', 'ASH1L', 'ACTG1', 'MTDH']",0.00023045546360958913,0,0,AllenBrainAtlas10xscRNA2021
22,23,Mouse 379 PVM down,2.4093071195547956e-05,5.186981045292793,55.1562103796237,"['EIF5A', 'ATP5B', 'MTCH1', 'SCOC', 'SUMO2', 'COX7A2', 'ASH1L', 'PRKACB', 'SRP9', 'ITM2C', 'ACTG1']",0.00023045546360958913,0,0,AllenBrainAtlas10xscRNA2021
23,24,Mouse 377 Micro down,3.936626565591127e-05,5.394366197183099,54.71290565836846,"['EIF5A', 'PRDX5', 'MAP1LC3A', 'CFL1', 'SUMO2', 'COX7A2', 'ASH1L', 'SRP9', 'EIF1', 'ACTG1']",0.00036085743517918665,0,0,AllenBrainAtlas10xscRNA2021
24,25,Mouse 356 Astro down,4.1828315324308324e-05,4.192454344772226,42.26806077919222,"['ARL3', 'COX7A2', 'ASH1L', 'EIF1', 'ACTG1', 'MTDH', 'ATP5B', 'MAP1LC3A', 'CFL1', 'RPL37A', 'NDUFS4', 'SUMO2', 'ITM2C']",0.0003680891748539133,0,0,AllenBrainAtlas10xscRNA2021
25,26,Mouse 120 DG down,0.00019073034459448376,4.415395787944807,37.81631925203557,"['SCOC', 'PCLO', 'RAB12', 'RPL37A', 'TMEM106B', 'HDGF', 'PRKACB', 'LZTFL1', 'MYL12B', 'ITM2C']",0.001613872146568709,0,0,AllenBrainAtlas10xscRNA2021
26,27,Mouse 185 L2 IT RSP-ACA down,0.00023484345770812925,6.1874213836477985,51.705752342569745,"['ATP5B', 'SCOC', 'PRDX5', 'MORF4L2', 'RPL37A', 'COX7A2', 'ACTG1']",0.0019135392850292015,0,0,AllenBrainAtlas10xscRNA2021
27,28,Human Endo L2-5 NOSTRIN SRGN down,0.0019661051418683284,3.02117552795742,18.827061889833473,"['USP15', 'PPA2', 'MGST3', 'CELF2', 'NDUFS4', 'STK39', 'HDGFRP3', 'ASCC3', 'ASH1L', 'PRKACB', 'MTDH']",0.01544796897182258,0,0,AllenBrainAtlas10xscRNA2021
28,29,Human Exc L3-5 RORB RPRM up,0.002453167119119165,4.076666666666667,24.502296996634513,"['ATP5B', 'RPL22', 'CFL1', 'SUMO2', 'PDAP1', 'HDGF', 'SRP9']",0.018610233317455736,0,0,AllenBrainAtlas10xscRNA2021
29,30,Human Inh L5-6 SST DNAJC14 up,0.0034723491071662602,3.1669030217083014,17.93393093076563,"['THTPA', 'CFL1', 'RPS27L', 'DLAT', 'NDUFV2', 'GBAS', 'TPD52L2', 'SRP9', 'METAP2']",0.025463893452552573,0,0,AllenBrainAtlas10xscRNA2021
