,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Endothelial Cells (Blood Brain Barrier),0.008828793596810975,7.505681818181818,35.49990024913238,"['SCARA3', 'CDC42BPB', 'C2ORF72']",0.2665306845283456,0,0,PanglaoDBAugmented2021
1,2,Choroid Plexus Cells,0.009705193676093897,7.240862573099415,33.56207943666279,"['WFS1', 'CDC42BPB', 'C2ORF72']",0.2665306845283456,0,0,PanglaoDBAugmented2021
2,3,Luteal Cells,0.01160564676717949,6.763319672131147,30.139134654888192,"['SCARA3', 'WFS1', 'GNG12']",0.2665306845283456,0,0,PanglaoDBAugmented2021
3,4,Pulmonary Alveolar Type I Cells,0.013162009112510894,6.4443359375,27.906685719681,"['SCARA3', 'IGFBP3', 'GNG12']",0.2665306845283456,0,0,PanglaoDBAugmented2021
4,5,Mesothelial Cells,0.01692567078441774,5.846335697399527,23.846757983848356,"['SCARA3', 'IGFBP3', 'GNG12']",0.27419586670756735,0,0,PanglaoDBAugmented2021
5,6,Kidney Progenitor Cells,0.059153225809109894,5.272509642239659,14.908675616411026,"['SCARA3', 'GNG12']",0.4088887891720123,0,0,PanglaoDBAugmented2021
6,7,Parathyroid Chief Cells,0.060148261897147635,5.221548998946259,14.677475214215242,"['WFS1', 'SCG5']",0.4088887891720123,0,0,PanglaoDBAugmented2021
7,8,Parietal Cells,0.06520918396411597,4.980771647605882,13.598278426426338,"['C2ORF72', 'SRCIN1']",0.4088887891720123,0,0,PanglaoDBAugmented2021
8,9,Granulosa Cells,0.0662381287283455,4.935242839352428,13.396711846828298,"['SCARA3', 'GNG12']",0.4088887891720123,0,0,PanglaoDBAugmented2021
9,10,Cardiac Stem And Precursor Cells,0.06727253246412589,4.890534369986425,13.199568214533345,"['SCARA3', 'GNG12']",0.4088887891720123,0,0,PanglaoDBAugmented2021
10,11,Adipocyte Progenitor Cells,0.06935750064718892,4.803491332282701,12.81802526575322,"['SCARA3', 'GNG12']",0.4088887891720123,0,0,PanglaoDBAugmented2021
11,12,Thymocytes,0.07252455232068651,4.67855455833727,12.275732376426697,"['SELPLG', 'CD99']",0.4088887891720123,0,0,PanglaoDBAugmented2021
12,13,Transient Cells,0.07466170295320573,4.598792663106571,11.93289199974866,"['WFS1', 'CDC42BPB']",0.4088887891720123,0,0,PanglaoDBAugmented2021
13,14,Microfold Cells,0.0811923495188486,4.374944763588157,10.98519866625776,"['GRN', 'S100A11']",0.4088887891720123,0,0,PanglaoDBAugmented2021
14,15,Glomus Cells,0.08229763838206236,4.33972602739726,10.838087619846748,"['SCARA3', 'CTH']",0.4088887891720123,0,0,PanglaoDBAugmented2021
15,16,Melanocytes,0.08902592606726308,4.1397051134581195,10.013233181112826,"['PRKCA', 'GNG12']",0.4088887891720123,0,0,PanglaoDBAugmented2021
16,17,Alpha Cells,0.09244995279199743,4.046411776732774,9.63486184395753,"['SCG5', 'C2ORF72']",0.4088887891720123,0,0,PanglaoDBAugmented2021
