,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Neurons,3.99179858292964e-22,14.44829342842588,711.905418308945,"['SNAP25', 'CNTNAP2', 'NDRG4', 'CPNE6', 'PRUNE2', 'HPCA', 'ENO2', 'NAPG', 'NRGN', 'GNG2', 'ATP6V1H', 'NEFM', 'SLC17A7', 'NEFH', 'SH3GL2', 'DYNC1I1', 'ATP6V0A1', 'PACSIN1', 'SLC6A17', 'CADM2', 'SYP', 'SCAMP1', 'SNAP91', 'SYN1', 'PCP4', 'VSNL1', 'TAGLN3', 'LY6H', 'STX1A']",4.0317165687589366e-20,0,0,PanglaoDBAugmented2021
1,2,Interneurons,5.183918252184099e-16,10.697508896797153,376.507386820251,"['PRKCG', 'SNAP25', 'NDRG4', 'SYT1', 'CADM2', 'GDA', 'HPCA', 'SYP', 'SCAMP1', 'L1CAM', 'HSPA12A', 'OXR1', 'SNAP91', 'SYN1', 'NRGN', 'SV2B', 'CAMKV', 'DNAJC6', 'NEFM', 'SLC17A7', 'TAGLN3', 'LY6H', 'SH3GL2', 'PACSIN1']",2.213699989956945e-14,0,0,PanglaoDBAugmented2021
2,3,Glycinergic Neurons,6.57534650482261e-16,22.922183507549363,801.3144752448944,"['PRKCG', 'NDRG4', 'STXBP1', 'HPCA', 'PHYHIP', 'SNAP91', 'SYN1', 'GNG3', 'CAMKV', 'MAP6', 'TAGLN3', 'NCDN', 'LY6H', 'INA', 'PPFIA3', 'SPTBN2']",2.213699989956945e-14,0,0,PanglaoDBAugmented2021
3,4,Trigeminal Neurons,2.388189549622675e-13,15.009146341463415,436.21188037785646,"['SNAP25', 'NDRG4', 'CADM3', 'CADM2', 'STXBP1', 'ATL1', 'PRUNE2', 'SNAP91', 'NFASC', 'PLP1', 'MAP6', 'NEFM', 'TAGLN3', 'LY6H', 'NEFH', 'SH3GL2']",6.030178612797254e-12,0,0,PanglaoDBAugmented2021
4,5,Oligodendrocyte Progenitor Cells,4.3768244469922894e-13,16.289256198347108,463.5479695796835,"['SNAP25', 'NDRG4', 'CADM3', 'CNP', 'HPCA', 'ATP2B2', 'PHYHIP', 'SNAP91', 'HAPLN2', 'NFASC', 'PLP1', 'TNR', 'PMP2', 'TAGLN3', 'LY6H']",8.59441258902847e-12,0,0,PanglaoDBAugmented2021
5,6,Oligodendrocytes,5.105591637046616e-13,12.734938840833745,360.44041079488,"['CADM3', 'MOG', 'OPALIN', 'CPNE6', 'HPCA', 'ATP2B2', 'PHYHIP', 'HAPLN2', 'MAG', 'PLP1', 'TNR', 'MBP', 'PMP2', 'TPPP', 'PTGDS', 'LY6H', 'BCAS1']",8.59441258902847e-12,0,0,PanglaoDBAugmented2021
6,7,Photoreceptor Cells,5.8546666401521105e-12,13.35549525101764,345.42361842795236,"['SLC24A2', 'CNTNAP2', 'SNAP25', 'NAPB', 'CADM2', 'SYP', 'HSPA12A', 'SNAP91', 'GLS', 'ATCAY', 'SV2B', 'TNR', 'AMPH', 'NEFM', 'NCAM1']",8.447447580790902e-11,0,0,PanglaoDBAugmented2021
7,8,Chromaffin Cells,7.69036789510123e-11,14.076965335384278,327.83094830185763,"['SNAP25', 'NDRG4', 'CADM3', 'STXBP1', 'PHYHIP', 'SNAP91', 'AKAP12', 'NFASC', 'CNTN1', 'MAP6', 'TAGLN3', 'SCG2', 'STX1A']",9.709089467565303e-10,0,0,PanglaoDBAugmented2021
8,9,Purkinje Fiber Cells,1.3053569598321122e-10,15.658730158730158,356.3829022192034,"['SNAP25', 'NDRG4', 'CADM3', 'NFASC', 'ATCAY', 'CNTN1', 'PLP1', 'NEFL', 'NEFM', 'INA', 'SH3GL2', 'SNAP91']",1.464900588256037e-09,0,0,PanglaoDBAugmented2021
9,10,Enteric Neurons,3.2974386235588087e-10,10.91280913126189,238.25614180238787,"['SNAP25', 'NDRG4', 'CADM3', 'CADM2', 'STXBP1', 'SNAP91', 'NFASC', 'CNTN1', 'MAP6', 'NEFM', 'TAGLN3', 'LY6H', 'SCG2', 'INA']",3.3304130097943967e-09,0,0,PanglaoDBAugmented2021
10,11,GABAergic Neurons,4.382922282440898e-10,13.945544554455445,300.5004800583521,"['CAMK2B', 'SNAP25', 'NDRG4', 'CADM3', 'CADM2', 'HPCA', 'MAP6', 'LY6H', 'SYN2', 'PHYHIP', 'SH3GL2', 'SNAP91']",4.024319550241188e-09,0,0,PanglaoDBAugmented2021
11,12,Cajal-Retzius Cells,6.149562982594326e-10,10.362951807228916,219.79271453821903,"['CNTNAP2', 'SNAP25', 'NDRG4', 'SYT1', 'CADM2', 'SNAP91', 'CAMKV', 'MAP6', 'NEFL', 'NEFM', 'TAGLN3', 'INA', 'SH3GL2', 'DYNC1I1']",5.17588217701689e-09,0,0,PanglaoDBAugmented2021
12,13,Beta Cells,6.764890109606346e-10,11.610596987842497,245.14736289702114,"['PFKFB2', 'CAMK2B', 'SNAP25', 'CADM2', 'SYP', 'SNAP91', 'PCP4', 'DPP6', 'NFASC', 'CNTN1', 'MAP6', 'LY6H', 'SH3GL2']",5.2557992390018535e-09,0,0,PanglaoDBAugmented2021
13,14,Retinal Ganglion Cells,3.0887634117710926e-09,10.139865963437364,198.69569295451112,"['SNAP25', 'NDRG4', 'HPCA', 'SNAP91', 'SYN1', 'CAMKV', 'MAP6', 'NEFL', 'NEFM', 'TAGLN3', 'LY6H', 'INA', 'SH3GL2']",2.2283221756348597e-08,0,0,PanglaoDBAugmented2021
14,15,Schwann Cells,4.444853563482899e-09,11.164399092970521,214.7083523045174,"['MAG', 'NDRG4', 'CADM3', 'NFASC', 'CNP', 'PLP1', 'MAP6', 'PMP2', 'HSPA12A', 'PHYHIP', 'HAPLN2', 'BCAS1']",2.9928680660784855e-08,0,0,PanglaoDBAugmented2021
15,16,Neuroendocrine Cells,1.4861189669837804e-08,11.453296703296703,206.4400923702094,"['SNAP25', 'CADM3', 'NFASC', 'CADM2', 'HPCA', 'PLP1', 'TAGLN3', 'LY6H', 'SH3GL2', 'SNAP91', 'NRGN']",9.381125979085114e-08,0,0,PanglaoDBAugmented2021
16,17,Purkinje Neurons,1.6591143287729054e-08,9.828671328671328,176.0747184035209,"['SLC24A2', 'CNTNAP2', 'SNAP25', 'PCP4', 'CADM2', 'HPCA', 'PLP1', 'ATP2B2', 'SYP', 'LY6H', 'SNAP91', 'SYN1']",9.85709101212138e-08,0,0,PanglaoDBAugmented2021
