,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Satellite Glial Cells,0.0008687141682700711,17.888288288288287,126.08553572903716,"['SLC1A2', 'SIRPA', 'AQP4']",0.035151942615699386,0,0,PanglaoDBAugmented2021
1,2,Bergmann Glia,0.0013264884005924297,15.37829457364341,101.88458675584569,"['LSAMP', 'SLC1A2', 'AQP4']",0.035151942615699386,0,0,PanglaoDBAugmented2021
2,3,Oligodendrocytes,0.0031078484420324053,11.309714285714286,65.3003066917836,"['OMG', 'SLC1A2', 'AQP4']",0.05490532247590583,0,0,PanglaoDBAugmented2021
3,4,Glycinergic Neurons,0.011814596043916763,13.08031599736669,58.0559303610333,"['CADM4', 'CELSR2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
4,5,Purkinje Fiber Cells,0.012269179711006559,12.81741935483871,56.40516715212003,"['LSAMP', 'FMN2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
5,6,Glutaminergic Neurons,0.013438788680851164,12.20399385560676,52.59445488587787,"['LSAMP', 'SLC1A2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
6,7,Endothelial Cells (Blood Brain Barrier),0.01490390823669024,11.540831153734379,48.54225694485519,"['CADM4', 'DDAH1']",0.08295866080666062,0,0,PanglaoDBAugmented2021
7,8,Taste Receptor Cells,0.015406990402145422,11.335426777048244,47.301987239501955,"['GNG7', 'SLC1A2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
8,9,Neuroendocrine Cells,0.017491516711313833,10.581711543588376,42.81402050144417,"['LSAMP', 'AQP4']",0.08295866080666062,0,0,PanglaoDBAugmented2021
9,10,Anterior Pituitary Gland Cells,0.020255887331898044,9.769022408273825,38.092444766546755,"['LSAMP', 'FMN2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
10,11,Principal Cells,0.02111874864413206,9.548868560423688,36.83565875016892,"['AQP4', 'CELSR2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
11,12,Ependymal Cells,0.02111874864413206,9.548868560423688,36.83565875016892,"['AQP4', 'CELSR2']",0.08295866080666062,0,0,PanglaoDBAugmented2021
