,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Erythroid-like And Erythroid Precursor Cells,1.4192281714508965e-10,67.92123287671232,1540.164064187734,"['SPTA1', 'CA1', 'HBB', 'ASNS', 'SLC4A1', 'HBA1', 'HBD']",5.676912685803586e-09,0,0,PanglaoDBAugmented2021
1,2,Erythroblasts,7.763045289445224e-06,38.93921568627451,458.16410230138484,"['SPTA1', 'ITGA2B', 'SLC4A1', 'HBD']",0.00015526090578890447,0,0,PanglaoDBAugmented2021
2,3,Hemangioblasts,0.0001380429046278352,35.25709219858156,313.3631322135997,"['SPTA1', 'ITGA2B', 'HBD']",0.001696942271837828,0,0,PanglaoDBAugmented2021
3,4,Noradrenergic Neurons,0.0001696942271837828,32.801980198019805,284.77079796738167,"['FGB', 'FGA', 'FGG']",0.001696942271837828,0,0,PanglaoDBAugmented2021
4,5,Hepatoblasts,0.00022257041396608134,29.83183183183183,250.89367197301618,"['FGB', 'FGA', 'FGG']",0.0017805633117286507,0,0,PanglaoDBAugmented2021
5,6,Epsilon Cells,0.00039027661339545845,24.498765432098764,192.28235302848424,"['FGB', 'FGA', 'FGG']",0.0026018440893030566,0,0,PanglaoDBAugmented2021
6,7,Proximal Tubule Cells,0.0006458967520384369,20.51552795031056,150.68390410745639,"['FGB', 'FGA', 'FGG']",0.0036908385830767823,0,0,PanglaoDBAugmented2021
7,8,Hepatocytes,0.0015281999531106482,15.107798165137615,97.9538982235659,"['FGB', 'FGA', 'FGG']",0.007640999765553241,0,0,PanglaoDBAugmented2021
8,9,Hematopoietic Stem Cells,0.014802079228239744,11.8438995215311,49.89820205300433,"['ITGA2B', 'HBB']",0.06578701879217665,0,0,PanglaoDBAugmented2021
9,10,His Bundle Cells,0.09805732735418307,10.248453608247422,23.798989697417564,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
10,11,Myofibroblasts,0.0999597740324998,10.04040404040404,23.122924333288797,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
11,12,Pancreatic Stellate Cells,0.11035510674302469,9.031363636363636,19.905593908313623,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
12,13,Cardiac Stem And Precursor Cells,0.11223284006929028,8.869196428571428,19.398525820511633,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
13,14,Peri-islet Schwann Cells,0.11317029068694376,8.790265486725664,19.152771900161774,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
14,15,Adipocyte Progenitor Cells,0.11410679851944176,8.712719298245615,18.912006596930848,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
15,16,Meningeal Cells,0.11410679851944176,8.712719298245615,18.912006596930848,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
16,17,Intercalated Cells,0.1169106740435162,8.488034188034188,18.218250634713392,['SLC4A1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
17,18,Myoblasts,0.12434641549461686,7.9416,16.555725938880098,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
18,19,Gamma (PP) Cells,0.12619601235595393,7.815748031496063,16.177964780522974,['FGB'],0.18643675904805426,0,0,PanglaoDBAugmented2021
19,20,Pulmonary Alveolar Type I Cells,0.1289634327739896,7.634230769230769,15.636632865318903,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
20,21,Hepatic Stellate Cells,0.1298840498273468,7.57557251908397,15.462600694547614,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
21,22,Melanocytes,0.1308037401396383,7.51780303030303,15.291641727999936,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
22,23,Luminal Epithelial Cells,0.13721569834851785,7.136690647482014,14.174903176831886,['FGG'],0.18643675904805426,0,0,PanglaoDBAugmented2021
23,24,Megakaryocytes,0.13994986787451233,6.984859154929578,13.735523016928296,['ITGA2B'],0.18643675904805426,0,0,PanglaoDBAugmented2021
24,25,Mesothelial Cells,0.14085942250239014,6.9356643356643355,13.593852781664756,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
25,26,Osteoclasts,0.14085942250239014,6.9356643356643355,13.593852781664756,['SLC2A1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
26,27,Leydig Cells,0.1417680609696706,6.887152777777778,13.454486361584461,['FBLN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
27,28,Chondrocytes,0.14267578418707755,6.839310344827586,13.31737150611854,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
28,29,Neuroblasts,0.14267578418707755,6.839310344827586,13.31737150611854,['PROS1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
29,30,Loop Of Henle Cells,0.1435825929715242,6.792123287671233,13.182457493775674,['FGA'],0.18643675904805426,0,0,PanglaoDBAugmented2021
30,31,Mesangial Cells,0.14448848826224206,6.745578231292517,13.049695067396527,['FN1'],0.18643675904805426,0,0,PanglaoDBAugmented2021
31,32,Osteoblasts,0.1499047249796406,6.4790849673202615,12.295718182462656,['FN1'],0.18738090622455075,0,0,PanglaoDBAugmented2021
32,33,Monocytes,0.16948619519630329,5.658285714285714,10.043365477202649,['FN1'],0.19708037183568644,0,0,PanglaoDBAugmented2021
33,34,Embryonic Stem Cells,0.16948619519630329,5.658285714285714,10.043365477202649,['FBLN1'],0.19708037183568644,0,0,PanglaoDBAugmented2021
34,35,Podocytes,0.176499631609531,5.408743169398907,9.381121517011124,['PROS1'],0.19708037183568644,0,0,PanglaoDBAugmented2021
35,36,Endothelial Cells (Aorta),0.1773723346521178,5.3790760869565215,9.303134524436931,['FN1'],0.19708037183568644,0,0,PanglaoDBAugmented2021
36,37,Enterocytes,0.19293117952452418,4.89529702970297,8.054828139015637,['CA1'],0.20857424813462075,0,0,PanglaoDBAugmented2021
37,38,Platelets,0.2023009615295787,4.639906103286385,7.414564300862827,['ITGA2B'],0.21294838055745124,0,0,PanglaoDBAugmented2021
38,39,Fibroblasts,0.21741024010937812,4.274458874458874,6.522692600996503,['FN1'],0.2229848616506442,0,0,PanglaoDBAugmented2021
39,40,Endothelial Cells,0.2289730544900439,4.02734693877551,5.936917309063627,['SLC2A1'],0.2289730544900439,0,0,PanglaoDBAugmented2021
