,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Reticulocytes,6.453390712362487e-09,7.904626623376624,149.07066712208737,"['NUP205', 'SF3B3', 'DHX9', 'RCC2', 'CHD4', 'PRPF8', 'EFTUD2', 'DDB1', 'XPO1', 'RUVBL1', 'STT3B', 'SNRNP200', 'GART', 'UGGT1', 'MCM2']",8.389407926071232e-07,0,0,PanglaoDBAugmented2021
1,2,Pluripotent Stem Cells,3.320356480615501e-05,4.999626377732113,51.560413458989416,"['SUPT16H', 'BLM', 'SET', 'PARP1', 'NCL', 'RCC2', 'SRSF1', 'GMPS', 'HNRNPU', 'NAP1L1', 'PFAS']",0.0021582317124000756,0,0,PanglaoDBAugmented2021
2,3,Granulosa Cells,0.0031171414988548467,3.5058548009367683,20.231723204731676,"['TJP1', 'GPC1', 'PARVA', 'CSPG4', 'ANTXR1', 'MID1', 'NES', 'GAPDH']",0.13507613161704338,0,0,PanglaoDBAugmented2021
3,4,Osteocytes,0.005561337654499287,3.5,18.17170815009921,"['AXL', 'GFPT2', 'PARVA', 'PFN1', 'ANTXR1', 'MID1', 'NES']",0.18074347377122682,0,0,PanglaoDBAugmented2021
4,5,Embryonic Stem Cells,0.015112554948942954,2.4539934216074895,10.287703435862108,"['TJP1', 'TRIM28', 'STAT3', 'SMAD9', 'CTNNB1', 'ANTXR1', 'MID1', 'NES', 'HOXB5']",0.3929264286725168,0,0,PanglaoDBAugmented2021
5,6,His Bundle Cells,0.020138890919517486,2.960322286409243,11.560361848237122,"['TJP1', 'FARP1', 'PPFIBP1', 'PARVA', 'ANTXR1', 'NES']",0.43634263658954553,0,0,PanglaoDBAugmented2021
6,7,Melanocytes,0.02640867540002408,2.5232346832814123,9.169593069008021,"['PPFIBP1', 'GPC1', 'PCDHGC3', 'PARVA', 'CSPG4', 'ITGAV', 'ANTXR1']",0.4904468288575901,0,0,PanglaoDBAugmented2021
7,8,Endothelial Cells (Blood Brain Barrier),0.03702635501968499,2.5433631788771978,8.383243777123397,"['TJP1', 'FARP1', 'GPC1', 'LGI3', 'PCDHGC3', 'ANTXR1']",0.5546355556596152,0,0,PanglaoDBAugmented2021
8,9,Peri-islet Schwann Cells,0.038397846161050284,2.5196840196840196,8.213549836433476,"['TJP1', 'FARP1', 'PARVA', 'ANTXR1', 'NES', 'GFRA2']",0.5546355556596152,0,0,PanglaoDBAugmented2021
9,10,Transient Cells,0.04730369532089895,2.386332965280334,7.281100063830229,"['CDC42EP4', 'GPC1', 'HDLBP', 'TNKS1BP1', 'CTNNB1', 'ITGAV']",0.6149480391716864,0,0,PanglaoDBAugmented2021
10,11,Bergmann Glia,0.06867100517157015,2.1577311577311575,5.779328021335313,"['HEPACAM', 'CDC42EP4', 'FABP7', 'CNTN2', 'SLC4A4', 'PIRT']",0.81156642475492,0,0,PanglaoDBAugmented2021
11,12,Kidney Progenitor Cells,0.07915264110506978,2.2633720930232557,5.740765201790038,"['TUBB2B', 'CDH2', 'ANTXR1', 'MID1', 'NES']",0.8334243042662495,0,0,PanglaoDBAugmented2021
12,13,Satellite Cells,0.08334243042662495,2.04343025395657,5.077510367301717,"['TJP1', 'GPC1', 'PARVA', 'CSPG4', 'ANTXR1', 'NES']",0.8334243042662495,0,0,PanglaoDBAugmented2021
13,14,Cardiac Stem And Precursor Cells,0.10045633324174409,2.094853574504737,4.814040844922371,"['TJP1', 'PARVA', 'ANTXR1', 'MID1', 'NES']",0.932808808673338,0,0,PanglaoDBAugmented2021
14,15,Myoblasts,0.14044580823004155,1.8685373822794542,3.6678147566437422,"['GPC1', 'PARVA', 'CSPG4', 'ANTXR1', 'NES']",0.9932476720757111,0,0,PanglaoDBAugmented2021
15,16,Glomus Cells,0.14377609991457546,1.8531261913839117,3.5941346367471065,"['GPC1', 'PCDHGC3', 'ANTXR1', 'NES', 'GFRA2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
16,17,Enteric Neurons,0.1543871606934974,1.6962412587412588,3.1690736361891387,"['DCLK2', 'CNTN2', 'PARVA', 'GFRA2', 'PIRT', 'HOXB5']",0.9932476720757111,0,0,PanglaoDBAugmented2021
17,18,Pulmonary Alveolar Type I Cells,0.15743100557780149,1.7939276485788114,3.3165559888794536,"['TJP1', 'GPC1', 'TNKS1BP1', 'PARVA', 'ANTXR1']",0.9932476720757111,0,0,PanglaoDBAugmented2021
18,19,Immature Neurons,0.17520989718305116,1.7250133143973017,3.004577495126275,"['CTNND2', 'CNTN2', 'NES', 'ROBO1', 'CLASP2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
19,20,Hepatocytes,0.207333067316672,1.4789173726963054,2.32697112483289,"['ABCD3', 'CPS1', 'SAA4', 'CTNNB1', 'ACADM', 'SERPINA4', 'ACAT2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
20,21,Undefined Placental Cells,0.20881363629137556,1.7366589327146171,2.720151666408656,"['TRAP1', 'TRIM28', 'HMGB3', 'DNAAF5']",0.9932476720757111,0,0,PanglaoDBAugmented2021
21,22,Podocytes,0.2127061179685698,1.5232969277913098,2.3578256958278887,"['TJP1', 'PARVA', 'ETF1', 'ANTXR1', 'MID1', 'QKI']",0.9932476720757111,0,0,PanglaoDBAugmented2021
22,23,Adipocyte Progenitor Cells,0.24117668166699205,1.6265546288748145,2.313327462426565,"['KANK2', 'PARVA', 'CSPG4', 'ANTXR1']",0.9932476720757111,0,0,PanglaoDBAugmented2021
23,24,Meningeal Cells,0.24117668166699205,1.6265546288748145,2.313327462426565,"['TJP1', 'ALDH1A2', 'ANTXR1', 'NES']",0.9932476720757111,0,0,PanglaoDBAugmented2021
24,25,Astrocytes,0.2446602365784808,1.5152177306071484,2.133252042515872,"['LGI3', 'FABP7', 'CNTN2', 'SLC4A4', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
25,26,Choroid Plexus Cells,0.25062990745032293,1.5976017904441204,2.2107260510385114,"['TJP1', 'FARP1', 'CDC42EP4', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
26,27,Luteal Cells,0.28913519717339037,1.491361622979425,1.8505723107577643,"['CDC42EP4', 'GPC1', 'TNKS1BP1', 'GAPDH']",0.9932476720757111,0,0,PanglaoDBAugmented2021
27,28,Oligodendrocyte Progenitor Cells,0.28913519717339037,1.491361622979425,1.8505723107577643,"['CTNND2', 'LGI3', 'CNTN2', 'CSPG4']",0.9932476720757111,0,0,PanglaoDBAugmented2021
28,29,Oligodendrocytes,0.3456558668033422,1.30340099475736,1.3846180007264757,"['HEPACAM', 'LGI3', 'CNTN2', 'NDRG2', 'PIRT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
29,30,Schwann Cells,0.3530810712530032,1.345776915884614,1.401031265745566,"['LGI3', 'PCDHGC3', 'CNTN2', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
30,31,Basal Cells,0.367909797328231,1.316104120446424,1.315995524503557,"['ACADVL', 'ADIRF', 'CTNNB1', 'TAX1BP3']",0.9932476720757111,0,0,PanglaoDBAugmented2021
31,32,M?ller Cells,0.39748912969357536,1.260493566758068,1.1629158504662254,"['PCDHGC3', 'DBI', 'NES', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
32,33,Neural Stem/Precursor Cells,0.4219661124111288,1.2175957860412616,1.0505785014464786,"['TUBB2B', 'CTNND2', 'FABP7', 'CNTN2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
33,34,Enteric Glia Cells,0.4354809190144114,1.2510931069958848,1.040039076572487,"['LGI3', 'CNTN2', 'NDRG2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
34,35,GABAergic Neurons,0.44692562097441585,1.228219696969697,0.9891628155633279,"['CTNND2', 'LGI3', 'CNTN2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
35,36,Sertoli Cells,0.4510077102054916,1.1697954018139634,0.9314739717065,"['LRP1', 'CDC42EP4', 'PARVA', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
36,37,Satellite Glial Cells,0.4526132984546247,1.217092092092092,0.9648097913968682,"['NDRG2', 'RNASE1', 'PIRT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
37,38,Erythroblasts,0.5080391550767444,1.1159320477502295,0.7557055642723369,"['PNP', 'ZC3HAV1', 'LMNB1']",0.9932476720757111,0,0,PanglaoDBAugmented2021
38,39,Hematopoietic Stem Cells,0.5437353840139733,1.0342694082193242,0.6301726729581161,"['CDH2', 'HMGB3', 'RNASE1', 'HOXB5']",0.9932476720757111,0,0,PanglaoDBAugmented2021
39,40,Epsilon Cells,0.5803800429043221,0.9994855967078189,0.5437922711332235,"['ACSS3', 'SERPINA4', 'AGT']",0.9932476720757111,0,0,PanglaoDBAugmented2021
40,41,Osteoclasts,0.6092553208166334,0.9566587864460205,0.47404150803478123,"['LRP1', 'ITGAV', 'RNASE1']",0.9932476720757111,0,0,PanglaoDBAugmented2021
41,42,Oxyphil Cells,0.6095873923721422,0.9776583994376945,0.48391446854167897,"['DTNA', 'ACTN2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
42,43,Chondrocytes,0.6185811978651229,0.9431818181818182,0.4530355176086989,"['LRP1', 'CTNNB1', 'CSPG4']",0.9932476720757111,0,0,PanglaoDBAugmented2021
43,44,Loop Of Henle Cells,0.6231872791463723,0.9365837191358025,0.4429181177563251,"['LRP1', 'PARVA', 'RNASE1']",0.9932476720757111,0,0,PanglaoDBAugmented2021
44,45,Glycinergic Neurons,0.643205155432573,0.9175189706367536,0.40489336491050154,"['TUBB2B', 'CNTN2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
45,46,Myofibroblasts,0.643205155432573,0.9175189706367536,0.40489336491050154,"['LRP1', 'PARVA']",0.9932476720757111,0,0,PanglaoDBAugmented2021
46,47,Enterocytes,0.6471484489202348,0.9031701430586809,0.3930411934834675,"['CPS1', 'COL20A1', 'PLIN3', 'GFRA2']",0.9932476720757111,0,0,PanglaoDBAugmented2021
47,48,Osteoblasts,0.6543583006951281,0.8928440029433407,0.37865533553429825,"['MRC2', 'LRP1', 'PARVA']",0.9932476720757111,0,0,PanglaoDBAugmented2021
