,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Keratinocytes,5.828235254445393e-16,168.33898305084745,5905.1038021956765,"['SERPINB3', 'SERPINB4', 'S100A2', 'CALML5', 'RNASE7', 'LCN2', 'CALML3', 'LGALS7', 'S100A7']",2.506141159411519e-14,0,0,PanglaoDBAugmented2021
1,2,Salivary Mucous Cells,2.7223186141973008e-12,129.11688311688312,3438.3228378539166,"['SERPINB3', 'SERPINB4', 'CALML5', 'RNASE7', 'CALML3', 'LGALS7', 'S100A7']",5.852985020524196e-11,0,0,PanglaoDBAugmented2021
2,3,Airway Epithelial Cells,1.9201884544222363e-06,57.38239538239538,755.3294755058888,"['SERPINB3', 'POF1B', 'LCN2', 'CALML3']",2.7522701180052055e-05,0,0,PanglaoDBAugmented2021
3,4,Sebocytes,4.026624426470354e-06,47.29047619047619,587.4698251190512,"['CSTA', 'LCN2', 'S100A9', 'S100A7']",4.328621258455631e-05,0,0,PanglaoDBAugmented2021
4,5,Trophoblast Progenitor Cells,0.00010232080283081646,39.764,365.3276763551449,"['LCN2', 'S100A9', 'S100A8']",0.0008799589043450215,0,0,PanglaoDBAugmented2021
5,6,Trophoblast Cells,0.00020386867994931073,31.26771653543307,265.71413376487703,"['S100A2', 'RNASE7', 'LCN2']",0.0014156860460374308,0,0,PanglaoDBAugmented2021
6,7,Luminal Epithelial Cells,0.00025362121282191167,28.970802919708028,239.8686499200388,"['SERPINB3', 'SERPINB4', 'LCN2']",0.0014156860460374308,0,0,PanglaoDBAugmented2021
7,8,Chondrocytes,0.0002869331049283782,27.746853146853148,226.31058877056049,"['LCN2', 'S100A9', 'S100A8']",0.0014156860460374308,0,0,PanglaoDBAugmented2021
8,9,Neutrophils,0.00031675961226462166,26.802702702702703,215.9592227927087,"['LCN2', 'S100A9', 'S100A8']",0.0014156860460374308,0,0,PanglaoDBAugmented2021
9,10,Erythroid-like And Erythroid Precursor Cells,0.00032922931303196065,26.442666666666668,212.03729330865093,"['ARG1', 'S100A9', 'S100A8']",0.0014156860460374308,0,0,PanglaoDBAugmented2021
