,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Keratinocytes,3.0418664133346017e-22,259.10869565217394,12837.385059628568,"['TGM1', 'KRT80', 'KRT17', 'KRT16', 'KRT1', 'KRT14', 'KRT78', 'PKP1', 'KRT5', 'KRT10', 'KRT6B', 'KRT6A']",6.996292750669585e-21,0,0,PanglaoDBAugmented2021
1,2,Salivary Mucous Cells,3.4148931869979426e-16,169.4659090909091,6035.225901884205,"['KRT17', 'KRT16', 'KRT14', 'KRT78', 'DSG1', 'PKP1', 'KRT5', 'KRT6B', 'KRT6A']",3.927127165047634e-15,0,0,PanglaoDBAugmented2021
2,3,Myoepithelial Cells,1.1093401196801922e-13,123.81931464174455,3693.5104508046575,"['DSP', 'KRT17', 'KRT16', 'KRT14', 'PKP1', 'KRT5', 'KRT6B', 'KRT6A']",8.504940917548141e-13,0,0,PanglaoDBAugmented2021
3,4,Mammary Epithelial Cells,3.8684739925780324e-13,105.04761904761905,3002.339328074176,"['DSP', 'KRT80', 'KRT17', 'KRT16', 'KRT14', 'KRT5', 'KRT6B', 'KRT6A']",2.2243725457323684e-12,0,0,PanglaoDBAugmented2021
4,5,Basal Cells,5.854700578525003e-13,99.48370927318295,2802.094104088436,"['KRT80', 'KRT17', 'KRT16', 'KRT14', 'PKP1', 'KRT5', 'KRT6B', 'KRT6A']",2.6931622661215012e-12,0,0,PanglaoDBAugmented2021
5,6,Trichocytes,5.884728986514082e-10,87.84830633284241,1867.0831214088207,"['DSP', 'KRT80', 'KRT17', 'KRT16', 'KRT6B', 'KRT6A']",2.2558127781637313e-09,0,0,PanglaoDBAugmented2021
6,7,Epithelial Cells,1.1406788489297423e-09,50.44950783813343,1038.8382181130903,"['KRT16', 'KRT2', 'KRT1', 'KRT14', 'KRT5', 'KRT6B', 'KRT6A']",3.747944789340581e-09,0,0,PanglaoDBAugmented2021
7,8,Trophoblast Cells,2.4148029277610297e-09,68.62672811059907,1361.6673933080044,"['KRT80', 'KRT17', 'KRT16', 'KRT78', 'KRT6B', 'KRT6A']",6.94255841731296e-09,0,0,PanglaoDBAugmented2021
8,9,Trophoblast Stem Cells,0.0001261560956566538,36.5514705882353,328.1587580174437,"['DSP', 'KRT80', 'KRT16']",0.0003223989111225597,0,0,PanglaoDBAugmented2021
9,10,Sebocytes,0.0002454944793371601,28.963052989790956,240.74773458183122,"['KRT16', 'KRT5', 'KRT6A']",0.0005646373024754682,0,0,PanglaoDBAugmented2021
10,11,Mesothelial Cells,0.0003808955741902456,24.829787234042552,195.48454999246877,"['DSP', 'KRT5', 'KRT6A']",0.0007964180187614226,0,0,PanglaoDBAugmented2021
11,12,Hepatoblasts,0.00572213976347082,19.71031746031746,101.77249874583728,"['DSP', 'KRT14']",0.010967434546652405,0,0,PanglaoDBAugmented2021
12,13,Transient Cells,0.0063204269576158725,18.702448210922785,94.70860892196673,"['DSP', 'JUP']",0.01118229384808962,0,0,PanglaoDBAugmented2021
13,14,Urothelial Cells,0.10087408130420863,9.962406015037594,22.852586421851232,['TGM1'],0.1369565473951349,0,0,PanglaoDBAugmented2021
14,15,Gastric Chief Cells,0.10358323762718848,9.68421052631579,21.95778295069413,['DSP'],0.1369565473951349,0,0,PanglaoDBAugmented2021
15,16,Pancreatic Stellate Cells,0.10538503169422438,9.507177033492823,21.392428630708658,['KRT10'],0.1369565473951349,0,0,PanglaoDBAugmented2021
16,17,Merkel Cells,0.10538503169422438,9.507177033492823,21.392428630708658,['DSP'],0.1369565473951349,0,0,PanglaoDBAugmented2021
17,18,Clara Cells,0.10718338491793168,9.336466165413533,20.850327266654197,['KRT5'],0.1369565473951349,0,0,PanglaoDBAugmented2021
18,19,Pulmonary Alveolar Type I Cells,0.12321474956792654,8.036437246963562,16.82690539004688,['DSP'],0.13708785342109386,0,0,PanglaoDBAugmented2021
19,20,Ductal Cells,0.12409731426676934,7.974688629971876,16.64069686633284,['DSP'],0.13708785342109386,0,0,PanglaoDBAugmented2021
20,21,Principal Cells,0.12761914071456212,7.7368421052631575,15.927874858789918,['DSP'],0.13708785342109386,0,0,PanglaoDBAugmented2021
21,22,Luminal Epithelial Cells,0.13112751196800282,7.512684589170768,15.262657737297207,['DSP'],0.13708785342109386,0,0,PanglaoDBAugmented2021
22,23,Embryonic Stem Cells,0.16210535212822685,5.9563909774436095,10.837705998274306,['DSP'],0.16210535212822685,0,0,PanglaoDBAugmented2021
