,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Astrocytes,3.753105096563551e-11,3.329418213139143,79.92552253485286,"['CNTFR', 'ALDH1L1', 'SYNM', 'HSPB6', 'FAM107A', 'STMN2', 'FGF1', 'SLC6A1', 'SLC7A10', 'RLBP1', 'SYNE1', 'SYNPR', 'GJA1', 'GRM5', 'EDNRB', 'PSD2', 'BAALC', 'HMG20A', 'SLC16A2', 'RBFOX1', 'ENTPD2', 'SLC6A11', 'ATP1B2', 'DKK3', 'GPRC5B', 'ACSBG1', 'ALDOC', 'GRIA2', 'AMER2', 'ITIH3', 'NTM', 'NRXN1', 'CAMK2A', 'HTRA1', 'PHYHIPL', 'SLC1A3', 'ATP1A2', 'PTN', 'IGSF21', 'SRR', 'TCEAL5', 'APOE', 'OPCML', 'HHATL', 'NTRK2', 'KCNJ10', 'CMTM5', 'HSPA2', 'SORBS1', 'S100B', 'MT3', 'GFAP', 'NACAD', 'PLXNB1', 'VIM']",6.68052707188312e-09,0,0,PanglaoDBAugmented2021
1,2,Schwann Cells,5.322240771449225e-08,2.8906533164189923,48.41493475553903,"['CNTFR', 'GRIA2', 'TAGLN', 'CD82', 'ITGB4', 'NTM', 'HSPB8', 'CAMK2A', 'FAM107A', 'PHYHIPL', 'ATP1A2', 'THY1', 'PTN', 'FGF1', 'SLC6A1', 'NDRG1', 'AQP1', 'EDNRB', 'PSD2', 'BAG3', 'EPB41L1', 'PALM', 'STMN1', 'APOD', 'LRRC4B', 'OPCML', 'HHATL', 'NTRK2', 'RBFOX1', 'CMTM5', 'ANK2', 'SORBS1', 'S100B', 'CORO2B', 'MT3', 'DCLK1', 'GFAP', 'GPRC5B', 'PPP1R1B', 'CPE', 'CHST1', 'NACAD', 'ALDOC', 'NF2', 'ASPA']",4.73679428658981e-06,0,0,PanglaoDBAugmented2021
2,3,Reticulocytes,5.157951246883014e-07,3.0686051537479933,44.42590355514412,"['NUP107', 'NUP188', 'TFRC', 'NOP2', 'DDX23', 'DDX21', 'YBX1', 'IPO4', 'NUP160', 'STIP1', 'PTBP1', 'GANAB', 'NUP85', 'POLR2B', 'NUP62', 'XPO5', 'DHX15', 'DHX38', 'UBAP2L', 'CCT8', 'NSUN2', 'PABPC4', 'IMMT', 'SSRP1', 'HNRNPL', 'CUL4A', 'ILF3', 'CNOT1', 'MCM3', 'UBE2O', 'NUP98', 'EIF3D', 'KPNB1', 'EIF4G1', 'EIF3B']",3.060384406483922e-05,0,0,PanglaoDBAugmented2021
3,4,Enteric Glia Cells,1.2789342164169926e-06,2.861519075953798,38.82933580109475,"['CNTFR', 'MAOB', 'NTM', 'NRXN1', 'FAM107A', 'STMN2', 'PHYHIPL', 'ATP1A2', 'THY1', 'PTN', 'SLC6A1', 'AQP1', 'IGSF21', 'EDNRB', 'TCEAL5', 'CHL1', 'CRTAC1', 'TRIM2', 'APOD', 'APOE', 'LINGO1', 'NTRK2', 'ANK2', 'SORBS1', 'S100B', 'DCLK1', 'DKK3', 'GFAP', 'PTPRD', 'ALDH1A3', 'GPRC5B', 'FXYD1', 'PPP1R1B', 'ALDH1A1', 'CHST1', 'FXYD6']",5.042161606118251e-05,0,0,PanglaoDBAugmented2021
4,5,Luteal Cells,1.4163375298084974e-06,2.7045639738596177,36.423542827866754,"['YAP1', 'FKBP10', 'HSPB8', 'PEBP1', 'PTPRF', 'EGFR', 'EPB41L1', 'S100A16', 'CASKIN2', 'GNA11', 'DAG1', 'CEP170B', 'AKT1', 'PMPCB', 'PACSIN3', 'SLC16A2', 'GPC6', 'CD276', 'CAP2', 'GAMT', 'MAGI1', 'PGAM1', 'SMARCA1', 'SLC39A14', 'SYT7', 'ASS1', 'AIF1L', 'ALDH4A1', 'MYO1B', 'PC', 'COL6A1', 'CPE', 'PLXNB1', 'FKBP9', 'DHCR7', 'BCAT1', 'FERMT2', 'FKBP5', 'PCYOX1']",5.042161606118251e-05,0,0,PanglaoDBAugmented2021
5,6,Bergmann Glia,6.223988222957346e-06,2.4999660917331648,29.967342696446895,"['GRIA2', 'AMER2', 'ALDH1L1', 'ITIH3', 'NRXN1', 'CAMK2A', 'FAM107A', 'PHYHIPL', 'SLC1A3', 'ATP1A2', 'SLC6A1', 'EGFR', 'ELAVL3', 'SYNPR', 'UFL1', 'GJA1', 'GRM5', 'TCEAL5', 'PSD2', 'CHL1', 'BAALC', 'OPCML', 'RFTN2', 'NTRK2', 'RBFOX1', 'KCNJ10', 'BTBD17', 'MAGI2', 'ATP1B2', 'S100B', 'MT3', 'HOPX', 'GFAP', 'P2RX7', 'DLG2', 'RUFY3', 'ACSBG1', 'VIM', 'SCN2A']",0.00015808818237391853,0,0,PanglaoDBAugmented2021
6,7,Myofibroblasts,6.6968614078975115e-06,2.802639965458396,33.39029265560237,"['TAGLN', 'SPARC', 'HSPB6', 'COL14A1', 'NTM', 'HTRA1', 'THY1', 'PTN', 'AQP1', 'MYLK', 'GJA1', 'CALD1', 'FLNC', 'TNS1', 'PDGFRA', 'POSTN', 'LUM', 'TPM2', 'SOD3', 'DCN', 'DKK3', 'GFAP', 'COL1A1', 'COL3A1', 'COL1A2', 'DES', 'PALLD', 'CDH11', 'COL6A1', 'PLSCR4', 'COL6A3', 'FBN1']",0.00015808818237391853,0,0,PanglaoDBAugmented2021
7,8,M?ller Cells,7.105086848266001e-06,2.3854086285513856,28.278302650194355,"['SPARC', 'NTM', 'HSPB8', 'FAM107A', 'HTRA1', 'SLC1A3', 'ATP1A2', 'THY1', 'PTN', 'SLC6A1', 'CLU', 'RLBP1', 'GNAI2', 'SOX2', 'SYNPR', 'GJA1', 'EDNRB', 'S100A16', 'TRIM2', 'DPYSL3', 'APOE', 'SLC38A3', 'GLUL', 'OPCML', 'PDGFRA', 'NTRK2', 'POSTN', 'KCNJ10', 'CACNA2D1', 'ANK2', 'DCLK1', 'DKK3', 'COL1A1', 'PTPRD', 'GPRC5B', 'COL3A1', 'COL1A2', 'CDH11', 'COL6A1', 'PLSCR4', 'CPE', 'ATG4B']",0.00015808818237391853,0,0,PanglaoDBAugmented2021
8,9,Mesangial Cells,8.54912720760848e-06,2.362765795516965,27.572723964843384,"['YAP1', 'CSTB', 'ECM1', 'TAGLN', 'SPARC', 'NNMT', 'SERPINE2', 'COL14A1', 'HTRA1', 'THY1', 'PTN', 'FGF1', 'MYLK', 'GJA1', 'SRPX2', 'CALD1', 'FLNA', 'SNCG', 'TNS1', 'PDGFRA', 'POSTN', 'LUM', 'ACTN1', 'TPM2', 'SMARCA5', 'PAWR', 'SOD3', 'HOPX', 'DCN', 'DKK3', 'COL1A1', 'EHD2', 'DAB2', 'COL3A1', 'COL1A2', 'PALLD', 'CDH11', 'COL6A1', 'PLSCR4', 'COL6A3', 'OGT', 'FBN1']",0.0001690827381060344,0,0,PanglaoDBAugmented2021
9,10,Satellite Glial Cells,4.906693652249073e-05,2.4253561253561253,24.06517205746552,"['GRIA2', 'RTN1', 'MAOB', 'NRXN1', 'FAM107A', 'SLC1A3', 'ATP1A2', 'SLC6A1', 'SOX2', 'SYNPR', 'IGSF21', 'GRM5', 'EDNRB', 'CDH1', 'CHL1', 'SPP1', 'BAALC', 'MAPK1', 'VSIG4', 'GLUL', 'TNS1', 'OPCML', 'P2RY12', 'HHATL', 'NTRK2', 'CD163', 'KCNJ10', 'SEZ6L', 'S100B', 'MT3', 'GFAP', 'P2RX7', 'FXYD6']",0.000873391470100335,0,0,PanglaoDBAugmented2021
