,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Hepatocytes,0.043175676179656244,6.441943900848011,20.243666945076935,"['NNT', 'APOC3']",0.282021383057545,0,0,PanglaoDBAugmented2021
1,2,Hemangioblasts,0.135807441882233,7.1386494252873565,14.2524368267114,['HBG1'],0.282021383057545,0,0,PanglaoDBAugmented2021
2,3,Trophoblast Stem Cells,0.13841075285555662,6.992258972554539,13.82739870293458,['CTSV'],0.282021383057545,0,0,PanglaoDBAugmented2021
3,4,Noradrenergic Neurons,0.1448859074147043,6.651155005021761,12.848759048563156,['APOC3'],0.282021383057545,0,0,PanglaoDBAugmented2021
4,5,Spermatozoa,0.15003213723586475,6.401224621334193,12.142519852667972,['ALDH2'],0.282021383057545,0,0,PanglaoDBAugmented2021
5,6,Gastric Chief Cells,0.1513140092641029,6.341634738186462,11.975530799282826,['ALDH2'],0.282021383057545,0,0,PanglaoDBAugmented2021
6,7,Follicular Cells,0.15259401240379375,6.283138247390067,11.812139044804999,['APOC3'],0.282021383057545,0,0,PanglaoDBAugmented2021
7,8,Hepatoblasts,0.15769538859665239,6.059505645407385,11.192452446545067,['APOC3'],0.282021383057545,0,0,PanglaoDBAugmented2021
8,9,Satellite Glial Cells,0.15769538859665239,6.059505645407385,11.192452446545067,['ALDH2'],0.282021383057545,0,0,PanglaoDBAugmented2021
9,10,Transient Cells,0.16529183167220157,5.752245725876557,10.354287873096176,['ACO2'],0.282021383057545,0,0,PanglaoDBAugmented2021
10,11,Erythroblasts,0.17031928931456847,5.5640594336977856,9.848832720808518,['HBG1'],0.282021383057545,0,0,PanglaoDBAugmented2021
11,12,Luteal Cells,0.171571572737233,5.518909899888765,9.72848472744733,['ECHS1'],0.282021383057545,0,0,PanglaoDBAugmented2021
12,13,Epsilon Cells,0.1876859133337811,4.991945633022905,8.351452096947407,['APOC3'],0.282021383057545,0,0,PanglaoDBAugmented2021
13,14,Loop Of Henle Cells,0.1986640481617168,4.682097307510628,7.566925122118201,['ALDH2'],0.282021383057545,0,0,PanglaoDBAugmented2021
14,15,Erythroid-like And Erythroid Precursor Cells,0.20590297871009547,4.495916515426497,7.105122556571242,['HBG1'],0.282021383057545,0,0,PanglaoDBAugmented2021
15,16,Proximal Tubule Cells,0.21901050688197873,4.190184049079755,6.3633625572259955,['APOC3'],0.282021383057545,0,0,PanglaoDBAugmented2021
16,17,Plasma Cells,0.22137111624035788,4.138975966562174,6.24122281400424,['CYCS'],0.282021383057545,0,0,PanglaoDBAugmented2021
17,18,Cardiomyocytes,0.23074476795617313,3.9459836555710583,5.786560425251395,['SLC25A4'],0.282021383057545,0,0,PanglaoDBAugmented2021
18,19,Enterocytes,0.2638184122405329,3.374530556503926,4.496542545859288,['APOC3'],0.3036004857448331,0,0,PanglaoDBAugmented2021
19,20,Platelets,0.2760004415862119,3.1984782256758946,4.117569942154547,['ALDH2'],0.3036004857448331,0,0,PanglaoDBAugmented2021
20,21,Mast Cells,0.29871817154892044,2.90834070144415,3.5140163803546645,['ALDH2'],0.31294284638458336,0,0,PanglaoDBAugmented2021
21,22,Interneurons,0.36957467802955163,2.230716878402904,2.220461053572828,['APOC3'],0.36957467802955163,0,0,PanglaoDBAugmented2021
