,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Microfold Cells,0.0003994922743656138,12.743812279009965,99.72435979996872,"['CAPG', 'CTSD', 'CTSB', 'TYMP']",0.025781274355174348,0,0,PanglaoDBAugmented2021
1,2,Osteoclasts,0.0006610583167993423,11.095238095238095,81.23565522741771,"['CA2', 'PSAP', 'CTSD', 'CTSB']",0.025781274355174348,0,0,PanglaoDBAugmented2021
2,3,Erythroid-like And Erythroid Precursor Cells,0.00861156789621342,7.6134615384615385,36.199336341397576,"['HEXA', 'PNPO', 'CD44']",0.22390076530154893,0,0,PanglaoDBAugmented2021
3,4,Monocytes,0.012574041445215598,6.593597154290796,28.854377607045848,"['PSAP', 'CD44', 'TYMP']",0.24519380818170416,0,0,PanglaoDBAugmented2021
4,5,Purkinje Fiber Cells,0.0321010499684915,7.488679245283019,25.752568486012574,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
5,6,Retinal Progenitor Cells,0.038072481385528364,6.804459691252144,22.238767458169338,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
6,7,Radial Glia Cells,0.03931423021648756,6.682277628032345,21.62497792923231,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
7,8,Adipocyte Progenitor Cells,0.03994087265241505,6.6228084822173985,21.327795086265493,"['EFEMP1', 'EBF2']",0.27553267947039034,0,0,PanglaoDBAugmented2021
8,9,Tanycytes,0.04377991338144195,6.286982717615348,19.66932943045249,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
9,10,Chromaffin Cells,0.04443272159860915,6.234276729559748,19.412160634202674,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
10,11,Erythroblasts,0.04574923442940984,6.131456851221776,18.912970530321875,"['ARHGDIB', 'CD44']",0.27553267947039034,0,0,PanglaoDBAugmented2021
11,12,Glomus Cells,0.04775088410578517,5.983396226415095,18.20004152543457,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
12,13,Anterior Pituitary Gland Cells,0.05184860270843882,5.7076191847904365,16.89128399579087,"['GAP43', 'IGSF1']",0.27553267947039034,0,0,PanglaoDBAugmented2021
13,14,Basal Cells,0.05750067529458706,5.3769512691733405,15.356350149044468,"['DPP7', 'TYMP']",0.27553267947039034,0,0,PanglaoDBAugmented2021
14,15,Trigeminal Neurons,0.059673596856796636,5.2625564709008765,14.834439509742873,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
15,16,Neuroblasts,0.06113790749303794,5.188941299790357,14.50113567730103,"['GAP43', 'MAP1B']",0.27553267947039034,0,0,PanglaoDBAugmented2021
16,17,M?ller Cells,0.06187470568718254,5.152895250487964,14.338672096440488,"['CA2', 'CD44']",0.27553267947039034,0,0,PanglaoDBAugmented2021
17,18,Neural Stem/Precursor Cells,0.06560425556631923,4.979874213836478,13.56574861827901,"['GAP43', 'S100A6']",0.27553267947039034,0,0,PanglaoDBAugmented2021
18,19,Osteoblasts,0.06711693474278739,4.913853028798411,13.273883990604332,"['EFEMP1', 'CD44']",0.27553267947039034,0,0,PanglaoDBAugmented2021
19,20,Enteric Neurons,0.07643211570364376,4.551541647491947,11.703617122622163,"['GAP43', 'MAP1B']",0.29808525124421065,0,0,PanglaoDBAugmented2021
20,21,Cajal-Retzius Cells,0.08285795247558737,4.338086880210619,10.804558712408163,"['GAP43', 'MAP1B']",0.3053762603583364,0,0,PanglaoDBAugmented2021
21,22,Hematopoietic Stem Cells,0.08613176574209488,4.238636363636363,10.392614992273225,"['PLXDC2', 'CD44']",0.3053762603583364,0,0,PanglaoDBAugmented2021
22,23,Platelets,0.11720811559790396,3.512459950160199,7.530026247790826,"['CA2', 'ARHGDIB']",0.39748839202767433,0,0,PanglaoDBAugmented2021
23,24,Olfactory Epithelial Cells,0.12812454166830958,3.3222708894878705,6.826444436845232,"['ENDOD1', 'EBF2']",0.4087931787949874,0,0,PanglaoDBAugmented2021
24,25,Fibroblasts,0.1336714016331511,3.23461853978671,6.509251631043175,"['EFEMP1', 'CD44']",0.4087931787949874,0,0,PanglaoDBAugmented2021
25,26,His Bundle Cells,0.2370235551881547,3.7892325315005726,5.4549630625325705,['MAP1B'],0.4087931787949874,0,0,PanglaoDBAugmented2021
26,27,Glycinergic Neurons,0.2412348616553018,3.7123082678638233,5.278844037828421,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
27,28,Cholinergic Neurons,0.24542334380987546,3.6384305097176384,5.111160303628736,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
28,29,Trophoblast Progenitor Cells,0.2475090637397272,3.602578068264343,5.030308852843138,['TYMP'],0.4087931787949874,0,0,PanglaoDBAugmented2021
29,30,Ciliated Cells,0.24958912310261913,3.5674217907227614,4.95136462030092,['CAPS'],0.4087931787949874,0,0,PanglaoDBAugmented2021
30,31,Kidney Progenitor Cells,0.2516635369291826,3.5329415954415953,4.874266166659854,['MAP1B'],0.4087931787949874,0,0,PanglaoDBAugmented2021
31,32,Glutaminergic Neurons,0.25579548815366226,3.4659329140461215,4.7253733161975715,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
32,33,Osteoclast Precursor Cells,0.25579548815366226,3.4659329140461215,4.7253733161975715,['TYMP'],0.4087931787949874,0,0,PanglaoDBAugmented2021
33,34,Spermatozoa,0.257853055534351,3.433367947386639,4.653468150572839,['ASAH1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
34,35,Gastric Chief Cells,0.259905037298214,3.401406035665295,4.583186997098743,['TPPP3'],0.4087931787949874,0,0,PanglaoDBAugmented2021
35,36,Crypt Cells,0.26195144837135037,3.3700305810397553,4.514479836563591,['TPPP3'],0.4087931787949874,0,0,PanglaoDBAugmented2021
36,37,Endothelial Cells (Blood Brain Barrier),0.26805740556347285,3.279265873015873,4.317331000761209,['MAP1B'],0.4087931787949874,0,0,PanglaoDBAugmented2021
37,38,GABAergic Neurons,0.26805740556347285,3.279265873015873,4.317331000761209,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
38,39,Satellite Glial Cells,0.27008168181166425,3.2500819403474273,4.2544574940893085,['PLXDC2'],0.4087931787949874,0,0,PanglaoDBAugmented2021
39,40,Peri-islet Schwann Cells,0.27008168181166425,3.2500819403474273,4.2544574940893085,['MAP1B'],0.4087931787949874,0,0,PanglaoDBAugmented2021
40,41,Meningeal Cells,0.2721004612419189,3.2214100064977256,4.192935522412261,['MAP1B'],0.4087931787949874,0,0,PanglaoDBAugmented2021
41,42,Myoepithelial Cells,0.2721004612419189,3.2214100064977256,4.192935522412261,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
42,43,Natural Killer T Cells,0.27812396454732313,3.138334916112694,4.016090627548898,['CD44'],0.4087931787949874,0,0,PanglaoDBAugmented2021
43,44,Dopaminergic Neurons,0.28012090253893884,3.111581920903955,3.959593707942358,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
44,45,Peritubular Myoid Cells,0.28211241656016706,3.085278555866791,3.904264660022,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
45,46,Alveolar Macrophages,0.2880545589950214,3.008955676988464,3.7449624112228475,['TYMP'],0.4087931787949874,0,0,PanglaoDBAugmented2021
46,47,Langerhans Cells,0.2880545589950214,3.008955676988464,3.7449624112228475,['HLA-DRB5'],0.4087931787949874,0,0,PanglaoDBAugmented2021
47,48,Neuroendocrine Cells,0.2880545589950214,3.008955676988464,3.7449624112228475,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
48,49,Luteal Cells,0.2919891313885463,2.960125448028674,3.64402897946688,['EPDR1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
49,50,Oligodendrocyte Progenitor Cells,0.2919891313885463,2.960125448028674,3.64402897946688,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
50,51,Pyramidal Cells,0.3017323991312036,2.844674131495837,3.4085305033417823,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
51,52,Pulmonary Alveolar Type I Cells,0.3036651952121775,2.822649572649573,3.3641170740820274,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
52,53,Bergmann Glia,0.3055927383713162,2.8009612666101216,3.3205451382422573,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
53,54,Pulmonary Alveolar Type II Cells,0.311343989907,2.73783858485351,3.194665847063761,['TYMP'],0.4087931787949874,0,0,PanglaoDBAugmented2021
54,55,Immature Neurons,0.31325066097232723,2.7174211248285323,3.154250851020093,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
55,56,Kupffer Cells,0.3151521487915624,2.6973039215686274,3.1145761497014353,['TYMP'],0.4087931787949874,0,0,PanglaoDBAugmented2021
56,57,Schwann Cells,0.3170484671305441,2.6774804001081374,3.0756234053761347,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
57,58,Epsilon Cells,0.3170484671305441,2.6774804001081374,3.0756234053761347,['S100A6'],0.4087931787949874,0,0,PanglaoDBAugmented2021
58,59,Satellite Cells,0.3189396298899214,2.657944176060118,3.0373748561048215,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
59,60,Enteroendocrine Cells,0.3189396298899214,2.657944176060118,3.0373748561048215,['GAP43'],0.4087931787949874,0,0,PanglaoDBAugmented2021
60,61,Luminal Epithelial Cells,0.32082565075119884,2.638689048760991,2.99981329668252,['HMGA1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
61,62,Mesothelial Cells,0.3283185893429043,2.5643615643615645,2.8561111157574266,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
62,63,Leydig Cells,0.3301791059497975,2.5464248971193415,2.821744424354311,['EFEMP1'],0.4087931787949874,0,0,PanglaoDBAugmented2021
63,64,Mesangial Cells,0.33573034926067213,2.494079113126732,2.72215509889959,['EFEMP1'],0.40917136316144415,0,0,PanglaoDBAugmented2021
64,65,Astrocytes,0.34669766518989337,2.3955458726700556,2.537606918964463,['GAP43'],0.4118733090856007,0,0,PanglaoDBAugmented2021
65,66,Purkinje Neurons,0.3485081846108929,2.3798701298701297,2.5086057865847664,['GAP43'],0.4118733090856007,0,0,PanglaoDBAugmented2021
66,67,Proximal Tubule Cells,0.3645827347443586,2.2474437627811863,2.2676747387205993,['FAH'],0.41819784279499955,0,0,PanglaoDBAugmented2021
67,68,Retinal Ganglion Cells,0.3645827347443586,2.2474437627811863,2.2676747387205993,['GAP43'],0.41819784279499955,0,0,PanglaoDBAugmented2021
68,69,Basophils,0.3733441051196204,2.180004409171076,2.1478597008535814,['CD44'],0.4220411623091361,0,0,PanglaoDBAugmented2021
69,70,Oligodendrocytes,0.38881666298746886,2.0682151077631303,1.9537339204395299,['GALC'],0.4280287188849601,0,0,PanglaoDBAugmented2021
70,71,B Cells,0.39557236813680974,2.022099447513812,1.8753385627356434,['HMGA1'],0.4280287188849601,0,0,PanglaoDBAugmented2021
71,72,Podocytes,0.3989226724630273,1.9997976118194698,1.837789376205417,['EFEMP1'],0.4280287188849601,0,0,PanglaoDBAugmented2021
72,73,Endothelial Cells (Aorta),0.4005909804948985,1.9888285024154588,1.8194088954524428,['EFEMP1'],0.4280287188849601,0,0,PanglaoDBAugmented2021
73,74,Dendritic Cells,0.42347540164610037,1.8468948746726523,1.5869626130826735,['HLA-DRB5'],0.44636596389724087,0,0,PanglaoDBAugmented2021
74,75,Adipocytes,0.4408522199091409,1.748715222399433,1.4322774420056963,['EBF2'],0.45848630870550655,0,0,PanglaoDBAugmented2021
75,76,Endothelial Cells,0.4942030137705626,1.4890400604686318,1.0494886679630526,['S100A13'],0.507208356238209,0,0,PanglaoDBAugmented2021
76,77,Neurons,0.5514059782623355,1.2639531893004115,0.7524110325824632,['GAP43'],0.558567094863145,0,0,PanglaoDBAugmented2021
77,78,Interneurons,0.571027055385877,1.1964546783625731,0.6703959156154375,['GAP43'],0.571027055385877,0,0,PanglaoDBAugmented2021
