,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Juxtaglomerular Cells,0.0064977695077896155,3.0891547049441788,15.557898452708043,"['PDGFRB', 'EFEMP2', 'IGFBP5', 'FAM114A1', 'FBLIM1', 'TGFB1I1', 'CD248', 'MYL9']",0.8023752102650538,0,0,PanglaoDBAugmented2021
1,2,Myoepithelial Cells,0.012270508365057317,2.7410082129708297,12.061961753661308,"['FERMT1', 'SH3RF2', 'MYO1C', 'FAM114A1', 'FBLIM1', 'PXN', 'ERBB2', 'MYL9']",0.8023752102650538,0,0,PanglaoDBAugmented2021
2,3,Microglia,0.026781233631840762,2.2138099665066284,8.014111346358131,"['HCK', 'SALL1', 'SIGLEC9', 'BIN2', 'LST1', 'TMEM119', 'LILRB1', 'TCIRG1', 'PIK3R5']",0.8023752102650538,0,0,PanglaoDBAugmented2021
3,4,Endothelial Cells (Blood Brain Barrier),0.032462213909946934,2.4165566929414704,8.28317945660665,"['SALL1', 'ARHGEF17', 'NCS1', 'LRP4', 'GPR37L1', 'BCAR1', 'PPARD']",0.8023752102650538,0,0,PanglaoDBAugmented2021
4,5,Schwann Cells,0.03258535272449186,2.2533799533799534,7.715330484309858,"['CLIP3', 'BCHE', 'IGFBP5', 'SLC22A17', 'LGI4', 'NPY', 'LRP4', 'GPR37L1']",0.8023752102650538,0,0,PanglaoDBAugmented2021
5,6,Smooth Muscle Cells,0.03872991682950692,2.0604364326375713,6.698773346662304,"['PDGFRB', 'HEXIM1', 'EFEMP2', 'IGFBP5', 'CRABP1', 'HSPB2', 'KCNAB1', 'MYL9', 'FBLN2']",0.8023752102650538,0,0,PanglaoDBAugmented2021
6,7,Fibroblasts,0.04882375966323581,1.8243740573152338,5.508767168581755,"['PDGFRB', 'HCK', 'EFEMP2', 'MDK', 'HAS1', 'COL4A3', 'MMP3', 'CD248', 'ARAP1', 'MYL9', 'FBLN2']",0.8023752102650538,0,0,PanglaoDBAugmented2021
7,8,Plasmacytoid Dendritic Cells,0.04923207193679502,2.061673068715322,6.208130559646199,"['NRP1', 'HCK', 'BIN2', 'LST1', 'LILRB1', 'SLC15A4', 'PIK3R5', 'MYO1G']",0.8023752102650538,0,0,PanglaoDBAugmented2021
8,9,Airway Smooth Muscle Cells,0.05014845064156586,2.3580036518563605,7.056957070345067,"['PDGFRB', 'FOXC2', 'EFEMP2', 'IGFBP5', 'TGFB1I1', 'MYL9']",0.8023752102650538,0,0,PanglaoDBAugmented2021
9,10,Pulmonary Vascular Smooth Muscle Cells,0.05014845064156586,2.3580036518563605,7.056957070345067,"['PDGFRB', 'EFEMP2', 'HSPB2', 'CD248', 'MYL9', 'FBLN2']",0.8023752102650538,0,0,PanglaoDBAugmented2021
10,11,Adipocytes,0.057143676208648124,1.8311787072243346,5.24117506166775,"['PDGFRB', 'C6', 'DEPTOR', 'MYO1C', 'FAM114A1', 'LGALS12', 'TRIP10', 'HSPB2', 'CDO1', 'MYL9']",0.8311807448530636,0,0,PanglaoDBAugmented2021
11,12,Pulmonary Alveolar Type I Cells,0.06286947032096003,2.063845356424172,5.710029806179438,"['KIAA1217', 'FAM114A1', 'FBLIM1', 'COL4A3', 'ERBB2', 'SH3BP4', 'AKAP5']",0.8382596042794671,0,0,PanglaoDBAugmented2021
12,13,Pancreatic Stellate Cells,0.07810666187948509,2.0872237196765497,5.321752420009233,"['PDGFRB', 'EFEMP2', 'IGFBP5', 'CD248', 'MYL9', 'FBLN2']",0.919810090703615,0,0,PanglaoDBAugmented2021
13,14,Enteroendocrine Cells,0.0805680876228097,1.9379618491149682,4.881052733448953,"['SST', 'NPY', 'GDAP1L1', 'CADPS', 'GAD2', 'VWA5B2', 'NUCB2']",0.919810090703615,0,0,PanglaoDBAugmented2021
14,15,Pancreatic Progenitor Cells,0.0862321960034639,2.028930817610063,4.972324427322286,"['KIAA1217', 'LRP4', 'C2CD4C', 'ARFGEF3', 'BCAR1', 'C1QL1']",0.919810090703615,0,0,PanglaoDBAugmented2021
15,16,Neuroendocrine Cells,0.11325728892520012,1.871988388969521,4.077365096852423,"['NEGR1', 'SST', 'NPY', 'FXYD7', 'GAD2', 'PPFIA2']",0.9257568423428888,0,0,PanglaoDBAugmented2021
