,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
0,1,Peritubular Myoid Cells,0.029935003206125032,4.650905669254293,16.318757400875274,"['ACTA2', 'TPM4', 'TPM1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
1,2,Smooth Muscle Cells,0.06941461080377588,3.269923731623743,8.723037885900089,"['ACTA2', 'TPM1', 'MYH6']",0.6670851704062257,0,0,PanglaoDBAugmented2021
2,3,Airway Smooth Muscle Cells,0.10636772301030192,3.7096532333645738,8.312787960012454,"['ACTA2', 'TPM1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
3,4,Myofibroblasts,0.10815754530207146,3.6716141001855287,8.166280575904093,"['ACTA2', 'TPM1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
4,5,Juxtaglomerular Cells,0.11357494891695495,3.562016201620162,7.7484264768072695,"['ACTA2', 'TPM1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
5,6,Undefined Placental Cells,0.12275522866321578,3.3931389365351627,7.117322406116919,"['EIF5A', 'HDGF']",0.6670851704062257,0,0,PanglaoDBAugmented2021
6,7,Retinal Progenitor Cells,0.13022568560725697,3.269090909090909,6.663997000824856,"['EFNB3', 'PCLO']",0.6670851704062257,0,0,PanglaoDBAugmented2021
7,8,Olfactory Epithelial Cells,0.13361682882719775,2.427078619327766,4.88517302568704,"['EFNB3', 'PCLO', 'ARL3']",0.6670851704062257,0,0,PanglaoDBAugmented2021
8,9,Pancreatic Progenitor Cells,0.13400006092757683,3.2103896103896106,6.452610311932544,"['EFNB3', 'PCLO']",0.6670851704062257,0,0,PanglaoDBAugmented2021
9,10,Sebocytes,0.1532228395523365,2.94575260804769,5.525825230217425,"['TBC1D2', 'IL1R2']",0.6670851704062257,0,0,PanglaoDBAugmented2021
10,11,Microfold Cells,0.1571307753385726,2.8979472140762463,5.363163840205594,"['TBC1D2', 'IL1R2']",0.6670851704062257,0,0,PanglaoDBAugmented2021
11,12,Mesangial Cells,0.20117911487404466,2.4585305105853053,3.9424003225050743,"['ACTA2', 'TPM1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
12,13,Plasmacytoid Dendritic Cells,0.20525876286377726,2.425061425061425,3.8400455726192178,"['HCLS1', 'ITM2C']",0.6670851704062257,0,0,PanglaoDBAugmented2021
13,14,Neutrophils,0.20730209943848163,2.4086638194020744,3.7902207136817077,"['IL1R2', 'MPO']",0.6670851704062257,0,0,PanglaoDBAugmented2021
14,15,Myocytes,0.2319710003315014,2.2277809147374366,3.2551062968445184,"['TPM1', 'MYH6']",0.6670851704062257,0,0,PanglaoDBAugmented2021
15,16,Cajal-Retzius Cells,0.25474356949262794,2.0841437632135307,2.8500621144962324,"['EFNB3', 'LZTFL1']",0.6670851704062257,0,0,PanglaoDBAugmented2021
16,17,Cardiomyocytes,0.25474356949262794,2.0841437632135307,2.8500621144962324,"['TPM1', 'MYH6']",0.6670851704062257,0,0,PanglaoDBAugmented2021
17,18,Epithelial Cells,0.34552334181079364,1.655892255892256,1.75970855093946,"['IFI16', 'GRHL2']",0.6670851704062257,0,0,PanglaoDBAugmented2021
18,19,Oxyphil Cells,0.4108727339662438,1.917562724014337,1.705617895170707,['MYH6'],0.6670851704062257,0,0,PanglaoDBAugmented2021
19,20,His Bundle Cells,0.42402097775340186,1.8381164669824464,1.5770531031708999,['TPM1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
20,21,Osteocytes,0.42402097775340186,1.8381164669824464,1.5770531031708999,['TPM1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
21,22,Pulmonary Vascular Smooth Muscle Cells,0.42726233656944024,1.8192682478396764,1.5470276405099335,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
22,23,Trophoblast Stem Cells,0.42726233656944024,1.8192682478396764,1.5470276405099335,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
23,24,Glycinergic Neurons,0.43048561638067023,1.8008008008008007,1.5177894088208939,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
24,25,Cholinergic Neurons,0.4368783380844716,1.764962982784765,1.4615667730033788,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
25,26,T Cells Naive,0.4368783380844716,1.764962982784765,1.4615667730033788,['HCLS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
26,27,Airway Epithelial Cells,0.4400479781330113,1.747571100512277,1.4345313399986037,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
27,28,Reticulocytes,0.4400479781330113,1.747571100512277,1.4345313399986037,['HDGF'],0.6670851704062257,0,0,PanglaoDBAugmented2021
28,29,Vascular Smooth Muscle Cells,0.4400479781330113,1.747571100512277,1.4345313399986037,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
29,30,Kidney Progenitor Cells,0.4463343083529788,1.7137907137907138,1.3824927537195948,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
30,31,Ionocytes,0.45255068767803497,1.6812850586435493,1.3330161144678683,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
31,32,Epiblast Cells,0.45869788758010305,1.6499833166499833,1.2859367439318166,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
32,33,T Follicular Helper Cells,0.4617457839728778,1.634763203570543,1.2632482101830096,['HCLS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
33,34,Motor Neurons,0.4647766710242412,1.61981981981982,1.2411031373923889,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
34,35,Pancreatic Stellate Cells,0.4647766710242412,1.61981981981982,1.2411031373923889,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
35,36,Cardiac Stem And Precursor Cells,0.4707877926730359,1.5907335907335907,1.1983757031953468,['MYH6'],0.6670851704062257,0,0,PanglaoDBAugmented2021
36,37,Clara Cells,0.4707877926730359,1.5907335907335907,1.1983757031953468,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
37,38,Endothelial Cells (Blood Brain Barrier),0.4707877926730359,1.5907335907335907,1.1983757031953468,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
38,39,Radial Glia Cells,0.4737682139296879,1.5765765765765767,1.1777611574875526,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
39,40,Peri-islet Schwann Cells,0.4737682139296879,1.5765765765765767,1.1777611574875526,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
40,41,Myoepithelial Cells,0.47673199897719065,1.5626679310889837,1.157625642541633,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
41,42,Choroid Plexus Cells,0.48261002821971416,1.5355700528114322,1.1187339516764336,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
42,43,Airway Goblet Cells,0.48552445491499197,1.5223685223685224,1.0999502634501594,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
43,44,Thymocytes,0.48552445491499197,1.5223685223685224,1.0999502634501594,['HCLS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
44,45,Tanycytes,0.4941704681386037,1.484084084084084,1.046093389015409,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
45,46,Chromaffin Cells,0.4970203487288425,1.4717444717444716,1.0289323391984169,['PCLO'],0.6670851704062257,0,0,PanglaoDBAugmented2021
46,47,Acinar Cells,0.502672456202927,1.4476671793744964,0.9957293746589401,['PRSS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
47,48,Stromal Cells,0.502672456202927,1.4476671793744964,0.9957293746589401,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
48,49,Erythroblasts,0.502672456202927,1.4476671793744964,0.9957293746589401,['MPO'],0.6670851704062257,0,0,PanglaoDBAugmented2021
49,50,Myoblasts,0.5082616100400139,1.4243603603603603,0.9639486697103503,['TPM1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
50,51,Eosinophils,0.5110327968195454,1.412984412984413,0.9485668285937641,['HCLS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
51,52,Glomus Cells,0.5110327968195454,1.412984412984413,0.9485668285937641,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
52,53,Gamma (PP) Cells,0.5137885052765415,1.4017876143860395,0.9335114434514526,['PCLO'],0.6670851704062257,0,0,PanglaoDBAugmented2021
53,54,Hepatic Stellate Cells,0.524658261653004,1.358709854893061,0.8763789414706753,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
54,55,Paneth Cells,0.524658261653004,1.358709854893061,0.8763789414706753,['PRSS1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
55,56,T Memory Cells,0.5273378539719171,1.3483483483483483,0.8628267783099518,['ARHGEF1'],0.6670851704062257,0,0,PanglaoDBAugmented2021
56,57,Cholangiocytes,0.5300024750040113,1.3381426539321277,0.8495514475320614,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
57,58,Principal Cells,0.5352871342777427,1.3181848515181849,0.8238022283134215,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
58,59,Ependymal Cells,0.5352871342777427,1.3181848515181849,0.8238022283134215,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
59,60,Tuft Cells,0.5352871342777427,1.3181848515181849,0.8238022283134215,['IL1R2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
60,61,Immature Neurons,0.5352871342777427,1.3181848515181849,0.8238022283134215,['PCLO'],0.6670851704062257,0,0,PanglaoDBAugmented2021
61,62,Distal Tubule Cells,0.5379073369162519,1.3084260731319555,0.8113144073177951,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
62,63,Kupffer Cells,0.5379073369162519,1.3084260731319555,0.8113144073177951,['MPO'],0.6670851704062257,0,0,PanglaoDBAugmented2021
63,64,Luminal Epithelial Cells,0.5456804141585785,1.2799922224382656,0.7753191886847814,['GRHL2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
64,65,Neuroblasts,0.5608398893551304,1.226654240447344,0.7093984551382556,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
65,66,T Helper Cells,0.5657807872209458,1.2098424955567812,0.6890640723790057,['IL1R2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
66,67,Neural Stem/Precursor Cells,0.5754978966337762,1.177555038482191,0.6506223632806057,['EFNB3'],0.6670851704062257,0,0,PanglaoDBAugmented2021
67,68,Osteoblasts,0.5802753194506106,1.162044397338515,0.6324456838264262,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
68,69,Pericytes,0.582644009595311,1.1544401544401544,0.6236042096528597,['ACTA2'],0.6670851704062257,0,0,PanglaoDBAugmented2021
69,70,Enteric Neurons,0.6078411312551987,1.0768768768768768,0.5361142456989609,['PCLO'],0.6859921338451528,0,0,PanglaoDBAugmented2021
70,71,Embryonic Stem Cells,0.629436207359046,1.0148262548262548,0.4697942987719095,['SUMO2'],0.6894993663183434,0,0,PanglaoDBAugmented2021
71,72,Oligodendrocytes,0.633611631022808,1.0032574947829185,0.4578055386345165,['EFNB3'],0.6894993663183434,0,0,PanglaoDBAugmented2021
72,73,B Cells,0.6418230969781122,0.9808869643123787,0.4349670296066179,['HCLS1'],0.6894993663183434,0,0,PanglaoDBAugmented2021
73,74,Podocytes,0.6458601659184483,0.9700684290848225,0.42408700755319,['TPM1'],0.6894993663183434,0,0,PanglaoDBAugmented2021
74,75,Dendritic Cells,0.6747345626680002,0.8958958958958959,0.3524776134304257,['HCLS1'],0.7107204060102935,0,0,PanglaoDBAugmented2021
75,76,Adipocytes,0.6944142779833612,0.8482693219535324,0.3093524160868332,['ACTA2'],0.7194889237575318,0,0,PanglaoDBAugmented2021
76,77,Platelets,0.7012740142953158,0.8321701983673815,0.2953010686958322,['HCLS1'],0.7194889237575318,0,0,PanglaoDBAugmented2021
77,78,Fibroblasts,0.7303018185585306,0.7666237666237666,0.24094784145385426,['ACTA2'],0.739664662386204,0,0,PanglaoDBAugmented2021
78,79,Neurons,0.805003769305329,0.6131131131131131,0.13298933484954592,['PCLO'],0.805003769305329,0,0,PanglaoDBAugmented2021
