"","MEdarkorange","MEdarkturquoise","MEdarkred","MElightcyan","MEroyalblue","MEyellow","MEdarkgreen","MEgrey60","MEsaddlebrown","MEwhite","MEmagenta","MEdarkgrey","MEturquoise","MEbrown","MEpurple","MEblue","MEblack","MEcyan","MEgrey"
"F1",-0.037248829560532,0.015832757361608,0.15991413898026,0.353746544876058,0.300310682819642,0.0197499151048461,0.146821692314278,-0.171558314931317,0.0349578456349128,-0.129677985520311,-0.12739068790259,-0.292141508751807,0.117901553198586,-0.374688520511141,-0.276700112322567,0.151585754239427,0.0592377844418586,-0.235868230891743,0.0407644212703529
"F2",-0.122253666061704,-0.0656178043286373,0.041738404281653,-0.139609270609401,-0.0785148378893899,-0.0886520771716361,-0.0395297507247855,0.0391548784517697,0.0196844662095478,0.10552574638848,-0.221284598514718,-0.117953216797366,0.00956878610857299,0.179512234043747,0.378817632001615,0.118250400811578,0.0864838848288635,0.354935714120877,-0.0189198127330898
"F3",-0.089347326036278,-0.231702980322714,-0.0753367942898326,-0.136121417352055,0.0469738746419266,-0.0164501651061441,0.129960435594095,0.00699374832661583,0.0706073971572775,0.212552338476073,0.196056416710543,0.0285798465670607,0.155829934060147,-0.21794426954942,0.0744228828661407,-0.00198464095344697,0.036249264832236,-0.0693719276432311,0.0962282591101674
"F4",-0.0398226309079496,-0.216266711957456,-0.0291419736614673,-0.223704296260731,-0.0971527377840161,0.014186456415046,0.0631936193673902,0.130635733683658,0.122990829254347,0.248140554615182,0.185547697812186,0.0940351955236,0.250924405792244,-0.028251057567835,-0.164406545359312,-0.00721866476652872,0.0527127540490866,-8.96760671513757e-05,0.182269357657918
"F5",-0.0555235496155913,-0.285674961985928,0.054084310465521,0.0843026246653771,-0.0714196075632945,0.0105288407815395,-0.0879830787085261,0.0979156877922302,0.176775804993486,-0.361244023879184,0.0111236687309819,0.177060791612027,0.399467212937616,-0.042871896345153,-0.0543566716885449,0.000280872159055882,0.0885668803534899,-0.0334391878774146,0.281614371133832
"F6",-0.0029973922058559,0.313762118942344,-0.054035084818747,-0.31102667753531,-0.247541333532211,-0.109693427355651,-0.141678298893437,-0.0467890064454577,-0.0392152528992402,0.0482112701191124,-0.289252104495438,-0.106153580358416,-0.257876872214079,0.37968872281792,0.327448550381516,-0.102488392531899,0.0235660699967716,0.319892618984174,-0.29950111266526
"F7",-0.0318735856085081,0.140312127130561,-0.170341859529406,-0.169787649397681,-0.0134581411396211,-0.150255501314263,0.0542594136870907,0.213759445606307,0.0356048116476739,0.151722223583419,0.190545302397407,0.147353164235775,-0.0881954060299139,0.169172552152033,-0.263238148625516,-0.176156520383534,0.0155253149381606,-0.108802318543793,-0.0796988757458275
"F8",0.900445918052139,0.419400401039155,-0.321708320138161,0.152624654800411,-0.19266047385972,-0.198549351525028,-0.330899692069753,-0.351994294109508,-0.119107040404258,-0.431447600662358,-0.112331177660462,-0.0165298628337889,-0.28092623526204,-0.0835207235299518,-0.21027383017152,-0.154060192111569,0.00882983303362265,-0.141868198914035,-0.20331228079306
"F9",-0.130393179481776,0.0221328939962641,-0.109678914270099,-0.101243842544051,-0.305982800473732,-0.0952048868321496,-0.205097182383463,0.18501331499753,0.0157033721560913,0.0582249953204077,-0.340492318876177,0.0211297400190671,-0.107237004854288,0.276376506056345,0.158414998510001,-0.0976198808357436,0.0793641386876249,0.244087237810155,-0.102954809072576
"F10",0.0747396026441247,0.0594787489551915,-0.0871375878887641,-0.191480000586009,-0.0940371417279966,-0.202097923062941,-0.00771742689068172,0.253853510520428,0.105148224951906,0.180258522313017,0.176158376202153,0.105802719918515,-0.0566666851672635,0.101441495035379,-0.271410231636228,-0.148927784655288,0.0962877027040947,-0.118848570192153,-0.016740810034186
