"","low","high"
"MEdarkorange",0.35122440570062,0.35122440570062
"MEdarkturquoise",0.515012385409263,0.515012385409263
"MEdarkred",0.428469965427771,0.428469965427771
"MElightcyan",0.180299089206541,0.180299089206541
"MEroyalblue",0.119621683448582,0.119621683448582
"MEyellow",0.318048377921472,0.318048377921472
"MEdarkgreen",0.335098956716108,0.335098956716108
"MEgrey60",0.208860451907237,0.208860451907237
"MEsaddlebrown",0.455589160907516,0.455589160907516
"MEwhite",0.215060210717611,0.215060210717611
"MEmagenta",0.1173730832436,0.1173730832436
"MEdarkgrey",0.968790150815557,0.968790150815557
"MEturquoise",0.562698582437976,0.562698582437976
"MEbrown",0.00240747376642349,0.00240747376642349
"MEpurple",0.218007449410333,0.218007449410333
"MEblue",0.0294187688341754,0.0294187688341754
"MEblack",0.273029253375521,0.273029253375521
"MEcyan",0.230737378558158,0.230737378558158
"MEgrey",0.401318660151296,0.401318660151296
