,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
PLEC,29.022385,29.802143,29.256836,29.573948,29.966923,29.111849,29.097717,29.252636,29.751486,29.194767,29.607613,29.130674,29.761147,29.210205,28.410975,30.390133,29.211048,29.592112,29.650671,27.817993,28.687393,29.431639,29.590605,29.321507,28.086044,29.041363,29.186632,29.07786
ALB,34.554546,32.10458,32.91579,32.898716,32.444225,29.744986,32.80634,31.454952,30.545523,32.801533,32.015446,32.936817,30.153524,32.94577,31.44897,28.333776,32.931835,32.901466,32.3581,30.536833,31.6597,30.470835,31.556442,31.69696,31.496037,33.97892,30.053358,30.339697
GFAP,32.0235,33.78313,33.341145,32.672626,32.63489,33.847874,32.810127,32.43174,34.308117,33.132812,33.136196,33.753376,34.32666,33.099483,33.88871,35.45993,33.94429,33.24779,33.05802,30.863136,32.811157,34.911743,34.28327,34.229664,30.953167,32.89446,33.888428,33.37245
SPTAN1,27.555271,28.592318,28.31342,27.920889,29.217556,27.922832,27.483988,28.3809,28.371605,27.579273,28.761494,28.398087,28.830812,28.01272,28.31099,28.118696,29.22641,27.887344,29.308064,26.617414,29.062654,28.796824,29.72292,29.316103,28.809425,29.835546,29.07027,30.510849
VIM,31.662945,32.882393,32.569675,33.00416,32.726192,32.37003,32.74022,32.72559,32.98729,33.174995,33.2481,32.733807,32.86244,32.967457,32.664566,32.271973,31.72604,33.271523,33.282063,32.35545,32.84981,33.568676,32.251728,33.419952,31.515415,30.964878,32.543114,31.551798
DYNC1H1,27.221277,27.32126,28.207481,27.756317,28.316647,27.179249,27.770067,27.712656,27.918158,27.65944,28.195791,28.03041,27.778746,27.701448,28.334764,26.24627,27.70662,27.770714,28.31116,25.881865,28.570972,28.20541,28.76567,28.046665,27.670225,28.090523,28.056667,28.52776
SPTBN1,26.92657,28.447615,28.157843,27.90986,28.974432,27.967283,27.362846,28.32201,28.302591,27.734034,28.788496,27.84423,28.482317,27.807072,27.820173,27.76637,28.628172,27.72233,28.87589,26.168337,28.825602,28.50092,29.295292,29.082941,28.517284,29.30397,28.68132,29.997746
NES,25.510553,30.444803,29.681768,30.937737,30.736055,29.966171,30.519083,30.287163,30.299967,30.684341,30.972635,29.58907,30.214182,30.676214,27.976786,26.951784,28.31695,28.954468,30.854616,28.238632,30.17065,29.2383,28.011042,28.492851,28.728905,26.774715,29.28781,28.38327
FLNA,27.58304,28.109015,28.522772,28.573256,28.480158,27.650826,28.316265,27.971783,28.51407,28.245127,28.185394,28.405256,28.33457,28.387486,28.893475,26.960653,27.584528,28.597042,28.421814,28.014286,28.30691,28.494791,27.66398,27.574429,28.089743,26.650879,28.323393,26.593376
ACTB,31.557432,33.041973,32.391308,32.220932,32.150753,33.486355,32.163246,32.195595,33.08354,32.35006,33.03251,32.66437,32.559475,32.192844,32.383488,31.25626,32.43961,32.700596,32.411407,31.787844,32.812614,31.935888,32.136787,32.158268,32.016068,32.225456,32.329716,31.994095
