"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019829","GO:0019829","ATPase-coupled cation transmembrane transporter activity","12/172","47/18368",1.21329637672682e-14,4.85318550690728e-12,3.88254840552583e-12,"ATP1A3/ATP1A1/ATP2B1/ATP6V1A/ATP2B2/ATP6V1B2/ATP1B1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",12
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","7/172","17/18368",1.0038305591371e-10,1.0038305591371e-08,8.0306444730968e-09,"ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",7
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","7/172","17/18368",1.0038305591371e-10,1.0038305591371e-08,8.0306444730968e-09,"ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",7
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","7/172","17/18368",1.0038305591371e-10,1.0038305591371e-08,8.0306444730968e-09,"ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",7
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","7/172","20/18368",3.90771519860257e-10,2.80547617667134e-08,2.24438094133707e-08,"ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",7
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","12/172","109/18368",4.40946899878546e-10,2.80547617667134e-08,2.24438094133707e-08,"ATP1A3/ATP1A1/ATP2B1/ATP6V1A/ATP2B2/ATP6V1B2/ATP1B1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",12
"GO:0000149","GO:0000149","SNARE binding","12/172","110/18368",4.90958330917484e-10,2.80547617667134e-08,2.24438094133707e-08,"STXBP1/NSF/SNAP25/STX1B/STX1A/NAPB/VAMP2/SNCA/SNAP91/PRRT2/SYT1/NAPG",12
"GO:0005516","GO:0005516","calmodulin binding","14/172","201/18368",6.514851592547e-09,3.2574257962735e-07,2.6059406370188e-07,"AKAP12/ATP2B1/ATP2B2/MBP/MAP6/CAMK2B/PPP3CA/VAMP2/CAMK2G/SYT1/PCP4/CAMKV/PPP3R1/NRGN",14
"GO:0017075","GO:0017075","syntaxin-1 binding","6/172","22/18368",4.07076978931922e-08,1.80923101747521e-06,1.44738481398017e-06,"STXBP1/NSF/SNAP25/VAMP2/PRRT2/SYT1",6
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","12/172","181/18368",1.3988531586806e-07,5.59541263472242e-06,4.47633010777793e-06,"ATP1A3/ATP1A1/ATP2B1/ATP6V1A/ATP2B2/ATP6V1B2/ATP1B1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",12
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","14/172","267/18368",2.2864558380649e-07,8.31438486569053e-06,6.65150789255243e-06,"ATP1A3/ATP1A1/ATP2B1/ATP6V1A/ATP2B2/ATP6V1B2/ATP1B1/ATP6V1E1/ATP6V1G2/ATP6V1H/SLC17A7/ATP6V0D1/ATP6V1D/SLC24A2",14
"GO:0019905","GO:0019905","syntaxin binding","8/172","74/18368",4.47415459841214e-07,1.49138486613738e-05,1.1931078929099e-05,"STXBP1/NSF/SNAP25/NAPB/VAMP2/PRRT2/SYT1/NAPG",8
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity","14/172","296/18368",7.92906523483129e-07,2.43971237994809e-05,1.95176990395847e-05,"NEFL/MAPT/MAP1A/SNAP25/GNB1/EPB41L3/NEFH/STX1B/STX1A/NAPB/VAMP2/ATP1B1/MAP2K1/NAPG",14
"GO:0015662","GO:0015662","P-type ion transporter activity","5/172","21/18368",1.22418273615556e-06,3.26448729641484e-05,2.61158983713187e-05,"ATP1A3/ATP1A1/ATP2B1/ATP2B2/ATP1B1",5
