"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006790","BP","GO:0006790","sulfur compound metabolic process","14/120","339/18723",3.69696708156879e-08,5.64896570063712e-05,5.24191016723491e-05,"SOD1/GSS/GPX1/MAT2A/GSR/TST/ACSS1/MAT2B/OPLAH/ACOT2/ETHE1/GNS/MRI1/MVD",14
"GO:0006098","BP","GO:0006098","pentose-phosphate shunt","4/120","15/18723",2.07416577430495e-06,0.00070119231034327,0.000650665501537879,"PGLS/SHPK/DERA/RPEL1",4
"GO:0006740","BP","GO:0006740","NADPH regeneration","4/120","16/18723",2.75186884971751e-06,0.00070119231034327,0.000650665501537879,"PGLS/SHPK/DERA/RPEL1",4
"GO:0009117","BP","GO:0009117","nucleotide metabolic process","14/120","489/18723",3.04387939722192e-06,0.00070119231034327,0.000650665501537879,"PGM1/TMSB4X/EIF6/DNPH1/ACSS1/NAPRT/APRT/NUDT5/ACOT2/AK3/MVD/RRM2B/DERA/UNG",14
"GO:0006749","BP","GO:0006749","glutathione metabolic process","6/120","64/18723",3.38343802098367e-06,0.00070119231034327,0.000650665501537879,"SOD1/GSS/GPX1/GSR/OPLAH/ETHE1",6
"GO:0008064","BP","GO:0008064","regulation of actin polymerization or depolymerization","9/120","188/18723",3.4360072583666e-06,0.00070119231034327,0.000650665501537879,"TMSB4X/CAPZA2/IQGAP2/CFL2/TMSB10/MYADM/SWAP70/ARPC5/ARPC5L",9
"GO:0030832","BP","GO:0030832","regulation of actin filament length","9/120","189/18723",3.5885851945708e-06,0.00070119231034327,0.000650665501537879,"TMSB4X/CAPZA2/IQGAP2/CFL2/TMSB10/MYADM/SWAP70/ARPC5/ARPC5L",9
"GO:0006753","BP","GO:0006753","nucleoside phosphate metabolic process","14/120","497/18723",3.67116392849879e-06,0.00070119231034327,0.000650665501537879,"PGM1/TMSB4X/EIF6/DNPH1/ACSS1/NAPRT/APRT/NUDT5/ACOT2/AK3/MVD/RRM2B/DERA/UNG",14
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","12/120","383/18723",6.54222075513191e-06,0.00111072370153795,0.00103068670844008,"TMSB4X/CAPZA2/IQGAP2/GPX1/CFL2/TMSB10/PPM1F/EML2/MYADM/SWAP70/ARPC5/ARPC5L",12
"GO:0008154","BP","GO:0008154","actin polymerization or depolymerization","9/120","218/18723",1.14007057403104e-05,0.00169979716988172,0.00157731247439424,"TMSB4X/CAPZA2/IQGAP2/CFL2/TMSB10/MYADM/SWAP70/ARPC5/ARPC5L",9
"GO:0110053","BP","GO:0110053","regulation of actin filament organization","10/120","278/18723",1.22367597308239e-05,0.00169979716988172,0.00157731247439424,"TMSB4X/CAPZA2/IQGAP2/CFL2/TMSB10/PPM1F/MYADM/SWAP70/ARPC5/ARPC5L",10
"GO:0051156","BP","GO:0051156","glucose 6-phosphate metabolic process","4/120","24/18723",1.54419945177108e-05,0.00196628063525517,0.00182459356275056,"PGLS/SHPK/DERA/RPEL1",4
"GO:0007015","BP","GO:0007015","actin filament organization","12/120","442/18723",2.72300943713004e-05,0.00320058339994977,0.00296995442252159,"TMSB4X/PLS3/CAPZA2/IQGAP2/CFL2/TMSB10/PPM1F/MYADM/SWAP70/ARPC5/ARPC5L/SH3KBP1",12
