"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070006","GO:0070006","metalloaminopeptidase activity","6/124","27/18368",2.20876469929373e-08,4.33400993275288e-06,3.80456882813032e-06,"LAP3/DPP3/PEPD/RNPEP/ERAP1/NPEPL1",6
"GO:0008238","GO:0008238","exopeptidase activity","9/124","103/18368",3.19853131568478e-08,4.33400993275288e-06,3.80456882813032e-06,"LAP3/TPP1/DPP3/PEPD/RNPEP/ERAP1/SCRN2/CTSZ/NPEPL1",9
"GO:0004177","GO:0004177","aminopeptidase activity","6/124","40/18368",2.66603084740875e-07,2.40831453215924e-05,2.11411568952413e-05,"LAP3/DPP3/PEPD/RNPEP/ERAP1/NPEPL1",6
"GO:0008235","GO:0008235","metalloexopeptidase activity","6/124","72/18368",9.09947338094226e-06,0.000616489321558838,0.00054117920634025,"LAP3/DPP3/PEPD/RNPEP/ERAP1/NPEPL1",6
"GO:0004298","GO:0004298","threonine-type endopeptidase activity","3/124","14/18368",0.000103524352325355,0.00561101989603422,0.00492557971063793,"PSMB9/PSMB4/PSMA4",3
"GO:0070003","GO:0070003","threonine-type peptidase activity","3/124","24/18368",0.000547942719708306,0.0247487461734918,0.0217254481849258,"PSMB9/PSMB4/PSMA4",3
"GO:0004175","GO:0004175","endopeptidase activity","10/124","430/18368",0.000676654375937906,0.0261961908398818,0.0229960735281153,"TPP1/CAPN1/APEH/PSMB9/ERAP1/PSMB4/PSMA4/NCSTN/CTSZ/HTRA2",10
"GO:0030145","GO:0030145","manganese ion binding","4/124","65/18368",0.000974713919673884,0.0330184340289528,0.0289849139271444,"LAP3/PEPD/PPM1B/NPEPL1",4
"GO:0008237","GO:0008237","metallopeptidase activity","6/124","190/18368",0.00184282335118867,0.0404694066026491,0.0355256783538501,"LAP3/DPP3/PEPD/RNPEP/ERAP1/NPEPL1",6
"GO:0004726","GO:0004726","non-membrane spanning protein tyrosine phosphatase activity","2/124","10/18368",0.00196357226666278,0.0404694066026491,0.0355256783538501,"ACP1/PTPN12",2
"GO:0016803","GO:0016803","ether hydrolase activity","2/124","10/18368",0.00196357226666278,0.0404694066026491,0.0355256783538501,"AKR7A2/RNPEP",2
"GO:0016868","GO:0016868","intramolecular transferase activity, phosphotransferases","2/124","10/18368",0.00196357226666278,0.0404694066026491,0.0355256783538501,"PGM1/PGM2",2
"GO:0070567","GO:0070567","cytidylyltransferase activity","2/124","10/18368",0.00196357226666278,0.0404694066026491,0.0355256783538501,"PCYT2/TRNT1",2
"GO:0016829","GO:0016829","lyase activity","6/124","196/18368",0.00215474814150238,0.0404694066026491,0.0355256783538501,"CA3/GGCT/UROD/MVD/PCBD2/DERA",6
"GO:0016801","GO:0016801","hydrolase activity, acting on ether bonds","2/124","11/18368",0.002389337659197,0.0404694066026491,0.0355256783538501,"AKR7A2/RNPEP",2
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","2/124","11/18368",0.002389337659197,0.0404694066026491,0.0355256783538501,"GALM/RPEL1",2
"GO:0016791","GO:0016791","phosphatase activity","7/124","275/18368",0.00265616828960206,0.0412902976476607,0.0362462896421492,"CA3/PPM1F/PSPH/ACP1/PPM1B/HDDC2/PTPN12",7
"GO:0016209","GO:0016209","antioxidant activity","4/124","86/18368",0.00274252899504757,0.0412902976476607,0.0362462896421492,"PRDX6/SOD1/GPX1/GSR",4
"GO:0004180","GO:0004180","carboxypeptidase activity","3/124","43/18368",0.0030434101551234,0.0434086395809706,0.0381058556818775,"LAP3/PEPD/CTSZ",3
"GO:0051015","GO:0051015","actin filament binding","6/124","217/18368",0.00356745884247346,0.0483390673155154,0.0424339841262633,"PLS3/CAPZA2/IQGAP2/CFL2/ARPC5/ARPC5L",6
