"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","5/20","10/18723",2.03202782867639e-13,7.34727749882464e-11,4.72631885889304e-11,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0007596","GO:0007596","blood coagulation","9/20","217/18723",4.80591451260809e-13,7.34727749882464e-11,4.72631885889304e-11,"FN1/HBB/FGB/FGA/FGG/SLC4A1/FBLN1/ITGA2B/PROS1",9
"GO:0007599","GO:0007599","hemostasis","9/20","222/18723",5.90638188159028e-13,7.34727749882464e-11,4.72631885889304e-11,"FN1/HBB/FGB/FGA/FGG/SLC4A1/FBLN1/ITGA2B/PROS1",9
"GO:0050817","GO:0050817","coagulation","9/20","222/18723",5.90638188159028e-13,7.34727749882464e-11,4.72631885889304e-11,"FN1/HBB/FGB/FGA/FGG/SLC4A1/FBLN1/ITGA2B/PROS1",9
"GO:0072376","GO:0072376","protein activation cascade","5/20","12/18723",6.37784505106305e-13,7.34727749882464e-11,4.72631885889304e-11,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0070527","GO:0070527","platelet aggregation","6/20","67/18723",6.22180236030928e-11,5.89470152287836e-09,3.79191326033111e-09,"FN1/HBB/FGB/FGA/FGG/ITGA2B",6
"GO:0050878","GO:0050878","regulation of body fluid levels","9/20","379/18723",7.16369976738689e-11,5.89470152287836e-09,3.79191326033111e-09,"FN1/HBB/FGB/FGA/FGG/SLC4A1/FBLN1/ITGA2B/PROS1",9
"GO:0042060","GO:0042060","wound healing","9/20","422/18723",1.8595570090226e-10,1.33888104649627e-08,8.61268509442045e-09,"FN1/HBB/FGB/FGA/FGG/SLC4A1/FBLN1/ITGA2B/PROS1",9
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","6/20","90/18723",3.82474238183571e-10,2.44783512437486e-08,1.5746307817616e-08,"FN1/HBB/FGB/FGA/FGG/ITGA2B",6
"GO:0030168","GO:0030168","platelet activation","6/20","123/18723",2.55557606376292e-09,1.47201181272744e-07,9.46908183625839e-08,"FN1/HBB/FGB/FGA/FGG/ITGA2B",6
"GO:0042730","GO:0042730","fibrinolysis","4/20","25/18723",1.18030296228011e-08,6.18049551157586e-07,3.97575734662775e-07,"FGB/FGA/FGG/PROS1",4
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","4/20","32/18723",3.33919947211281e-08,1.60281574661415e-06,1.03105106507343e-06,"HBA1/HBB/HBD/CAT",4
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","5/20","108/18723",8.41805039929134e-08,3.72984386922447e-06,2.39931476967656e-06,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0030195","GO:0030195","negative regulation of blood coagulation","4/20","49/18723",1.94469434274226e-07,8.00102815299675e-06,5.14686021537802e-06,"FGB/FGA/FGG/PROS1",4
"GO:1900047","GO:1900047","negative regulation of hemostasis","4/20","50/18723",2.11235175806389e-07,8.11143075096535e-06,5.21787943044554e-06,"FGB/FGA/FGG/PROS1",4
"GO:0050819","GO:0050819","negative regulation of coagulation","4/20","53/18723",2.6803319153067e-07,9.64919489510411e-06,6.20708443544709e-06,"FGB/FGA/FGG/PROS1",4
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","4/20","57/18723",3.60578046547364e-07,1.22172326359577e-05,7.85903853775059e-06,"FGB/FGA/FGG/FBLN1",4
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","4/20","58/18723",3.87022483184883e-07,1.23847194619163e-05,7.96677860123269e-06,"HBA1/HBB/HBD/CAT",4
"GO:0015671","GO:0015671","oxygen transport","3/20","15/18723",4.70392186387498e-07,1.42603104925894e-05,9.17329914727973e-06,"HBA1/HBB/HBD",3
"GO:0034116","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/20","16/18723",5.78549929576221e-07,1.66622379717952e-05,1.07183986953068e-05,"FGB/FGA/FGG",3
"GO:0022604","GO:0022604","regulation of cell morphogenesis","6/20","309/18723",6.14048682403329e-07,1.68424781459199e-05,1.0834342666966e-05,"FN1/FGB/FGA/FGG/SPTA1/FBLN1",6
"GO:0030193","GO:0030193","regulation of blood coagulation","4/20","66/18723",6.53855401719282e-07,1.71191232450139e-05,1.10123015026405e-05,"FGB/FGA/FGG/PROS1",4
"GO:1900046","GO:1900046","regulation of hemostasis","4/20","68/18723",7.37819585225452e-07,1.84775687430374e-05,1.18861553317785e-05,"FGB/FGA/FGG/PROS1",4
"GO:0050818","GO:0050818","regulation of coagulation","4/20","71/18723",8.78479105240405e-07,2.10834985257697e-05,1.35624844317817e-05,"FGB/FGA/FGG/PROS1",4
"GO:0015669","GO:0015669","gas transport","3/20","20/18723",1.17455711560195e-06,2.70617959434689e-05,1.74081728291321e-05,"HBA1/HBB/HBD",3
"GO:0061045","GO:0061045","negative regulation of wound healing","4/20","78/18723",1.2834987043719e-06,2.84344328353159e-05,1.8291155625057e-05,"FGB/FGA/FGG/PROS1",4
"GO:0031589","GO:0031589","cell-substrate adhesion","6/20","363/18723",1.56984677138178e-06,3.34900644561447e-05,2.15433163168182e-05,"FN1/FGB/FGA/FGG/FBLN1/ITGA2B",6
"GO:0031639","GO:0031639","plasminogen activation","3/20","24/18723",2.07967888134706e-06,4.27819655591396e-05,2.75205626403822e-05,"FGB/FGA/FGG",3
"GO:0034114","GO:0034114","regulation of heterotypic cell-cell adhesion","3/20","26/18723",2.66788662054079e-06,5.21095437633927e-05,3.35207591460421e-05,"FGB/FGA/FGG",3
"GO:1903035","GO:1903035","negative regulation of response to wounding","4/20","94/18723",2.7140387376767e-06,5.21095437633927e-05,3.35207591460421e-05,"FGB/FGA/FGG/PROS1",4
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","5/20","221/18723",2.93852320421956e-06,5.31446045066238e-05,3.41865876943194e-05,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","4/20","96/18723",2.95247802814577e-06,5.31446045066238e-05,3.41865876943194e-05,"FGB/FGA/FGG/FBLN1",4
"GO:0098869","GO:0098869","cellular oxidant detoxification","4/20","101/18723",3.61639726369978e-06,6.31225704209416e-05,4.06051622590852e-05,"HBA1/HBB/HBD/CAT",4
"GO:0007160","GO:0007160","cell-matrix adhesion","5/20","233/18723",3.80602148846106e-06,6.44784816868698e-05,4.14773858804425e-05,"FN1/FGB/FGA/FGG/ITGA2B",5
"GO:1902042","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","3/20","31/18723",4.59668085142842e-06,7.56482334406506e-05,4.86626063068513e-05,"FGB/FGA/FGG",3
"GO:2000352","GO:2000352","negative regulation of endothelial cell apoptotic process","3/20","34/18723",6.1068693937534e-06,9.77099103000544e-05,6.28543282631929e-05,"FGB/FGA/FGG",3
"GO:1990748","GO:1990748","cellular detoxification","4/20","116/18723",6.27724805955123e-06,9.77214833054462e-05,6.28617728865444e-05,"HBA1/HBB/HBD/CAT",4
"GO:0045907","GO:0045907","positive regulation of vasoconstriction","3/20","35/18723",6.67483954570855e-06,9.95812031857382e-05,6.40580839206503e-05,"FGB/FGA/FGG",3
"GO:0009636","GO:0009636","response to toxic substance","5/20","262/18723",6.74247729903436e-06,9.95812031857382e-05,6.40580839206503e-05,"HBA1/HBB/HBD/CAT/ASNS",5
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","4/20","123/18723",7.92097226554006e-06,0.000114062000623777,7.3373216775529e-05,"FN1/FGB/FGA/FGG",4
"GO:0097237","GO:0097237","cellular response to toxic substance","4/20","124/18723",8.17939739863933e-06,0.000114910558576006,7.39190727681912e-05,"HBA1/HBB/HBD/CAT",4
"GO:1900026","GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","3/20","41/18723",1.0827126166051e-05,0.000148486301705842,9.55175040213018e-05,"FGB/FGA/FGG",3
"GO:0061041","GO:0061041","regulation of wound healing","4/20","134/18723",1.11192245908536e-05,0.00014894589219376,9.58131470252254e-05,"FGB/FGA/FGG/PROS1",4
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","5/20","309/18723",1.49940055756131e-05,0.000196285163898935,0.000126265310110426,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0098754","GO:0098754","detoxification","4/20","152/18723",1.82815120246212e-05,0.000233043882540235,0.000149911269470327,"HBA1/HBB/HBD/CAT",4
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","3/20","49/18723",1.86111433973104e-05,0.000233043882540235,0.000149911269470327,"FGB/FGA/FGG",3
"GO:1904036","GO:1904036","negative regulation of epithelial cell apoptotic process","3/20","50/18723",1.9785605624215e-05,0.000242478911479741,0.000155980586331997,"FGB/FGA/FGG",3
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","5/20","330/18723",2.05804631109918e-05,0.000246965557331902,0.000158866732786604,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:1903034","GO:1903034","regulation of response to wounding","4/20","167/18723",2.64605972442182e-05,0.000311047020666728,0.000200088726744679,"FGB/FGA/FGG/PROS1",4
"GO:2000351","GO:2000351","regulation of endothelial cell apoptotic process","3/20","59/18723",3.26162667743549e-05,0.000375739393240569,0.000241703703254167,"FGB/FGA/FGG",3
"GO:0031638","GO:0031638","zymogen activation","3/20","60/18723",3.43095326105553e-05,0.000387495897719213,0.00024926636695388,"FGB/FGA/FGG",3
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","3/20","61/18723",3.60595913538438e-05,0.000399429319611808,0.000256942837177186,"FGB/FGA/FGG",3
"GO:0072577","GO:0072577","endothelial cell apoptotic process","3/20","65/18723",4.36453744695709e-05,0.00047433463574477,0.000305127543461548,"FGB/FGA/FGG",3
"GO:0019229","GO:0019229","regulation of vasoconstriction","3/20","66/18723",4.56925896632782e-05,0.000487387623074967,0.000313524201978049,"FGB/FGA/FGG",3
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","3/20","79/18723",7.82663599405331e-05,0.000808027120583913,0.000519783527860997,"FGB/FGA/FGG",3
"GO:0045785","GO:0045785","positive regulation of cell adhesion","5/20","437/18723",7.85581922789915e-05,0.000808027120583913,0.000519783527860997,"FN1/FGB/FGA/FGG/SPTA1",5
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","3/20","82/18723",8.7471003878552e-05,0.000883917512877999,0.000568601908868888,"FGB/FGA/FGG",3
"GO:0042310","GO:0042310","vasoconstriction","3/20","84/18723",9.39841993722532e-05,0.000933360324800308,0.00060040722647973,"FGB/FGA/FGG",3
"GO:0045921","GO:0045921","positive regulation of exocytosis","3/20","86/18723",0.000100806525345676,0.000984145061001853,0.00063307577023511,"FGB/FGA/FGG",3
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","4/20","239/18723",0.00010681403620424,0.00102541474756071,0.000659623521822677,"HBA1/HBB/HBD/CAT",4
"GO:1904035","GO:1904035","regulation of epithelial cell apoptotic process","3/20","96/18723",0.000139783714821927,0.00131992491372836,0.000849074505907135,"FGB/FGA/FGG",3
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","3/20","97/18723",0.000144146683670737,0.00133916919023137,0.000861453865061113,"FGB/FGA/FGG",3
"GO:0003018","GO:0003018","vascular process in circulatory system","4/20","263/18723",0.000154421463932303,0.00141185338452392,0.000908209779518308,"FGB/FGA/FGG/SLC2A1",4
"GO:0090277","GO:0090277","positive regulation of peptide hormone secretion","3/20","103/18723",0.000172195602824019,0.00154976042541617,0.000996921911086427,"FGB/FGA/FGG",3
"GO:0002793","GO:0002793","positive regulation of peptide secretion","3/20","106/18723",0.000187458185339478,0.00166116791931599,0.00106858755043719,"FGB/FGA/FGG",3
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","4/20","284/18723",0.000207316169099345,0.00180930474850337,0.00116388024757527,"FGB/FGA/FGG/SPTA1",4
"GO:0051258","GO:0051258","protein polymerization","4/20","297/18723",0.000245986892033077,0.00211055217854331,0.00135766514409219,"FGB/FGA/FGG/SPTA1",4
