"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031720","GO:0031720","haptoglobin binding","3/21","10/18368",1.53756663138792e-07,1.01143026733312e-05,5.87400518233388e-06,"HBA1/HBB/HBD",3
"GO:0004601","GO:0004601","peroxidase activity","4/21","51/18368",3.04655380935557e-07,1.01143026733312e-05,5.87400518233388e-06,"HBA1/HBB/HBD/CAT",4
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","4/21","55/18368",4.14552109977738e-07,1.01143026733312e-05,5.87400518233388e-06,"HBA1/HBB/HBD/CAT",4
"GO:0005344","GO:0005344","oxygen carrier activity","3/21","14/18368",4.65025410268099e-07,1.01143026733312e-05,5.87400518233388e-06,"HBA1/HBB/HBD",3
"GO:0005201","GO:0005201","extracellular matrix structural constituent","5/21","172/18368",1.22418273615557e-06,2.13007796091069e-05,1.23706887022036e-05,"FN1/FGB/FGA/FGG/FBLN1",5
"GO:0016209","GO:0016209","antioxidant activity","4/21","86/18368",2.52252014228396e-06,3.65765420631174e-05,2.12422748823912e-05,"HBA1/HBB/HBD/CAT",4
"GO:0019825","GO:0019825","oxygen binding","3/21","39/18368",1.14628049835961e-05,0.000142466290510408,8.27390434906183e-05,"HBA1/HBB/HBD",3
"GO:0020037","GO:0020037","heme binding","4/21","139/18368",1.70072726286719e-05,0.000184954089836807,0.000107414353444244,"HBA1/HBB/HBD/CAT",4
"GO:0046906","GO:0046906","tetrapyrrole binding","4/21","149/18368",2.23550549497846e-05,0.000216098864514585,0.000125502062875984,"HBA1/HBB/HBD/CAT",4
"GO:0140104","GO:0140104","molecular carrier activity","3/21","73/18368",7.60851042474826e-05,0.000661940406953098,0.000384430000408333,"HBA1/HBB/HBD",3
"GO:0043177","GO:0043177","organic acid binding","3/21","135/18368",0.000468692482381381,0.00370693145156183,0.00215284585208672,"HBA1/HBB/HBD",3
"GO:0016504","GO:0016504","peptidase activator activity","2/21","43/18368",0.00109285730827031,0.00792321548495972,0.00460150445587497,"FN1/FBLN1",2
"GO:0061134","GO:0061134","peptidase regulator activity","3/21","230/18368",0.00218169267626657,0.0146005586796301,0.00847945331666359,"FN1/FBLN1/PROS1",3
"GO:0051087","GO:0051087","chaperone binding","2/21","107/18368",0.00656785768733554,0.0408145441998709,0.0237035465407598,"FN1/FGB",2
