"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","GO:0008380","RNA splicing","47/401","434/18723",4.01484705423818e-20,1.55896511116068e-16,1.36547061392037e-16,"HNRNPA2B1/HNRNPM/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/FUS/HNRNPC/SF3B2/PRPF8/SRSF1/PRPF19/QKI/RBM14/SF3B3/EIF4A3/THRAP3/CCAR2/EFTUD2/CIRBP/RBM4/PRMT1/RBM39/SRSF10/HNRNPLL/SRSF6/SART1/POLR2A/SNRPA1/LUC7L3/SON/RBM12/SRSF5/TRA2A/SNRPD1/SRSF11/CLNS1A/THOC2/UBL5",47
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","39/401","320/18723",1.23042168472736e-18,1.59257580059878e-15,1.3949096362646e-15,"HNRNPA2B1/HNRNPM/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/SF3B2/PRPF8/SRSF1/PRPF19/QKI/RBM14/SF3B3/EIF4A3/THRAP3/EFTUD2/CIRBP/RBM4/RBM39/SRSF10/SRSF6/SART1/SNRPA1/LUC7L3/SON/SRSF5/TRA2A/SNRPD1/CLNS1A/UBL5",39
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","39/401","320/18723",1.23042168472736e-18,1.59257580059878e-15,1.3949096362646e-15,"HNRNPA2B1/HNRNPM/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/SF3B2/PRPF8/SRSF1/PRPF19/QKI/RBM14/SF3B3/EIF4A3/THRAP3/EFTUD2/CIRBP/RBM4/RBM39/SRSF10/SRSF6/SART1/SNRPA1/LUC7L3/SON/SRSF5/TRA2A/SNRPD1/CLNS1A/UBL5",39
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","39/401","324/18723",1.9075200432493e-18,1.85172508198426e-15,1.62189401572065e-15,"HNRNPA2B1/HNRNPM/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/SF3B2/PRPF8/SRSF1/PRPF19/QKI/RBM14/SF3B3/EIF4A3/THRAP3/EFTUD2/CIRBP/RBM4/RBM39/SRSF10/SRSF6/SART1/SNRPA1/LUC7L3/SON/SRSF5/TRA2A/SNRPD1/CLNS1A/UBL5",39
"GO:0043484","GO:0043484","regulation of RNA splicing","22/401","148/18723",8.65504956333069e-13,6.72151149088262e-10,5.88725581876241e-10,"HNRNPK/HNRNPU/HNRNPH1/NCL/DDX17/DDX5/FUS/SRSF1/PRPF19/QKI/THRAP3/CIRBP/RBM4/RBM39/SRSF10/HNRNPLL/SRSF6/POLR2A/SON/RBM12/SRSF5/TRA2A",22
"GO:0006913","GO:0006913","nucleocytoplasmic transport","29/401","301/18723",1.49597134889939e-11,8.29836678253759e-09,7.2683961327728e-09,"HNRNPA2B1/DHX9/TRIM28/HSPA9/DDX39B/IPO5/TPR/CSE1L/PTPN11/ELAVL1/XPO1/IPO7/UPF1/TNPO1/AGT/STAT3/RBM4/SARNP/NUP93/RANBP3/KPNA4/IPO9/NUP133/NUP88/NUP205/PRKCD/IPO11/THOC2/NXF1",29
"GO:0051169","GO:0051169","nuclear transport","29/401","301/18723",1.49597134889939e-11,8.29836678253759e-09,7.2683961327728e-09,"HNRNPA2B1/DHX9/TRIM28/HSPA9/DDX39B/IPO5/TPR/CSE1L/PTPN11/ELAVL1/XPO1/IPO7/UPF1/TNPO1/AGT/STAT3/RBM4/SARNP/NUP93/RANBP3/KPNA4/IPO9/NUP133/NUP88/NUP205/PRKCD/IPO11/THOC2/NXF1",29
"GO:0006403","GO:0006403","RNA localization","23/401","201/18723",6.50140707579011e-11,3.15562045941162e-08,2.76395345551024e-08,"HNRNPA2B1/DHX9/HNRNPU/DDX39B/TPR/LRPPRC/SRSF1/QKI/RUVBL1/XPO1/EIF4A3/UPF1/SARNP/FBL/NOP58/NUP93/NUP210/NUP133/NUP88/NUP205/MRPL18/THOC2/NXF1",23
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","27/401","288/18723",1.43160529193403e-10,6.17658149842204e-08,5.40996105057176e-08,"HNRNPM/DHX9/HNRNPK/HNRNPU/NCL/DDX17/HNRNPR/DDX5/SYNCRIP/FUS/HNRNPC/PRPF19/QKI/ELAVL1/THRAP3/UPF1/CIRBP/HNRNPA0/RBM4/ZC3HAV1/RBM39/SRSF10/SRSF6/SON/SLTM/TRA2A/PRKCD",27
"GO:0051028","GO:0051028","mRNA transport","18/401","130/18723",3.51362170466033e-10,1.3643393079196e-07,1.19500123450079e-07,"HNRNPA2B1/DHX9/DDX39B/TPR/LRPPRC/SRSF1/QKI/XPO1/EIF4A3/UPF1/SARNP/NUP93/NUP210/NUP133/NUP88/NUP205/THOC2/NXF1",18
"GO:0050657","GO:0050657","nucleic acid transport","19/401","163/18723",2.22866556799027e-09,7.21159033375518e-07,6.31650741243558e-07,"HNRNPA2B1/DHX9/DDX39B/TPR/LRPPRC/SRSF1/QKI/XPO1/EIF4A3/UPF1/SARNP/NUP93/NUP210/NUP133/NUP88/NUP205/MRPL18/THOC2/NXF1",19
"GO:0050658","GO:0050658","RNA transport","19/401","163/18723",2.22866556799027e-09,7.21159033375518e-07,6.31650741243558e-07,"HNRNPA2B1/DHX9/DDX39B/TPR/LRPPRC/SRSF1/QKI/XPO1/EIF4A3/UPF1/SARNP/NUP93/NUP210/NUP133/NUP88/NUP205/MRPL18/THOC2/NXF1",19
"GO:0051236","GO:0051236","establishment of RNA localization","19/401","166/18723",3.03346662327525e-09,9.06073146013677e-07,7.93613818607476e-07,"HNRNPA2B1/DHX9/DDX39B/TPR/LRPPRC/SRSF1/QKI/XPO1/EIF4A3/UPF1/SARNP/NUP93/NUP210/NUP133/NUP88/NUP205/MRPL18/THOC2/NXF1",19
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","15/401","101/18723",3.92512402528006e-09,1.0886611850116e-06,9.53539528246606e-07,"HNRNPK/HNRNPU/NCL/DDX17/DDX5/PRPF19/QKI/THRAP3/CIRBP/RBM4/RBM39/SRSF10/SRSF6/SON/TRA2A",15
"GO:0050684","GO:0050684","regulation of mRNA processing","17/401","137/18723",6.0417189664176e-09,1.5639996497733e-06,1.369880279333e-06,"DHX9/HNRNPK/HNRNPU/NCL/DDX17/DDX5/PRPF19/QKI/THRAP3/CIRBP/RBM4/RBM39/SRSF10/SRSF6/SON/SLTM/TRA2A",17
"GO:0033120","GO:0033120","positive regulation of RNA splicing","9/401","37/18723",6.34397368753843e-08,1.53960311429448e-05,1.34851177529189e-05,"NCL/SRSF1/PRPF19/THRAP3/CIRBP/HNRNPLL/POLR2A/SRSF5/TRA2A",9
"GO:0006402","GO:0006402","mRNA catabolic process","20/401","232/18723",1.46029129431108e-07,3.33547711518232e-05,2.92148679375796e-05,"HNRNPM/DHX9/HNRNPU/HNRNPR/DDX5/SYNCRIP/FUS/HNRNPC/ELAVL1/EIF4A3/THRAP3/UPF1/CIRBP/HNRNPA0/ZC3HAV1/EDC4/GSPT2/XRN2/ETF1/PRKCD",20
"GO:0051168","GO:0051168","nuclear export","16/401","154/18723",2.10159866069684e-07,4.53361533304768e-05,3.97091536415876e-05,"HNRNPA2B1/DHX9/HSPA9/DDX39B/TPR/CSE1L/PTPN11/XPO1/UPF1/SARNP/NUP93/RANBP3/NUP133/NUP88/THOC2/NXF1",16
