"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051238","BP","GO:0051238","sequestering of metal ion","4/15","16/18723",4.82616100341477e-10,2.18625093454689e-07,1.15319847134227e-07,"S100A9/S100A7/S100A8/LCN2",4
"GO:0050832","BP","GO:0050832","defense response to fungus","4/15","49/18723",5.53182472199664e-08,1.25295829953224e-05,6.6090747994381e-06,"S100A9/S100A8/ARG1/RNASE7",4
"GO:0009620","BP","GO:0009620","response to fungus","4/15","60/18723",1.26657923460549e-07,1.91253464425429e-05,1.00881925001911e-05,"S100A9/S100A8/ARG1/RNASE7",4
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","5/15","343/18723",5.17526117118284e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/ARG1/LCN2",5
"GO:0042742","BP","GO:0042742","defense response to bacterium","5/15","350/18723",5.7106865455375e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/LCN2/RNASE7",5
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","5/15","363/18723",6.82002692314841e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/ARG1/LCN2",5
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","5/15","432/18723",1.58518583508953e-05,0.00102584169042223,0.000541108548218532,"S100A9/SERPINB3/S100A8/SERPINB4/CSTA",5
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","5/15","461/18723",2.16826615861069e-05,0.0012277807123133,0.00064762686579556,"S100A9/SERPINB3/S100A8/SERPINB4/CSTA",5
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/15","79/18723",3.1716742285403e-05,0.00159640936169862,0.000842070233776195,"S100A9/S100A7/RNASE7",3
"GO:0070486","BP","GO:0070486","leukocyte aggregation","2/15","13/18723",4.64915834724149e-05,0.0021060687313004,0.00111090415244612,"S100A9/S100A8",2
"GO:0017014","BP","GO:0017014","protein nitrosylation","2/15","16/18723",7.14262446610663e-05,0.00266143257464661,0.00140384615881209,"S100A9/S100A8",2
"GO:0018119","BP","GO:0018119","peptidyl-cysteine S-nitrosylation","2/15","16/18723",7.14262446610663e-05,0.00266143257464661,0.00140384615881209,"S100A9/S100A8",2
"GO:0035821","BP","GO:0035821","modulation of process of other organism","3/15","106/18723",7.63766522525518e-05,0.00266143257464661,0.00140384615881209,"S100A9/ARG1/RNASE7",3
