"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051238","GO:0051238","sequestering of metal ion","4/15","16/18723",4.82616100341477e-10,2.18625093454689e-07,1.15319847134227e-07,"S100A9/S100A7/S100A8/LCN2",4
"GO:0050832","GO:0050832","defense response to fungus","4/15","49/18723",5.53182472199664e-08,1.25295829953224e-05,6.6090747994381e-06,"S100A9/S100A8/ARG1/RNASE7",4
"GO:0009620","GO:0009620","response to fungus","4/15","60/18723",1.26657923460549e-07,1.91253464425429e-05,1.00881925001911e-05,"S100A9/S100A8/ARG1/RNASE7",4
"GO:0032496","GO:0032496","response to lipopolysaccharide","5/15","343/18723",5.17526117118284e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/ARG1/LCN2",5
"GO:0042742","GO:0042742","defense response to bacterium","5/15","350/18723",5.7106865455375e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/LCN2/RNASE7",5
"GO:0002237","GO:0002237","response to molecule of bacterial origin","5/15","363/18723",6.82002692314841e-06,0.000514912032697705,0.000271604580974507,"S100A9/S100A7/S100A8/ARG1/LCN2",5
"GO:0052548","GO:0052548","regulation of endopeptidase activity","5/15","432/18723",1.58518583508953e-05,0.00102584169042223,0.000541108548218532,"S100A9/SERPINB3/S100A8/SERPINB4/CSTA",5
"GO:0052547","GO:0052547","regulation of peptidase activity","5/15","461/18723",2.16826615861069e-05,0.0012277807123133,0.00064762686579556,"S100A9/SERPINB3/S100A8/SERPINB4/CSTA",5
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/15","79/18723",3.1716742285403e-05,0.00159640936169862,0.000842070233776195,"S100A9/S100A7/RNASE7",3
"GO:0070486","GO:0070486","leukocyte aggregation","2/15","13/18723",4.64915834724149e-05,0.0021060687313004,0.00111090415244612,"S100A9/S100A8",2
"GO:0017014","GO:0017014","protein nitrosylation","2/15","16/18723",7.14262446610663e-05,0.00266143257464661,0.00140384615881209,"S100A9/S100A8",2
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","2/15","16/18723",7.14262446610663e-05,0.00266143257464661,0.00140384615881209,"S100A9/S100A8",2
"GO:0035821","GO:0035821","modulation of process of other organism","3/15","106/18723",7.63766522525518e-05,0.00266143257464661,0.00140384615881209,"S100A9/ARG1/RNASE7",3
"GO:0002544","GO:0002544","chronic inflammatory response","2/15","18/18723",9.09841852225964e-05,0.00269504733063731,0.0014215771907858,"S100A9/S100A8",2
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","3/15","115/18723",9.73266026844703e-05,0.00269504733063731,0.0014215771907858,"S100A9/S100A8/LCN2",3
"GO:0002523","GO:0002523","leukocyte migration involved in inflammatory response","2/15","19/18723",0.00010164114516512,0.00269504733063731,0.0014215771907858,"S100A9/S100A8",2
"GO:0008544","GO:0008544","epidermis development","4/15","324/18723",0.000103341051813312,0.00269504733063731,0.0014215771907858,"S100A7/CALML5/CASP14/CSTA",4
"GO:0051235","GO:0051235","maintenance of location","4/15","327/18723",0.000107087973402807,0.00269504733063731,0.0014215771907858,"S100A9/S100A7/S100A8/LCN2",4
"GO:0019730","GO:0019730","antimicrobial humoral response","3/15","122/18723",0.000115988044396797,0.00276539916377627,0.00145868620931152,"S100A9/S100A7/RNASE7",3
"GO:0071621","GO:0071621","granulocyte chemotaxis","3/15","125/18723",0.000124651147037835,0.00282334848040697,0.00148925317776782,"S100A9/S100A7/S100A8",3
"GO:0055076","GO:0055076","transition metal ion homeostasis","3/15","138/18723",0.000167062692578566,0.00351416181892709,0.00185364176344011,"S100A9/S100A8/LCN2",3
"GO:0030216","GO:0030216","keratinocyte differentiation","3/15","139/18723",0.000170665695400433,0.00351416181892709,0.00185364176344011,"S100A7/CASP14/CSTA",3
"GO:0097530","GO:0097530","granulocyte migration","3/15","148/18723",0.000205390990687076,0.00404530951222806,0.0021338102922639,"S100A9/S100A7/S100A8",3
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","4/15","427/18723",0.000298216618363448,0.00562883867161008,0.00296908650739047,"S100A9/S100A7/S100A8/ARG1",4
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","3/15","179/18723",0.000359261819241097,0.00650982416464868,0.0034337866512728,"S100A9/SERPINB3/S100A8",3
