"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034774","GO:0034774","secretory granule lumen","6/17","322/19550",2.02411416423333e-07,2.14247852659382e-06,1.08873681932172e-06,"S100A9/SERPINB3/S100A7/S100A8/ARG1/LCN2",6
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","6/17","325/19550",2.13773166595429e-07,2.14247852659382e-06,1.08873681932172e-06,"S100A9/SERPINB3/S100A7/S100A8/ARG1/LCN2",6
"GO:0031983","GO:0031983","vesicle lumen","6/17","327/19550",2.21635709647636e-07,2.14247852659382e-06,1.08873681932172e-06,"S100A9/SERPINB3/S100A7/S100A8/ARG1/LCN2",6
"GO:0035578","GO:0035578","azurophil granule lumen","3/17","91/19550",6.32805042214656e-05,0.000458783655605625,0.000233138699763294,"SERPINB3/S100A7/ARG1",3
"GO:0005766","GO:0005766","primary lysosome","3/17","155/19550",0.00030633540493702,0.00148062112386226,0.00075240274896812,"SERPINB3/S100A7/ARG1",3
"GO:0042582","GO:0042582","azurophil granule","3/17","155/19550",0.00030633540493702,0.00148062112386226,0.00075240274896812,"SERPINB3/S100A7/ARG1",3
"GO:0005775","GO:0005775","vacuolar lumen","3/17","174/19550",0.000429873135372179,0.00178090298939903,0.000904996074467746,"SERPINB3/S100A7/ARG1",3
"GO:0035580","GO:0035580","specific granule lumen","2/17","62/19550",0.0013051661881665,0.00434056014871462,0.00220572929517258,"ARG1/LCN2",2
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","3/17","258/19550",0.0013470703909804,0.00434056014871462,0.00220572929517258,"KRT79/S100A8/CASP14",3
"GO:0045095","GO:0045095","keratin filament","2/17","96/19550",0.00309313321816037,0.00897008633266507,0.00455830158465739,"KRT79/CASP14",2
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","3/17","425/19550",0.00552936156267023,0.0145774077561306,0.00740775711745295,"S100A9/S100A7/S100A8",3
"GO:0042581","GO:0042581","specific granule","2/17","160/19550",0.00835114381014717,0.0201819308745223,0.0102557906440404,"ARG1/LCN2",2
"GO:0005882","GO:0005882","intermediate filament","2/17","217/19550",0.0149464912108617,0.033342172701153,0.0169433908463209,"KRT79/CASP14",2
"GO:0030057","GO:0030057","desmosome","1/17","25/19550",0.0215268712624697,0.0445913761865443,0.0226598644868102,"POF1B",1
