"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048306","GO:0048306","calcium-dependent protein binding","5/17","88/18368",1.33050250176566e-08,5.32201000706266e-07,2.52095210860863e-07,"S100A9/S100A7/S100A8/S100A7A/S100A2",5
"GO:0050786","GO:0050786","RAGE receptor binding","3/17","10/18368",7.87024194161017e-08,1.57404838832203e-06,7.45601868152542e-07,"S100A9/S100A7/S100A8",3
"GO:0002020","GO:0002020","protease binding","4/17","135/18368",6.1668220969523e-06,8.22242946260307e-05,3.89483500860145e-05,"SERPINB3/SERPINB4/LCN2/CSTA",4
"GO:0035325","GO:0035325","Toll-like receptor binding","2/17","12/18368",5.29233984125805e-05,0.000529233984125805,0.000250689781954329,"S100A9/S100A8",2
"GO:0036041","GO:0036041","long-chain fatty acid binding","2/17","14/18368",7.28907224753006e-05,0.000583125779802405,0.000276217474643244,"S100A9/S100A8",2
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","3/17","180/18368",0.000568798767420213,0.0031434800282346,0.00148901685547955,"SERPINB3/SERPINB4/CSTA",3
"GO:0005504","GO:0005504","fatty acid binding","2/17","39/18368",0.00058551725560029,0.0031434800282346,0.00148901685547955,"S100A9/S100A8",2
"GO:0030414","GO:0030414","peptidase inhibitor activity","3/17","187/18368",0.00063562260466488,0.0031434800282346,0.00148901685547955,"SERPINB3/SERPINB4/CSTA",3
"GO:0061135","GO:0061135","endopeptidase regulator activity","3/17","194/18368",0.000707283006352785,0.0031434800282346,0.00148901685547955,"SERPINB3/SERPINB4/CSTA",3
"GO:0061134","GO:0061134","peptidase regulator activity","3/17","230/18368",0.00115739437264423,0.00438423168690624,0.00207674132537664,"SERPINB3/SERPINB4/CSTA",3
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","2/17","56/18368",0.00120566371389922,0.00438423168690624,0.00207674132537664,"SERPINB3/CSTA",2
"GO:0033293","GO:0033293","monocarboxylic acid binding","2/17","73/18368",0.00203852826140844,0.00679509420469481,0.0032187288338028,"S100A9/S100A8",2
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","2/17","98/18368",0.00363713695542398,0.0111911906320738,0.00530109029940337,"SERPINB3/SERPINB4",2
"GO:0043177","GO:0043177","organic acid binding","2/17","135/18368",0.00678386138267362,0.0193824610933532,0.00918116578106204,"S100A9/S100A8",2
"GO:0016813","GO:0016813","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","1/17","11/18368",0.0101365139573263,0.0265793806531728,0.0125902329409766,"ARG1",1
"GO:0005527","GO:0005527","macrolide binding","1/17","12/18368",0.0110532040081364,0.0265793806531728,0.0125902329409766,"LCN2",1
"GO:0031406","GO:0031406","carboxylic acid binding","2/17","176/18368",0.0112962367775984,0.0265793806531728,0.0125902329409766,"S100A9/S100A8",2
"GO:0097153","GO:0097153","cysteine-type endopeptidase activity involved in apoptotic process","1/17","15/18368",0.0137984825769191,0.0306632946153757,0.0145247185020201,"CASP14",1
"GO:0042834","GO:0042834","peptidoglycan binding","1/17","18/18368",0.0165365874671719,0.0348138683519408,0.0164907797456562,"RNASE7",1
