"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033631","BP","GO:0033631","cell-cell adhesion mediated by integrin","3/44","16/18723",6.6377952365721e-06,0.00517952439040378,0.00416366235690642,"ITGB1/FERMT3/DPP4",3
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","6/44","203/18723",7.55583426754746e-06,0.00517952439040378,0.00416366235690642,"ITGB1/PML/SERPINB9/CAV1/DEFA1/DPP4",6
"GO:0030239","BP","GO:0030239","myofibril assembly","4/44","63/18723",1.42819804314128e-05,0.00521258067422021,0.00419023529955742,"KRT8/KRT19/ITGB1/TMOD3",4
"GO:0055002","BP","GO:0055002","striated muscle cell development","4/44","64/18723",1.52081128350699e-05,0.00521258067422021,0.00419023529955742,"KRT8/KRT19/ITGB1/TMOD3",4
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","6/44","290/18723",5.64327798113618e-05,0.0154738682242754,0.0124389727289465,"ITGB1/PML/SERPINB9/CAV1/DEFA1/DPP4",6
"GO:0055001","BP","GO:0055001","muscle cell development","5/44","184/18723",6.90954933811085e-05,0.0157883202375833,0.0126917511526352,"KRT8/KRT19/ITGB1/G6PD/TMOD3",5
"GO:0010927","BP","GO:0010927","cellular component assembly involved in morphogenesis","4/44","107/18723",0.000114780395675602,0.0223457041431261,0.0179630329285984,"KRT8/KRT19/ITGB1/TMOD3",4
"GO:0045214","BP","GO:0045214","sarcomere organization","3/44","42/18723",0.000130390687924879,0.0223457041431261,0.0179630329285984,"KRT8/KRT19/ITGB1",3
"GO:0022612","BP","GO:0022612","gland morphogenesis","4/44","118/18723",0.000167506267666169,0.0255167881078131,0.02051217102298,"TGM2/PML/CAV1/CRIP1",4
"GO:0033632","BP","GO:0033632","regulation of cell-cell adhesion mediated by integrin","2/44","11/18723",0.000292893180346736,0.0401556550255375,0.0322799115603192,"FERMT3/DPP4",2
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","6/44","406/18723",0.000352226288100291,0.0439002037259544,0.035290040539809,"ITGB1/G6PD/PML/GSTO1/CAV1/GLRX",6
"GO:0034774","CC","GO:0034774","secretory granule lumen","8/44","322/19550",5.25316286291752e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","8/44","325/19550",5.63434138833536e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0031983","CC","GO:0031983","vesicle lumen","8/44","327/19550",5.90141499408372e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0005766","CC","GO:0005766","primary lysosome","6/44","155/19550",1.24064479756927e-06,4.29263099958968e-05,2.63800262219992e-05,"PIGR/NPC2/DEFA1/CPPED1/CTSC/GUSB",6
