"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034774","GO:0034774","secretory granule lumen","8/44","322/19550",5.25316286291752e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","8/44","325/19550",5.63434138833536e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0031983","GO:0031983","vesicle lumen","8/44","327/19550",5.90141499408372e-07,3.40314931325495e-05,2.09137864702616e-05,"SERPINB1/GYG1/FERMT3/NPC2/DEFA1/CPPED1/CTSC/GUSB",8
"GO:0005766","GO:0005766","primary lysosome","6/44","155/19550",1.24064479756927e-06,4.29263099958968e-05,2.63800262219992e-05,"PIGR/NPC2/DEFA1/CPPED1/CTSC/GUSB",6
"GO:0042582","GO:0042582","azurophil granule","6/44","155/19550",1.24064479756927e-06,4.29263099958968e-05,2.63800262219992e-05,"PIGR/NPC2/DEFA1/CPPED1/CTSC/GUSB",6
"GO:0035578","GO:0035578","azurophil granule lumen","5/44","91/19550",1.84014303416978e-06,5.30574574852287e-05,3.26060432370435e-05,"NPC2/DEFA1/CPPED1/CTSC/GUSB",5
"GO:0005775","GO:0005775","vacuolar lumen","6/44","174/19550",2.43144777074737e-06,6.00914949056136e-05,3.69287556158623e-05,"GYG1/NPC2/DEFA1/CPPED1/CTSC/GUSB",6
"GO:0045095","GO:0045095","keratin filament","4/44","96/19550",6.37541007830247e-05,0.00137868242943291,0.000847258444616513,"KRT8/KRT13/KRT18/KRT4",4
"GO:0005882","GO:0005882","intermediate filament","5/44","217/19550",0.000122836986869712,0.00236119985871779,0.001451056803958,"KRT8/KRT19/KRT13/KRT18/KRT4",5
"GO:0042383","GO:0042383","sarcolemma","4/44","138/19550",0.000259167891731186,0.00431932270406721,0.00265440579927465,"KRT8/KRT19/ITGB1/CAV1",4
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","5/44","258/19550",0.000274639015865545,0.00431932270406721,0.00265440579927465,"KRT8/KRT19/KRT13/KRT18/KRT4",5
"GO:0030055","GO:0030055","cell-substrate junction","6/44","425/19550",0.000357377997824146,0.00475587643258287,0.00292268645993836,"ITGB1/TGM2/LCP1/FERMT3/CAV1/DPP4",6
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","6/44","425/19550",0.000357377997824146,0.00475587643258287,0.00292268645993836,"SERPINB1/TGM2/SERPINB9/S100A4/DEFA1/CTSC",6
"GO:0031901","GO:0031901","early endosome membrane","4/44","173/19550",0.000609999757951255,0.00753785415182623,0.00463232898895314,"PML/CAV1/FCGR1A/GPNMB",4
"GO:0043034","GO:0043034","costamere","2/44","18/19550",0.000740272383809049,0.00840760507232843,0.00516682757715346,"KRT8/KRT19",2
"GO:0016010","GO:0016010","dystrophin-associated glycoprotein complex","2/44","19/19550",0.000826180845257707,0.00840760507232843,0.00516682757715346,"KRT8/KRT19",2
"GO:0090665","GO:0090665","glycoprotein complex","2/44","19/19550",0.000826180845257707,0.00840760507232843,0.00516682757715346,"KRT8/KRT19",2
"GO:0016327","GO:0016327","apicolateral plasma membrane","2/44","21/19550",0.00101171073958131,0.00972366433042037,0.00597560144431066,"KRT8/KRT19",2
"GO:0022624","GO:0022624","proteasome accessory complex","2/44","23/19550",0.00121539094262649,0.0110444649938366,0.00678728910482202,"PSME2/PSMD9",2
"GO:0030017","GO:0030017","sarcomere","4/44","211/19550",0.00127681676229325,0.0110444649938366,0.00678728910482202,"KRT8/KRT19/TMOD3/MYL4",4
"GO:0043202","GO:0043202","lysosomal lumen","3/44","97/19550",0.00135312339405577,0.0111471593891261,0.00685039913782623,"GYG1/NPC2/GUSB",3
"GO:0030016","GO:0030016","myofibril","4/44","231/19550",0.00177986422993958,0.0132982325835344,0.00817232425273487,"KRT8/KRT19/TMOD3/MYL4",4
"GO:0034451","GO:0034451","centriolar satellite","3/44","107/19550",0.00179331844408418,0.0132982325835344,0.00817232425273487,"G6PD/KRT18/ALDOB",3
"GO:0005769","GO:0005769","early endosome","5/44","394/19550",0.00184484151447876,0.0132982325835344,0.00817232425273487,"SERPINB1/PML/CAV1/FCGR1A/GPNMB",5
"GO:0002102","GO:0002102","podosome","2/44","29/19550",0.00193374350588967,0.0133815050607565,0.00822349869873082,"LCP1/FERMT3",2
"GO:0043292","GO:0043292","contractile fiber","4/44","239/19550",0.00201492300290797,0.0134069876731953,0.00823915883780181,"KRT8/KRT19/TMOD3/MYL4",4
"GO:0008305","GO:0008305","integrin complex","2/44","31/19550",0.002208440078653,0.0141503753187767,0.00869600186915998,"ITGB1/ITGA7",2
"GO:0005925","GO:0005925","focal adhesion","5/44","418/19550",0.00238622309047051,0.0147434498089785,0.00906047113298953,"ITGB1/TGM2/LCP1/CAV1/DPP4",5
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","2/44","36/19550",0.00297080646569491,0.0177223971919041,0.010891159819789,"ITGB1/ITGA7",2
