"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016504","GO:0016504","peptidase activator activity","4/43","43/18368",3.00621288194289e-06,0.000496025125520577,0.000354416676608004,"PSME2/CAV1/CTSC/NLRP1",4
"GO:0061134","GO:0061134","peptidase regulator activity","6/43","230/18368",1.49456084746534e-05,0.00123301269915891,0.000881004289032202,"SERPINB1/PSME2/SERPINB9/CAV1/CTSC/NLRP1",6
"GO:0008239","GO:0008239","dipeptidyl-peptidase activity","2/43","10/18368",0.000238044535557426,0.0112962703665754,0.00807133831614959,"CTSC/DPP4",2
"GO:0005178","GO:0005178","integrin binding","4/43","144/18368",0.000352581583346438,0.0112962703665754,0.00807133831614959,"ITGB1/LCP1/FERMT3/GPNMB",4
"GO:0098631","GO:0098631","cell adhesion mediator activity","3/43","59/18368",0.000354570342089371,0.0112962703665754,0.00807133831614959,"ITGB1/KRT18/TMOD3",3
"GO:0061133","GO:0061133","endopeptidase activator activity","2/43","13/18368",0.00041077346787547,0.0112962703665754,0.00807133831614959,"PSME2/NLRP1",2
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","2/43","18/18368",0.000799781290407457,0.0188519875596043,0.0134700006805466,"KRT18/TMOD3",2
"GO:0016505","GO:0016505","peptidase activator activity involved in apoptotic process","2/43","20/18368",0.000990245520289534,0.0197806018708758,0.0141335081948203,"CTSC/NLRP1",2
"GO:0061135","GO:0061135","endopeptidase regulator activity","4/43","194/18368",0.00107894192022959,0.0197806018708758,0.0141335081948203,"SERPINB1/PSME2/SERPINB9/NLRP1",4
"GO:0005496","GO:0005496","steroid binding","3/43","100/18368",0.00164986452947161,0.0272227647362816,0.019451034452718,"CALB1/CAV1/NPC2",3
