"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045104","BP","GO:0045104","intermediate filament cytoskeleton organization","7/18","51/18723",2.25331362697261e-14,3.27913450252664e-12,2.02720094558873e-12,"KRT2/DSP/KRT17/KRT14/KRT16/KRT9/PKP1",7
"GO:0045103","BP","GO:0045103","intermediate filament-based process","7/18","52/18723",2.60248770041797e-14,3.27913450252664e-12,2.02720094558873e-12,"KRT2/DSP/KRT17/KRT14/KRT16/KRT9/PKP1",7
"GO:0045109","BP","GO:0045109","intermediate filament organization","6/18","25/18723",5.44227779954968e-14,4.57151335162173e-12,2.82616531345036e-12,"KRT2/DSP/KRT17/KRT14/KRT9/PKP1",6
"GO:0043588","BP","GO:0043588","skin development","9/18","263/18723",8.08629837757636e-13,5.09436797787311e-11,3.14940042074027e-11,"KRT1/KRT2/DSP/KRT10/KRT17/KRT16/KRT9/JUP/TGM1",9
"GO:0008544","BP","GO:0008544","epidermis development","9/18","324/18723",5.28267762605927e-12,2.66246952353387e-10,1.64597113401426e-10,"KRT2/DSP/KRT10/KRT5/KRT17/KRT14/KRT16/KRT9/TGM1",9
"GO:0018149","BP","GO:0018149","peptide cross-linking","5/18","35/18723",1.42646394838077e-10,5.99114858319923e-09,3.70380112912902e-09,"KRT1/KRT2/DSP/KRT10/TGM1",5
"GO:0030216","BP","GO:0030216","keratinocyte differentiation","6/18","139/18723",2.59139792539217e-09,9.32903253141181e-08,5.76732169861716e-08,"KRT2/DSP/KRT10/KRT17/KRT16/TGM1",6
"GO:0009913","BP","GO:0009913","epidermal cell differentiation","6/18","202/18723",2.43992867142842e-08,7.68577531499952e-07,4.75144004436061e-07,"KRT2/DSP/KRT10/KRT17/KRT16/TGM1",6
"GO:0031424","BP","GO:0031424","keratinization","4/18","58/18723",2.45566531091342e-07,6.87586287055758e-06,4.25074229257528e-06,"KRT2/KRT17/KRT16/TGM1",4
"GO:0045216","BP","GO:0045216","cell-cell junction organization","4/18","200/18723",3.43820859038375e-05,0.000866428564776706,0.000535636706712416,"DSP/JUP/DSG1/PKP1",4
"GO:0002934","BP","GO:0002934","desmosome organization","2/18","10/18723",3.91044633562432e-05,0.000895847705979391,0.000553823978633876,"DSP/JUP",2
"GO:0098911","BP","GO:0098911","regulation of ventricular cardiac muscle cell action potential","2/18","12/18723",5.72878926121694e-05,0.00120304574485556,0.000743737553210621,"DSP/JUP",2
"GO:0051290","BP","GO:0051290","protein heterotetramerization","2/18","15/18723",9.09841852225963e-05,0.00163771533400673,0.00101245559495821,"KRT1/KRT10",2
"GO:0086069","BP","GO:0086069","bundle of His cell to Purkinje myocyte communication","2/18","15/18723",9.09841852225963e-05,0.00163771533400673,0.00101245559495821,"DSP/JUP",2
"GO:0090136","BP","GO:0090136","epithelial cell-cell adhesion","2/18","17/18723",0.000117711987307731,0.00197756138676988,0.00122255256993293,"DSP/JUP",2
"GO:0042303","BP","GO:0042303","molting cycle","3/18","107/18723",0.000139109761697345,0.00206209764398418,0.00127481391524502,"KRT17/KRT14/KRT16",3
"GO:0042633","BP","GO:0042633","hair cycle","3/18","107/18723",0.000139109761697345,0.00206209764398418,0.00127481391524502,"KRT17/KRT14/KRT16",3
"GO:0051546","BP","GO:0051546","keratinocyte migration","2/18","19/18723",0.000147836985148948,0.00206971779208527,0.00127952478374528,"KRT2/KRT16",2
"GO:0051291","BP","GO:0051291","protein heterooligomerization","2/18","25/18723",0.000258478270702501,0.00325682621085151,0.00201340968757737,"KRT1/KRT10",2
"GO:0061436","BP","GO:0061436","establishment of skin barrier","2/18","25/18723",0.000258478270702501,0.00325682621085151,0.00201340968757737,"KRT1/KRT16",2
"GO:0033561","BP","GO:0033561","regulation of water loss via skin","2/18","27/18723",0.000302075309897382,0.00346013536791547,0.00213909788826855,"KRT1/KRT16",2
"GO:0098901","BP","GO:0098901","regulation of cardiac muscle cell action potential","2/18","27/18723",0.000302075309897382,0.00346013536791547,0.00213909788826855,"DSP/JUP",2
"GO:0007043","BP","GO:0007043","cell-cell junction assembly","3/18","146/18723",0.000347838508672617,0.00351803405169217,0.00217489156077878,"JUP/DSG1/PKP1",3
"GO:0051873","BP","GO:0051873","killing by host of symbiont cells","2/18","29/18723",0.000349011314652001,0.00351803405169217,0.00217489156077878,"KRT6A/DCD",2
"GO:0051883","BP","GO:0051883","killing of cells in other organism involved in symbiotic interaction","2/18","29/18723",0.000349011314652001,0.00351803405169217,0.00217489156077878,"KRT6A/DCD",2
"GO:0045684","BP","GO:0045684","positive regulation of epidermis development","2/18","32/18723",0.000425650598295025,0.00412553656809024,0.0025504570262212,"KRT2/KRT10",2
"GO:0086004","BP","GO:0086004","regulation of cardiac muscle cell contraction","2/18","34/18723",0.000480883494928783,0.00448824595266864,0.00277468839179181,"DSP/JUP",2
"GO:0086005","BP","GO:0086005","ventricular cardiac muscle cell action potential","2/18","35/18723",0.000509737643350014,0.00458763879015012,0.00283613425623316,"DSP/JUP",2
"GO:0086091","BP","GO:0086091","regulation of heart rate by cardiac conduction","2/18","39/18723",0.000633372133408635,0.00532032592063254,0.00328909037699923,"DSP/JUP",2
"GO:1903115","BP","GO:1903115","regulation of actin filament-based movement","2/18","39/18723",0.000633372133408635,0.00532032592063254,0.00328909037699923,"DSP/JUP",2
"GO:0043616","BP","GO:0043616","keratinocyte proliferation","2/18","46/18723",0.000881151636768382,0.00716291007953653,0.00442819837832668,"KRT2/TGM1",2
"GO:0086002","BP","GO:0086002","cardiac muscle cell action potential involved in contraction","2/18","54/18723",0.00121275413647786,0.00955043882476313,0.00590419776969483,"DSP/JUP",2
"GO:0098900","BP","GO:0098900","regulation of action potential","2/18","55/18723",0.00125780255854514,0.00960503771979923,0.00593795147255758,"DSP/JUP",2
"GO:0050891","BP","GO:0050891","multicellular organismal water homeostasis","2/18","57/18723",0.00135028271942689,0.0100079778028111,0.00618705394659999,"KRT1/KRT16",2
"GO:0086065","BP","GO:0086065","cell communication involved in cardiac conduction","2/18","58/18723",0.00139771166427659,0.0100635239827915,0.0062213932725695,"DSP/JUP",2
"GO:0034113","BP","GO:0034113","heterotypic cell-cell adhesion","2/18","61/18723",0.00154473722831715,0.0108131605982201,0.00668482777166487,"DSP/JUP",2
"GO:0030104","BP","GO:0030104","water homeostasis","2/18","64/18723",0.00169884169238281,0.011570489364337,0.00715301765213815,"KRT1/KRT16",2
"GO:0045682","BP","GO:0045682","regulation of epidermis development","2/18","65/18723",0.0017517764641417,0.0116170439200976,0.00718179824634271,"KRT2/KRT10",2
"GO:0031640","BP","GO:0031640","killing of cells of other organism","2/18","68/18723",0.00191526127419586,0.0123755343871117,0.0076507063044801,"KRT6A/DCD",2
"GO:0086003","BP","GO:0086003","cardiac muscle cell contraction","2/18","73/18723",0.00220325495344764,0.0138805062067202,0.00858109823974346,"DSP/JUP",2
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential","2/18","76/18723",0.00238530216730117,0.014660881613656,0.00906353583467454,"DSP/JUP",2
"GO:0055117","BP","GO:0055117","regulation of cardiac muscle contraction","2/18","77/18723",0.00244751820124113,0.0146851092074468,0.00907851362866383,"DSP/JUP",2
"GO:0051262","BP","GO:0051262","protein tetramerization","2/18","87/18723",0.00311150438248616,0.0182348628927096,0.0112730146538054,"KRT1/KRT10",2
"GO:0034109","BP","GO:0034109","homotypic cell-cell adhesion","2/18","90/18723",0.00332540631623853,0.0190455089020934,0.0117741659043852,"DSP/JUP",2
"GO:0051702","BP","GO:0051702","biological process involved in interaction with symbiont","2/18","94/18723",0.00362106039175819,0.0202522064231692,0.0125201610301965,"KRT6A/DCD",2
"GO:0006942","BP","GO:0006942","regulation of striated muscle contraction","2/18","95/18723",0.00369683133121343,0.0202522064231692,0.0125201610301965,"DSP/JUP",2
"GO:0070252","BP","GO:0070252","actin-mediated cell contraction","2/18","97/18723",0.00385059277935434,0.0206250482933331,0.0127506564219436,"DSP/JUP",2
"GO:0061337","BP","GO:0061337","cardiac conduction","2/18","98/18723",0.00392858062730154,0.0206250482933331,0.0127506564219436,"DSP/JUP",2
"GO:0002027","BP","GO:0002027","regulation of heart rate","2/18","103/18723",0.00432953803770594,0.0222661956224877,0.0137652337181628,"DSP/JUP",2
"GO:0010631","BP","GO:0010631","epithelial cell migration","3/18","357/18723",0.00453458032529042,0.0228542848394637,0.0141287976451154,"KRT2/KRT16/JUP",3
"GO:0090132","BP","GO:0090132","epithelium migration","3/18","360/18723",0.00464180693374561,0.0229359872020371,0.014179307042195,"KRT2/KRT16/JUP",3
