"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","7/18","51/18723",2.25331362697261e-14,3.27913450252664e-12,2.02720094558873e-12,"KRT2/DSP/KRT17/KRT14/KRT16/KRT9/PKP1",7
"GO:0045103","GO:0045103","intermediate filament-based process","7/18","52/18723",2.60248770041797e-14,3.27913450252664e-12,2.02720094558873e-12,"KRT2/DSP/KRT17/KRT14/KRT16/KRT9/PKP1",7
"GO:0045109","GO:0045109","intermediate filament organization","6/18","25/18723",5.44227779954968e-14,4.57151335162173e-12,2.82616531345036e-12,"KRT2/DSP/KRT17/KRT14/KRT9/PKP1",6
"GO:0043588","GO:0043588","skin development","9/18","263/18723",8.08629837757636e-13,5.09436797787311e-11,3.14940042074027e-11,"KRT1/KRT2/DSP/KRT10/KRT17/KRT16/KRT9/JUP/TGM1",9
"GO:0008544","GO:0008544","epidermis development","9/18","324/18723",5.28267762605927e-12,2.66246952353387e-10,1.64597113401426e-10,"KRT2/DSP/KRT10/KRT5/KRT17/KRT14/KRT16/KRT9/TGM1",9
"GO:0018149","GO:0018149","peptide cross-linking","5/18","35/18723",1.42646394838077e-10,5.99114858319923e-09,3.70380112912902e-09,"KRT1/KRT2/DSP/KRT10/TGM1",5
"GO:0030216","GO:0030216","keratinocyte differentiation","6/18","139/18723",2.59139792539217e-09,9.32903253141181e-08,5.76732169861716e-08,"KRT2/DSP/KRT10/KRT17/KRT16/TGM1",6
"GO:0009913","GO:0009913","epidermal cell differentiation","6/18","202/18723",2.43992867142842e-08,7.68577531499952e-07,4.75144004436061e-07,"KRT2/DSP/KRT10/KRT17/KRT16/TGM1",6
"GO:0031424","GO:0031424","keratinization","4/18","58/18723",2.45566531091342e-07,6.87586287055758e-06,4.25074229257528e-06,"KRT2/KRT17/KRT16/TGM1",4
"GO:0045216","GO:0045216","cell-cell junction organization","4/18","200/18723",3.43820859038375e-05,0.000866428564776706,0.000535636706712416,"DSP/JUP/DSG1/PKP1",4
"GO:0002934","GO:0002934","desmosome organization","2/18","10/18723",3.91044633562432e-05,0.000895847705979391,0.000553823978633876,"DSP/JUP",2
"GO:0098911","GO:0098911","regulation of ventricular cardiac muscle cell action potential","2/18","12/18723",5.72878926121694e-05,0.00120304574485556,0.000743737553210621,"DSP/JUP",2
"GO:0051290","GO:0051290","protein heterotetramerization","2/18","15/18723",9.09841852225963e-05,0.00163771533400673,0.00101245559495821,"KRT1/KRT10",2
"GO:0086069","GO:0086069","bundle of His cell to Purkinje myocyte communication","2/18","15/18723",9.09841852225963e-05,0.00163771533400673,0.00101245559495821,"DSP/JUP",2
"GO:0090136","GO:0090136","epithelial cell-cell adhesion","2/18","17/18723",0.000117711987307731,0.00197756138676988,0.00122255256993293,"DSP/JUP",2
"GO:0042303","GO:0042303","molting cycle","3/18","107/18723",0.000139109761697345,0.00206209764398418,0.00127481391524502,"KRT17/KRT14/KRT16",3
"GO:0042633","GO:0042633","hair cycle","3/18","107/18723",0.000139109761697345,0.00206209764398418,0.00127481391524502,"KRT17/KRT14/KRT16",3
"GO:0051546","GO:0051546","keratinocyte migration","2/18","19/18723",0.000147836985148948,0.00206971779208527,0.00127952478374528,"KRT2/KRT16",2
