"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005882","GO:0005882","intermediate filament","16/20","217/19550",1.41243213604701e-28,7.20340389383978e-27,4.46031200856952e-27,"KRT1/KRT6A/KRT2/KRT6B/DSP/KRT10/KRT5/KRT17/KRT14/KRT16/KRT9/JUP/KRT80/KRT78/PKP1/KRT77",16
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","16/20","258/19550",2.44897426801614e-27,6.24488438344117e-26,3.86680147581496e-26,"KRT1/KRT6A/KRT2/KRT6B/DSP/KRT10/KRT5/KRT17/KRT14/KRT16/KRT9/JUP/KRT80/KRT78/PKP1/KRT77",16
"GO:0001533","GO:0001533","cornified envelope","8/20","45/19550",5.03512879082536e-17,8.55971894440311e-16,5.30013556928985e-16,"KRT1/KRT2/DSP/KRT10/JUP/DSG1/PKP1/TGM1",8
"GO:0045095","GO:0045095","keratin filament","9/20","96/19550",1.81574009724748e-16,2.31506862399054e-15,1.43347902414275e-15,"KRT1/KRT6A/KRT2/KRT6B/KRT5/KRT14/KRT80/KRT78/KRT77",9
"GO:0030057","GO:0030057","desmosome","4/20","25/19550",9.93496710406669e-09,1.0133666446148e-07,6.27471606572633e-08,"DSP/JUP/DSG1/PKP1",4
"GO:0101002","GO:0101002","ficolin-1-rich granule","5/20","185/19550",9.93110189921274e-07,8.44143661433083e-06,5.22689573642776e-06,"KRT1/DSP/JUP/DSG1/PKP1",5
"GO:0101003","GO:0101003","ficolin-1-rich granule membrane","3/20","61/19550",3.17270786232566e-05,0.000231154429969441,0.000143129677999654,"DSP/DSG1/PKP1",3
"GO:0005916","GO:0005916","fascia adherens","2/20","10/19550",4.45237380857904e-05,0.000283838830296914,0.000175751597707067,"DSP/JUP",2
"GO:0070820","GO:0070820","tertiary granule","3/20","164/19550",0.000594931061222695,0.00337127601359527,0.00208747740779893,"DSP/DSG1/PKP1",3
"GO:0014704","GO:0014704","intercalated disc","2/20","50/19550",0.00118265810747133,0.00603155634810379,0.00373470981306736,"DSP/JUP",2
"GO:0005911","GO:0005911","cell-cell junction","4/20","494/19550",0.00141439158786263,0.00655763372554493,0.00406045431922287,"DSP/JUP/DSG1/PKP1",4
"GO:0044291","GO:0044291","cell-cell contact zone","2/20","72/19550",0.00243461519422773,0.0103471145754679,0.00640688209007298,"DSP/JUP",2
"GO:0030667","GO:0030667","secretory granule membrane","3/20","311/19550",0.0037186433950271,0.0145885240881832,0.00903314185026827,"DSP/DSG1/PKP1",3
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","2/20","124/19550",0.00703640684683366,0.0256326249420369,0.0158715943913541,"KRT1/JUP",2
"GO:1990124","GO:1990124","messenger ribonucleoprotein complex","1/20","11/19550",0.0111986618830008,0.0380754504022027,0.0235761302800016,"PKP1",1
"GO:0005912","GO:0005912","adherens junction","2/20","170/19550",0.0128873341149442,0.0395315202101679,0.024477721492364,"JUP/PKP1",2
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/20","172/19550",0.0131771734033893,0.0395315202101679,0.024477721492364,"JUP/DSG1",2
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/20","197/19550",0.0170373407234484,0.0482724653831039,0.0298900714446464,"JUP/DSG1",2
