"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","8/20","103/18368",8.83229186905162e-14,3.2679479915491e-12,1.67348688045189e-12,"KRT6A/KRT2/KRT6B/DSP/KRT5/KRT14/KRT16/KRT9",8
"GO:0030280","GO:0030280","structural constituent of skin epidermis","4/20","15/18368",1.38420629811442e-09,2.56078165151167e-08,1.31135333505576e-08,"KRT1/KRT2/KRT10/PKP1",4
"GO:0086080","GO:0086080","protein binding involved in heterotypic cell-cell adhesion","2/20","11/18368",6.15874091343444e-05,0.000759578045990248,0.000388973110322175,"DSP/JUP",2
"GO:0019215","GO:0019215","intermediate filament binding","2/20","15/18368",0.000117269108275906,0.00108473925155213,0.000555485249727976,"KRT14/PKP1",2
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","2/20","49/18368",0.00128458370857483,0.00950591944345378,0.0048678961588099,"DSP/JUP",2
"GO:0098631","GO:0098631","cell adhesion mediator activity","2/20","59/18368",0.00185683211321032,0.0114504646981303,0.00586368035750627,"DSP/JUP",2
"GO:0097110","GO:0097110","scaffold protein binding","2/20","67/18368",0.00238696618492589,0.0126168212631797,0.00646096110205504,"DSP/KRT5",2
"GO:0015643","GO:0015643","toxic substance binding","1/20","10/18368",0.0108379470663266,0.0445560046060092,0.0228167306659507,"DSG1",1
"GO:0045294","GO:0045294","alpha-catenin binding","1/20","10/18368",0.0108379470663266,0.0445560046060092,0.0228167306659507,"JUP",1
"GO:0045295","GO:0045295","gamma-catenin binding","1/20","12/18368",0.0129921036148948,0.0480707833751107,0.0246166173755901,"DSG1",1
