"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","BP","GO:0002181","cytoplasmic translation","78/2647","148/18723",1.34051669495608e-28,4.86099580575905e-25,3.70000904539777e-25,"PKM/EEF2/EIF4A1/RPS27A/EIF4A2/RPSA/RPS3A/RPS4X/RPLP0/EIF4G1/RPL5/RPL3/RPL7/RPS6/RPS21/RPS5/GSPT1/RPL7A/RPL12/RPS14/EIF3I/EIF2S3/RPS20/RPS11/RPL10/EIF3CL/RPS15A/RPS18/RPL15/RPS17/RPL23/RPS19/EIF3F/EIF3L/EIF4B/EIF3G/RPL9/EIF2S2/EIF3B/RPL30/RPS2/RPLP1/RPL11/RPS26/RPS27/EIF5/RPS24/RPS25/RPL28/RPL24/RPL31/RPL26/RPL38/RPL32/MTOR/FMR1/DENR/RPS23/EIF3M/RPL19/CNBP/EIF3H/EIF3D/EIF3E/YTHDF2/RPL34/RPL22L1/RPS15/DRG2/RPS29/EIF3K/TMA7/DHX29/UNK/RPL39/ZC3H15/METTL3/EIF2D",78
"GO:0008380","BP","GO:0008380","RNA splicing","152/2647","434/18723",1.59194229761227e-28,4.86099580575905e-25,3.70000904539777e-25,"HSPA8/AHNAK/HNRNPA1/KHSRP/PPP2R1A/HNRNPA3/HNRNPH2/HNRNPL/PTBP1/SF3B1/PABPC1/NPM1/RBMXL1/HNRNPF/HNRNPH3/DHX15/YBX1/RTCB/PPP2CA/DDX39A/DDX1/ALYREF/U2AF2/SF3A1/LGALS3/PUF60/ACIN1/LUC7L2/KHDRBS1/RALY/TARDBP/SRSF7/PRMT5/NOVA1/SNRNP70/STRAP/SNRPA/PSIP1/U2AF1/TRA2B/PNN/SRSF3/NOVA2/SART3/CDC5L/PRPF6/SRSF2/DCPS/SUGP2/SNRPD3/RAVER1/PPIL1/C1QBP/RBM3/LSM8/SNRNP40/PPP1R9B/NUP98/FXR2/RPS26/WBP11/SNW1/SF3A3/LUC7L/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/PRPF31/ZNF326/DDX23/SNRPB/FXR1/DDX46/PLRG1/MAGOHB/RBM15/TIA1/SNRPGP15/TCERG1/PRPF4/ELAVL4/FMR1/PRPF4B/SNRPB2/LSM2/PRPF40A/CELF1/LSM4/SRRM1/ZPR1/SRPK2/AQR/SF3B4/RNPS1/RBM8A/LSM5/ZRANB2/SREK1/NOL3/PTBP3/SF3B6/PTBP2/LARP7/PPP1R8/MFAP1/PPIL3/NCBP2/GEMIN5/PRPF3/SUPT6H/AHNAK2/BUD31/SF3B5/SNRPE/NCBP1/DHX38/SF3A2/PHF5A/SNRPF/LSM6/CRNKL1/PCBP4/SAP18/CD2BP2/XAB2/RBM12B/PQBP1/PPIG/LSM7/PIK3R1/BCAS2/WTAP/PPIH/PPWD1/METTL3/GPKOW/CWC22/MBNL1/CACTIN/MBNL2/DBR1/HTATSF1/RBM28/RBFOX1/SCAF1/SNRPC/ZNF638/KDM1A/GCFC2/RP9",152
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","121/2647","324/18723",9.63837774679834e-26,1.2281444937615e-22,9.34817868098002e-23,"HSPA8/HNRNPA1/KHSRP/HNRNPA3/HNRNPL/PTBP1/SF3B1/PABPC1/NPM1/RBMXL1/HNRNPF/HNRNPH3/DDX39A/DDX1/ALYREF/U2AF2/SF3A1/PUF60/LUC7L2/KHDRBS1/RALY/SRSF7/PRMT5/NOVA1/SNRNP70/STRAP/SNRPA/PSIP1/U2AF1/TRA2B/PNN/SRSF3/NOVA2/SART3/CDC5L/PRPF6/SRSF2/DCPS/SNRPD3/RAVER1/PPIL1/C1QBP/RBM3/LSM8/SNRNP40/NUP98/FXR2/WBP11/SNW1/SF3A3/LUC7L/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/PRPF31/DDX23/SNRPB/FXR1/DDX46/PLRG1/MAGOHB/RBM15/TIA1/SNRPGP15/PRPF4/FMR1/PRPF4B/SNRPB2/LSM2/PRPF40A/CELF1/LSM4/SRRM1/SRPK2/AQR/SF3B4/RNPS1/RBM8A/LSM5/NOL3/SF3B6/LARP7/MFAP1/PPIL3/NCBP2/GEMIN5/PRPF3/BUD31/SF3B5/SNRPE/NCBP1/DHX38/SF3A2/PHF5A/SNRPF/LSM6/CRNKL1/PCBP4/SAP18/CD2BP2/XAB2/PQBP1/LSM7/BCAS2/WTAP/PPIH/PPWD1/METTL3/GPKOW/CWC22/MBNL1/CACTIN/MBNL2/DBR1/HTATSF1/RBFOX1/SNRPC/KDM1A/GCFC2",121
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","120/2647","320/18723",1.00552193692607e-25,1.2281444937615e-22,9.34817868098002e-23,"HSPA8/HNRNPA1/HNRNPA3/HNRNPL/PTBP1/SF3B1/PABPC1/NPM1/RBMXL1/HNRNPF/HNRNPH3/DDX39A/DDX1/ALYREF/U2AF2/SF3A1/PUF60/LUC7L2/KHDRBS1/RALY/SRSF7/PRMT5/NOVA1/SNRNP70/STRAP/SNRPA/PSIP1/U2AF1/TRA2B/PNN/SRSF3/NOVA2/SART3/CDC5L/PRPF6/SRSF2/DCPS/SNRPD3/RAVER1/PPIL1/C1QBP/RBM3/LSM8/SNRNP40/NUP98/FXR2/WBP11/SNW1/SF3A3/LUC7L/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/PRPF31/DDX23/SNRPB/FXR1/DDX46/PLRG1/MAGOHB/RBM15/TIA1/SNRPGP15/PRPF4/FMR1/PRPF4B/SNRPB2/LSM2/PRPF40A/CELF1/LSM4/SRRM1/SRPK2/AQR/SF3B4/RNPS1/RBM8A/LSM5/NOL3/SF3B6/LARP7/MFAP1/PPIL3/NCBP2/GEMIN5/PRPF3/BUD31/SF3B5/SNRPE/NCBP1/DHX38/SF3A2/PHF5A/SNRPF/LSM6/CRNKL1/PCBP4/SAP18/CD2BP2/XAB2/PQBP1/LSM7/BCAS2/WTAP/PPIH/PPWD1/METTL3/GPKOW/CWC22/MBNL1/CACTIN/MBNL2/DBR1/HTATSF1/RBFOX1/SNRPC/KDM1A/GCFC2",120
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","120/2647","320/18723",1.00552193692607e-25,1.2281444937615e-22,9.34817868098002e-23,"HSPA8/HNRNPA1/HNRNPA3/HNRNPL/PTBP1/SF3B1/PABPC1/NPM1/RBMXL1/HNRNPF/HNRNPH3/DDX39A/DDX1/ALYREF/U2AF2/SF3A1/PUF60/LUC7L2/KHDRBS1/RALY/SRSF7/PRMT5/NOVA1/SNRNP70/STRAP/SNRPA/PSIP1/U2AF1/TRA2B/PNN/SRSF3/NOVA2/SART3/CDC5L/PRPF6/SRSF2/DCPS/SNRPD3/RAVER1/PPIL1/C1QBP/RBM3/LSM8/SNRNP40/NUP98/FXR2/WBP11/SNW1/SF3A3/LUC7L/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/PRPF31/DDX23/SNRPB/FXR1/DDX46/PLRG1/MAGOHB/RBM15/TIA1/SNRPGP15/PRPF4/FMR1/PRPF4B/SNRPB2/LSM2/PRPF40A/CELF1/LSM4/SRRM1/SRPK2/AQR/SF3B4/RNPS1/RBM8A/LSM5/NOL3/SF3B6/LARP7/MFAP1/PPIL3/NCBP2/GEMIN5/PRPF3/BUD31/SF3B5/SNRPE/NCBP1/DHX38/SF3A2/PHF5A/SNRPF/LSM6/CRNKL1/PCBP4/SAP18/CD2BP2/XAB2/PQBP1/LSM7/BCAS2/WTAP/PPIH/PPWD1/METTL3/GPKOW/CWC22/MBNL1/CACTIN/MBNL2/DBR1/HTATSF1/RBFOX1/SNRPC/KDM1A/GCFC2",120
"GO:0006457","BP","GO:0006457","protein folding","86/2647","212/18723",2.1029018461977e-21,2.14040359578823e-18,1.62919553558054e-18,"HSPA8/HSP90AB1/HSPA5/HSP90B1/HSPA1B/HSPD1/CCT2/PDIA3/HSPA2/PPIA/P4HB/CANX/PDIA4/CCT8/CCT3/RUVBL2/CLU/CALR/PPIB/CCT4/HSPH1/PRDX4/HSPE1/ST13/CSNK2A1/FKBP4/ERP44/CDC37/TBCA/LMAN1/SNRNP70/HSP90AB4P/HSPA4L/BAG3/NUDC/FKBP5/SGTA/PDCD5/HSPB6/PTGES3/PPIL1/ERP29/DNAJB2/FKBP1A/TBCD/HSP90AA4P/DNAJA1/AHSA1/DNAJB1/DNAJC5/CCDC47/PFDN6/DNAJA2/FKBP9/CD74/PFDN2/NUDCD3/PFDN4/UNC45A/FKBP8/DNAJC10/FKBP2/DNAJB6/RANBP2/PPIL3/PFDN1/PPID/PFDN5/ARL2/TTC1/CRTAP/MPDU1/HSPA13/PEX19/BAG2/RP2/PPIG/PPIH/TBCE/DNAJA3/AHSP/SGTB/TBCC/HSPA14/LMAN2L/TOR1A",86
"GO:0006413","BP","GO:0006413","translational initiation","57/2647","118/18723",6.58462324148317e-19,5.74461344796253e-16,4.37258589990822e-16,"EIF4A1/NPM1/EIF4A2/DDX3X/RPS3A/PPP1CA/EIF4G1/DDX1/RPS5/KHDRBS1/EIF3I/EIF2S3/EIF2S1/EIF3CL/RPS17/EIF3F/EIF3L/EIF4B/ABCE1/EIF3G/EIF2S2/EIF5B/EIF3B/EIF5/EIF4G2/LARP1/MTOR/FMR1/DENR/YTHDF3/EIF3M/COPS5/EIF3H/EIF4E/EIF2B4/EIF3D/EIF3E/YTHDF2/EIF2AK2/EIF1AY/YTHDF1/TMED2/EIF2A/NCBP2/NCBP1/PAIP1/EIF2B2/EIF3K/EIF2B1/EIF1AD/DHX29/RPS6KB1/METTL3/NCK2/EIF2D/POLR2D/AGO2",57
"GO:0048193","BP","GO:0048193","Golgi vesicle transport","101/2647","296/18723",2.00119827487742e-18,1.52766473308455e-15,1.16280152392878e-15,"SPTBN1/AP2A1/HYOU1/DNM2/ARF3/RAB14/MYO5A/RAB1B/SEC22B/COPG1/SEC23A/RAB6B/ARCN1/VAPB/NAPA/VAPA/CORO7/SEC31A/LMAN1/RAB1A/PDCD6/MYO18A/ANK1/ARF5/ARF4/RAB10/RAB31/YKT6/SCAMP3/SEC16A/SNX12/COPE/RAB8A/TMED10/SNX3/EXOC4/VPS51/SEC23B/RAB8B/LMAN2/EXOC8/RABEP1/RAB13/NRBP1/SCFD1/VPS13C/PITPNB/SNAP23/COPZ1/GOLGA2/TAPBP/SORL1/SORT1/SEC24B/ANK3/CCDC22/SEC24C/PEF1/AP1G1/VTI1B/ATP9A/SCAMP2/RER1/OPTN/TRAPPC3/EXOC2/ZW10/TMED2/MYO1B/SPIRE1/CUL3/RBSN/CSK/GOLGA7/GBF1/EXOC5/HTT/ERGIC2/STX5/PGAP1/BCAP29/NRBP2/CCDC93/ERGIC3/GABARAPL2/RP2/YIF1A/EXOC1/VAMP5/SNX8/USE1/PPP6C/MON2/PREPL/ARFGAP3/TMED1/YIPF5/COG8/COG5/STXBP6/LMAN2L",101
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","142/2647","490/18723",5.20624701841194e-18,3.43179427482189e-15,2.61215404542043e-15,"PLEC/PKM/ENO1/PGK1/TPI1/PYGB/ALDOA/ALDOC/TKT/LDHA/IDH1/MAOB/PARK7/IDH2/PYGM/PGAM1/PHGDH/PFKL/PFKM/PPP1CB/UQCRC1/SHMT2/PHB2/HMGB1/PPP1CC/PPP1CA/UQCRC2/UGP2/ALDH4A1/TALDO1/PYGL/NDUFS1/PGAM2/CS/ACAT1/SDHA/AKR1B1/ETFA/RHOA/GBE1/GPD2/VGF/OGDH/PDHB/POR/AGL/UQCRFS1/SUCLG2/NDUFV1/PDHA1/OXCT1/ME2/SORBS1/AK4/ETFB/PTGES3/FDXR/COX5A/CYC1/APP/GSK3A/GIT1/GPD1/STOML2/ADPGK/HK3/ADSL/UQCRH/NDUFS2/SUCLA2/ZBTB20/BPGM/ACOX1/NDUFA10/CHCHD2/GSK3B/IRS2/NDUFB9/HK2/COX6B1/MTOR/COX5B/SUCLG1/NDUFA2/GYS1/NDUFB4/H6PD/POMC/IDH3B/MSH2/NDUFS6/NDUFB10/IDE/NDUFA5/COX6C/GNPDA1/ASPH/CYBA/NDUFA12/OGT/AKT1/MT3/SLC25A18/NDUFA4/PRKAA1/CYB5A/BID/NDUFS8/NQO2/FOXK1/NDUFA6/MYBBP1A/PANK2/AKT2/NDUFB6/PHKB/CDK1/NDUFB5/HDAC4/ARL2/CYBB/SLC25A22/NDUFS7/IDH3G/UQCRQ/OXA1L/UQCC3/UQCR10/MTFR1L/PRKAG1/GBA/NDUFB1/P2RX7/PHKA1/ACSS2/NDUFA7/NCOR1/IGF2/NDUFC2/AACS/PSEN1/HAAO",142
"GO:0071826","BP","GO:0071826","ribonucleoprotein complex subunit organization","84/2647","227/18723",5.61944371184196e-18,3.43179427482189e-15,2.61215404542043e-15,"HSP90AB1/RUVBL2/SF3B1/XRCC5/RBMXL1/RPSA/KIF5B/RPLP0/RPL5/DDX1/RPL3/KLC1/RPS5/SF3A1/ADAR/PUF60/LUC7L2/RPS14/EIF3I/EIF2S3/PRMT5/STRAP/PSIP1/RPL10/EIF3CL/CPSF6/NUDT21/SART3/RPS19/PRPF6/SNRPD3/PTGES3/EIF3F/EIF3L/EIF4B/EIF3G/CPSF7/EIF2S2/EIF3B/RPL11/RPS27/SF3A3/LUC7L/EIF5/SRSF9/PRPF31/RPL24/DDX23/SNRPB/RPL38/SNRPGP15/DENR/EIF3M/LSM2/EIF3H/CELF1/EIF3D/EIF3E/LSM4/SRPK2/DHX30/NOL3/RPS15/AGO1/GEMIN5/PRPF3/SNRPE/NCBP1/NOP2/EIF3K/SF3A2/SNRPF/CRNKL1/CD2BP2/XAB2/DHX29/PIH1D1/NLE1/EIF2D/SNRPC/MRPS7/POLR2D/AGO2/GCFC2",84
