"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","GO:0030055","cell-substrate junction","184/2712","425/19550",9.80626116087932e-51,4.56541715990236e-48,2.28748791348801e-48,"PLEC/VIM/FLNA/ACTB/FLNC/CLTC/MYH9/TLN1/ACTC1/ACTN4/ACTN1/HSPA8/ANXA5/AHNAK/HSPA5/ANXA6/YWHAE/HSP90B1/HSPA1B/IQGAP1/ANXA1/EZR/PDIA3/RDX/EGFR/GSN/PPIA/GDI2/P4HB/YWHAB/YWHAQ/CTNNA1/MAPK1/FLNB/CAP1/CNN3/HYOU1/PABPC1/NPM1/FLOT1/MARCKS/DNM2/PPP1CB/CALR/EPPK1/FERMT2/LIMA1/PDCD6IP/RPS3A/RPS4X/PPP1CC/ACTR3/CYFIP1/TLN2/PPIB/MAPRE1/RPLP0/CTTN/G3BP1/ACTR2/RPL5/LASP1/CORO1B/ARHGEF2/RPL3/NCKAP1/RPL7/CDC42/SYNE2/BSG/FLOT2/RPS5/RHOA/CAPN5/RPL7A/RPL12/CORO2B/RPS14/CPNE3/GJA1/SCARB2/ENAH/FHL1/DST/THY1/RPS11/ARPC1B/RAC1/HACD3/RAB10/RPS18/DOCK7/RPS17/RPL23/SORBS1/RPS19/CLASP1/MCAM/DMD/MAP2K2/RAB21/ITGB2/PACSIN2/RALA/PALLD/ATAT1/SNTB1/RPL9/PPP1R12A/RHOG/CSRP2/GIT1/MAP4K4/MAPRE2/YES1/ITGB8/ITGA2/DAG1/RPL30/RPS2/RPLP1/EVL/ARPC3/CD81/TNS1/CD9/RPL31/ITGB4/ITGB3/ILK/RPL38/PTK2/SNAP23/TNS3/TRIP6/PTK7/ALCAM/SLC9A3R2/DCTN4/RPL19/CD99L2/ARHGEF7/AIF1L/RSU1/RHOB/LPP/CYBA/PTPRA/ITGA3/GIT2/SORBS3/ITGA6/PDLIM1/KRAS/RPS15/FLII/ICAM1/CD151/RPS29/CDC42EP1/IGF2R/ARL2/STX16/APBB1IP/SPRY4/CHP1/PTPRC/ADAM10/SDC4/PDLIM7/ADAM17/ARF6/DAB2/FAM107A/MPRIP/MDC1/ITGA5/MMP14/ARHGAP22/ITGA11/FZD1/FHL3/XIRP1/LIMS1",184
"GO:0005925","GO:0005925","focal adhesion","182/2712","418/19550",1.25251499585799e-50,4.56541715990236e-48,2.28748791348801e-48,"PLEC/VIM/FLNA/ACTB/FLNC/CLTC/MYH9/TLN1/ACTC1/ACTN4/ACTN1/HSPA8/ANXA5/AHNAK/HSPA5/ANXA6/YWHAE/HSP90B1/HSPA1B/IQGAP1/ANXA1/EZR/PDIA3/RDX/EGFR/GSN/PPIA/GDI2/P4HB/YWHAB/YWHAQ/CTNNA1/MAPK1/FLNB/CAP1/CNN3/HYOU1/PABPC1/NPM1/FLOT1/MARCKS/DNM2/PPP1CB/CALR/FERMT2/LIMA1/PDCD6IP/RPS3A/RPS4X/PPP1CC/ACTR3/CYFIP1/TLN2/PPIB/MAPRE1/RPLP0/CTTN/G3BP1/ACTR2/RPL5/LASP1/CORO1B/ARHGEF2/RPL3/NCKAP1/RPL7/CDC42/SYNE2/BSG/FLOT2/RPS5/RHOA/CAPN5/RPL7A/RPL12/CORO2B/RPS14/CPNE3/GJA1/SCARB2/ENAH/FHL1/DST/THY1/RPS11/ARPC1B/RAC1/HACD3/RAB10/RPS18/DOCK7/RPS17/RPL23/SORBS1/RPS19/CLASP1/MCAM/MAP2K2/RAB21/ITGB2/PACSIN2/RALA/PALLD/ATAT1/SNTB1/RPL9/PPP1R12A/RHOG/CSRP2/GIT1/MAP4K4/MAPRE2/YES1/ITGB8/ITGA2/DAG1/RPL30/RPS2/RPLP1/EVL/ARPC3/CD81/TNS1/CD9/RPL31/ITGB4/ITGB3/ILK/RPL38/PTK2/SNAP23/TNS3/TRIP6/PTK7/ALCAM/SLC9A3R2/DCTN4/RPL19/CD99L2/ARHGEF7/AIF1L/RSU1/RHOB/LPP/CYBA/PTPRA/ITGA3/GIT2/SORBS3/ITGA6/PDLIM1/KRAS/RPS15/FLII/ICAM1/CD151/RPS29/CDC42EP1/IGF2R/ARL2/STX16/APBB1IP/SPRY4/CHP1/PTPRC/ADAM10/SDC4/PDLIM7/ADAM17/ARF6/DAB2/FAM107A/MPRIP/MDC1/ITGA5/MMP14/ARHGAP22/ITGA11/FZD1/FHL3/XIRP1/LIMS1",182
"GO:0031983","GO:0031983","vesicle lumen","125/2712","327/19550",2.062376846738e-28,5.01157573757333e-26,2.51103426602837e-26,"SPTAN1/DYNC1H1/TUBB4B/PKM/ACTN4/ACTN1/HSPA8/HSP90AB1/EEF1A1/EEF2/PYGB/ALDOA/ANXA2/ALDOC/CCT2/EGFR/GSN/PPIA/GDI2/KPNB1/CAND1/IDH1/CCT8/PSMD2/PGAM1/ILF2/MAPK1/PFKL/CAP1/HP/CLU/XRCC5/DDX3X/ACLY/HMGB1/CYFIP1/MVP/PRDX4/PSMC2/ACTR2/CYB5R3/PSMD11/VAT1/PYGL/PSMD3/PA2G4/F13A1/PSMD1/PSMC3/TXNDC5/PADI2/LTF/IMPDH2/PSMB1/ACAA1/ERP44/LGALS3BP/ITIH4/AGL/CSTB/PSMD6/PSMA2/PDXK/ORM1/THBS1/PSMD12/MIF/ARSA/APP/SRP14/OLA1/ITIH3/SCCPDH/HK3/GGH/APOH/CSNK2B/PSMB7/NIT2/APOB/SPARC/CTSA/TOLLIP/CAB39/POMC/DYNLT1/FAF2/AZU1/IST1/VTI1B/PSMD14/TIMP1/PCYOX1L/ECM1/MMRN1/LRG1/LYZ/AMPD3/CLEC3B/COMMD9/CREG1/CTSG/MAGED2/TEX264/PTPN6/PRTN3/CAMP/ELANE/ACTR10/GCA/ATG7/S100P/OSTF1/CTSH/RARRES2/SERPINE1/NHLRC2/PTGES2/STK11IP/IGF2/ARSB/UNC13D/NEU1/AGA/GSDMD",125
"GO:0034774","GO:0034774","secretory granule lumen","123/2712","322/19550",6.09746472896078e-28,1.1112629468531e-25,5.56794805512997e-26,"SPTAN1/DYNC1H1/TUBB4B/PKM/ACTN4/ACTN1/HSPA8/HSP90AB1/EEF1A1/EEF2/PYGB/ALDOA/ANXA2/ALDOC/CCT2/GSN/PPIA/GDI2/KPNB1/CAND1/IDH1/CCT8/PSMD2/PGAM1/ILF2/MAPK1/PFKL/CAP1/HP/CLU/XRCC5/DDX3X/ACLY/HMGB1/CYFIP1/MVP/PRDX4/PSMC2/ACTR2/CYB5R3/PSMD11/VAT1/PYGL/PSMD3/PA2G4/F13A1/PSMD1/PSMC3/TXNDC5/PADI2/LTF/IMPDH2/PSMB1/ACAA1/ERP44/LGALS3BP/ITIH4/AGL/CSTB/PSMD6/PSMA2/PDXK/ORM1/THBS1/PSMD12/MIF/ARSA/APP/SRP14/OLA1/ITIH3/SCCPDH/HK3/GGH/APOH/CSNK2B/PSMB7/NIT2/SPARC/CTSA/TOLLIP/CAB39/POMC/DYNLT1/FAF2/AZU1/IST1/VTI1B/PSMD14/TIMP1/PCYOX1L/ECM1/MMRN1/LRG1/LYZ/AMPD3/CLEC3B/COMMD9/CREG1/CTSG/MAGED2/TEX264/PTPN6/PRTN3/CAMP/ELANE/ACTR10/GCA/ATG7/S100P/OSTF1/CTSH/RARRES2/SERPINE1/NHLRC2/PTGES2/STK11IP/IGF2/ARSB/UNC13D/NEU1/AGA/GSDMD",123
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","123/2712","325/19550",1.66325994981268e-27,2.42503300682688e-25,1.21505516333684e-25,"SPTAN1/DYNC1H1/TUBB4B/PKM/ACTN4/ACTN1/HSPA8/HSP90AB1/EEF1A1/EEF2/PYGB/ALDOA/ANXA2/ALDOC/CCT2/GSN/PPIA/GDI2/KPNB1/CAND1/IDH1/CCT8/PSMD2/PGAM1/ILF2/MAPK1/PFKL/CAP1/HP/CLU/XRCC5/DDX3X/ACLY/HMGB1/CYFIP1/MVP/PRDX4/PSMC2/ACTR2/CYB5R3/PSMD11/VAT1/PYGL/PSMD3/PA2G4/F13A1/PSMD1/PSMC3/TXNDC5/PADI2/LTF/IMPDH2/PSMB1/ACAA1/ERP44/LGALS3BP/ITIH4/AGL/CSTB/PSMD6/PSMA2/PDXK/ORM1/THBS1/PSMD12/MIF/ARSA/APP/SRP14/OLA1/ITIH3/SCCPDH/HK3/GGH/APOH/CSNK2B/PSMB7/NIT2/SPARC/CTSA/TOLLIP/CAB39/POMC/DYNLT1/FAF2/AZU1/IST1/VTI1B/PSMD14/TIMP1/PCYOX1L/ECM1/MMRN1/LRG1/LYZ/AMPD3/CLEC3B/COMMD9/CREG1/CTSG/MAGED2/TEX264/PTPN6/PRTN3/CAMP/ELANE/ACTR10/GCA/ATG7/S100P/OSTF1/CTSH/RARRES2/SERPINE1/NHLRC2/PTGES2/STK11IP/IGF2/ARSB/UNC13D/NEU1/AGA/GSDMD",123
"GO:0031252","GO:0031252","cell leading edge","137/2712","422/19550",5.18809932315512e-23,6.30354067763348e-21,3.15836923707865e-21,"VIM/SPTBN1/ACTB/MYH9/TLN1/ACTC1/ACTN1/TUBB3/MYH10/EEF1A1/DPYSL3/ANXA2/IQGAP1/EZR/RDX/EGFR/FSCN1/P4HB/CTNNA1/PABPC1/SCRIB/DDX3X/CAPZB/FLOT1/DNM2/CTNND1/FERMT2/DBN1/LIMA1/PAFAH1B1/ACTR3/CYFIP1/TLN2/CTTN/NME1/ACTR2/MYO5A/CORO1B/ARHGEF2/RUFY3/NCKAP1/CDC42/SYNE2/FLOT2/RHOA/CDK6/PALM/PLCG1/HIP1R/APPL1/MYO6/ENAH/SLC9A3R1/DST/S100B/THY1/ANK1/RAC1/ARF4/ABI2/PACSIN2/PALLD/APP/CCDC88A/GIT1/DAG1/PPP1R9B/WASF2/EXOC8/EVL/ARPC3/RAB13/NRBP1/ABLIM1/ITGB4/ITGB3/ILK/MPP2/MYLK/SRGAP2/ABI1/DYNLT1/ARHGEF7/AIF1L/ARFIP2/ARHGEF6/STMN2/TUBG1/STX4/CDK5/BAIAP2/INPPL1/DIAPH1/WASL/AKT1/ARPIN/WASF3/ROBO2/BRK1/SLK/NF2/AAK1/AKT2/PKN2/PSD2/AIF1/PTPRJ/GBF1/DPP9/APBB1IP/SPRY4/SNX9/PSD3/PDLIM7/ARHGAP44/DGKZ/MYO1D/ADAM17/APPL2/ARAP3/ARF6/WLS/FAM107A/CTTNBP2NL/PODXL/CDH1/PPP1R9A/ABI3/BCAS3/PLEK/WIPF1/ATP6AP2/ITGA5/ITSN1/HDAC6/MTM1/ACAP2",137
"GO:0005681","GO:0005681","spliceosomal complex","81/2712","191/19550",3.23456205070182e-22,3.36856533565947e-20,1.68780907006546e-20,"HSPA8/HNRNPA1/HNRNPA3/SF3B1/PABPC1/RBMXL1/HNRNPF/HNRNPH3/DHX15/YBX1/ALYREF/U2AF2/SF3A1/ADAR/LGALS3/MYEF2/LUC7L2/RALY/SNRNP70/SNRPA/U2AF1/TRA2B/PNN/CDC5L/PRPF6/SRSF2/SNRPD3/PPIL1/RBM3/LSM8/SNRNP40/WBP11/SNW1/SF3A3/LUC7L/SMU1/PRPF31/DDX23/SNRPB/PLRG1/MAGOHB/SNRPGP15/PRPF4/PRPF4B/SNRPB2/LSM2/PRPF40A/LSM4/SRRM1/RHEB/AQR/SF3B4/RBM8A/LSM5/SREK1/SF3B6/PPP1R8/MFAP1/PPIL3/PRPF3/BUD31/SF3B5/SNRPE/DHX38/SF3A2/PHF5A/SNRPF/LSM6/CRNKL1/XAB2/LSM7/BCAS2/PPIH/PPWD1/GPKOW/CWC22/CACTIN/HTATSF1/RBM28/SNRPC/GCFC2",81
"GO:0098978","GO:0098978","glutamatergic synapse","115/2712","338/19550",2.43329322293187e-21,2.21733844939667e-19,1.11099045836495e-19,"SPTBN1/FLNA/ACTB/ACTN1/HSPA8/BCAN/YWHAE/ATP2B4/CANX/APOE/ACTBL2/AP2B1/SCRIB/FLOT1/DNM2/CTNND1/DBN1/PHB2/PPP1CC/PPP1CA/NDRG1/ATP2B3/DNM3/ARHGEF2/PRKAR1A/FLOT2/RHOA/RAP1A/GPM6A/PLCG1/NAPA/AP2M1/PAK2/PPP2R2A/CTBP1/LIN7C/RAC1/ARF4/PIN1/GIPC1/TNIK/PACSIN2/SH3GL1/RAB8A/NLGN3/VPS18/SV2A/C1QBP/PPP3CB/YES1/LRRC4B/DAG1/STAU1/PTPRS/PURA/DYNLL2/BSN/FYN/FXR1/DLGAP4/GSK3B/ITGB3/SPARC/DNAJB1/PPP1R1B/NLGN4X/MTOR/PTPRD/PAK3/ELAVL4/IL1RAP/NPTX1/EIF4E/CTBP2/KPNA2/STX4/CDK5/BAIAP2/DLG4/EPHB2/PRKAR1B/AKAP9/WASF3/GRIPAP1/PLCB1/CDH11/SCN2A/PSD2/ABR/CSPG5/ADAM23/BCR/ADAM10/ARHGAP44/DGKZ/CPLX2/ARF6/APBA1/LGI1/NRP2/NPTXR/CDH1/PPP1R9A/PRRT1/GPC6/CLSTN1/CHMP2B/PPM1H/KCND2/USP8/ITSN1/ARHGAP22/FXYD6/CPLX1/GPC4",115
"GO:0005938","GO:0005938","cell cortex","105/2712","308/19550",1.14696571090053e-19,9.29042225829427e-18,4.65493686178343e-18,"SPTAN1/DYNC1H1/SPTBN1/FLNA/ACTB/MYH9/ENO1/ACTN4/ACTN1/MYH10/EEF1A1/ANXA2/EZR/RDX/GSN/FSCN1/WDR1/FLNB/CALD1/CAP1/SPTB/DCTN1/CAPZB/FLOT1/MARCKS/CTNND1/FERMT2/DBN1/PAFAH1B1/MAPRE1/CTTN/ACTR2/LASP1/GNAI1/FLOT2/RHOA/HIP1R/MYO6/SCIN/RHOC/CTBP1/DST/RAC1/LANCL2/CRIP2/CLASP1/DMD/GIPC1/EMD/EXOC4/RHOG/PRKCB/PPP1R9B/EXOC8/UTRN/CLTB/NRBP1/BSN/ERMN/CLTA/EPB42/ITPR2/PTK2/MYO9B/GPSM1/DCTN4/SPTBN4/CTBP2/ARHGEF7/EPB41/ARFIP2/RHOB/ASPH/ERC1/DLG4/STIM1/WASL/EXOC2/SPIRE1/TNFAIP2/NF2/AGTRAP/AKT2/EXOC3/TRAF6/EXOC5/SNX9/C2CD2L/MYO1D/ANLN/EXOC1/ARF6/EXOC3L4/FGF1/CDH1/PPP1R9A/SPRR4/MOBP/CD302/PSEN1/GAD1/SHROOM3/STXBP6/FMNL1/EXOC7",105
"GO:0101002","GO:0101002","ficolin-1-rich granule","75/2712","185/19550",2.71404345134669e-19,1.97853767603173e-17,9.91340081702421e-18,"PKM/HSPA8/HSP90AB1/EEF1A1/EEF2/ALDOA/HSPA1B/ALDOC/GSN/PPIA/KPNB1/CAND1/IDH1/CCT8/PSMD2/PGAM1/ILF2/AP2A2/MAPK1/PFKL/DDX3X/ACLY/HMGB1/MVP/PRDX4/PSMC2/ACTR2/PSMD11/PYGL/PSMD3/PSMC3/RHOA/LGALS3/IMPDH2/PSMB1/AGL/CSTB/PSMD6/RAC1/PSMA2/PRCP/ARL8A/PSMD12/ITGB2/MIF/SRP14/LAMTOR1/DSC1/HK3/CST3/DYNLL1/DYNC1LI1/CSNK2B/PSMB7/CAB39/FCER1G/DYNLT1/PLEKHO2/DIAPH1/PSMD14/ITGAX/LRG1/AMPD3/COMMD9/KCMF1/ACTR10/COMMD3/ATG7/FPR1/OSTF1/CTSH/SERPINB12/ATP6AP2/ARSB/GSDMD",75
