"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045296","GO:0045296","cadherin binding","160/2695","332/18368",1.46492391032772e-48,1.64950432302901e-45,1.25829253771307e-45,"PLEC/SPTAN1/SPTBN1/FLNA/PKM/MYH9/ENO1/TLN1/FASN/HSPA8/HSP90AB1/AHNAK/HSPA5/EEF2/YWHAE/ALDOA/ANXA2/IQGAP1/ANXA1/EZR/RDX/EGFR/FSCN1/LDHA/YWHAB/IDH1/PARK7/CCT8/CTNNA1/STAT1/FLNB/CALD1/RTN4/CNN3/KTN1/ATIC/SND1/SCRIB/DDX3X/CAPZB/EEF1G/CTNND1/DBN1/PAICS/SLC3A2/LIMA1/KIF5B/PPP1CA/RAN/MAPRE1/NDRG1/CTTN/PDLIM5/EEF1D/PCMT1/LASP1/CORO1B/CKAP5/TJP2/CAPZA1/BSG/RAB11B/ATXN2L/RPL7A/SFN/PUF60/EHD1/VAPB/SERBP1/VAPA/EIF2S3/PAK2/HCFC1/RAB1A/PICALM/BAG3/RAB10/SH3GLB1/RPL15/NUDC/YKT6/CC2D1A/GIPC1/EMD/PACSIN2/SH3GL1/OLA1/GAPVD1/FMNL2/PPME1/RPS2/WASF2/TRIM25/RPS26/EIF5/EIF4G2/RANGAP1/ABCF3/LARP1/RPL24/PSMB6/AHSA1/DNAJB1/GOLGA2/CHMP4B/EHD4/LYPLA2/EPN2/SLC9A3R2/LRRC59/ANK3/CLINT1/ABI1/ESYT2/EIF3E/ARVCF/ARFIP2/BZW2/EPS15L1/IST1/RPL34/UNC45A/ERC1/BAIAP2/GOLGA3/ITGA6/PDLIM1/GIGYF2/MYO1B/CCS/EIF2A/SLK/CDH11/MARK2/PKN2/EXOC3/CDC42EP1/STK24/PTPRJ/CDH6/STX5/PTPN1/SNX9/ARGLU1/TRIM29/VASN/ANLN/DHX29/S100P/ZC3H15/TBC1D10A/CDH1/MPRIP/EVPL/CHMP2B/USP8/LRRFIP1/PSEN1/STXBP6/RSL1D1",160
"GO:0003779","GO:0003779","actin binding","141/2695","441/18368",1.15657578999141e-20,6.51152169765162e-18,4.96718865596309e-18,"PLEC/SPTAN1/SPTBN1/FLNA/FLNC/MYH9/TLN1/ACTN4/ACTN1/MYH10/EEF2/ANXA6/ALDOA/IQGAP1/EZR/RDX/EGFR/GSN/FSCN1/P4HB/WDR1/CTNNA1/FLNB/CALD1/CAP1/CNN3/SPTB/MYH14/CAPZB/MARCKS/FERMT2/DBN1/TPM2/LIMA1/ACTR3/CYFIP1/TLN2/CTTN/ACTR2/MYO5A/PDLIM5/EPB41L1/LASP1/CORO1B/ADD2/CAPZA1/SYNE2/TAGLN/CORO2B/HIP1R/ARPC1A/CORO7/MYO6/SCIN/ENAH/DST/MYO18A/ARPC1B/CAP2/GMFB/SORBS1/GBP1/DMD/GIPC1/MYH1/SNTA1/ARPC4/EMD/VPS18/PALLD/SNTB1/CCDC88A/FMNL2/DAG1/PPP1R18/PPP1R9B/WASF2/UTRN/EVL/ARPC3/TNS1/SYNPO/ABLIM1/LIMCH1/NCALD/PFN2/ERMN/FKBP15/PTK2/MARCKSL1/MYLK/MYO9B/VPS16/MYO5C/LSP1/SPTBN4/PDLIM3/EPB41/AIF1L/INPPL1/DIAPH1/WASL/INF2/PDLIM1/WASF3/MYO1B/SPIRE1/SYNE1/WASH6P/NEBL/NF2/FLII/WIPF2/AIF1/MICAL1/CROCC/PDLIM7/PHACTR1/MICALL2/MYO1D/ANLN/PIP/TMEM201/FAM107A/PAWR/KLHL4/PPP1R9A/MPRIP/ABI3/WIPF3/WIPF1/MOBP/CACNB2/HDAC6/WAS/CLMN/MYO1F/SHROOM3/FHL3/FMNL1/XIRP1",141
"GO:0045182","GO:0045182","translation regulator activity","62/2695","140/18368",2.92587639745366e-17,1.09817894117761e-14,8.37724610639364e-15,"EEF1A1/EEF2/TUFM/EIF4A1/EEF1A2/PABPC1/EIF4A2/EEF1G/SHMT2/CYFIP1/EIF4G1/EEF1D/GSPT1/RPS14/EIF3I/EIF2S3/EIF2S1/RPL10/EIF3CL/ABCF1/EIF3F/EIF3L/EIF4B/EIF3G/EIF2S2/EIF5B/EIF3B/EEF1B2/FXR2/PURA/EIF5/EIF4G2/LARP1/FXR1/MTOR/ELAVL4/FMR1/DENR/EIF3M/CNBP/COPS5/EIF3H/CELF1/EIF4E/EIF2B4/EIF3D/EIF3E/EIF2AK2/EEFSEC/EIF1AY/GTPBP1/EIF2A/HBS1L/PAIP1/IGF2BP3/EIF2B2/EIF3K/EIF2B1/EIF1AD/DHX29/EIF2D/AGO2",62
"GO:0008135","GO:0008135","translation factor activity, RNA binding","45/2695","84/18368",8.05860362191879e-17,2.26849691957014e-14,1.73047909354888e-14,"EEF1A1/EEF2/TUFM/EIF4A1/EEF1A2/EIF4A2/EEF1G/EIF4G1/EEF1D/GSPT1/EIF3I/EIF2S3/EIF2S1/EIF3CL/ABCF1/EIF3F/EIF3L/EIF4B/EIF3G/EIF2S2/EIF5B/EIF3B/EEF1B2/EIF5/EIF4G2/DENR/EIF3M/COPS5/EIF3H/EIF4E/EIF2B4/EIF3D/EIF3E/EEFSEC/EIF1AY/GTPBP1/EIF2A/HBS1L/EIF2B2/EIF3K/EIF2B1/EIF1AD/DHX29/EIF2D/AGO2",45
"GO:0003743","GO:0003743","translation initiation factor activity","33/2695","51/18368",4.79473827424659e-16,1.07977505936033e-13,8.23685564586361e-14,"EIF4A1/EIF4A2/EIF4G1/EIF3I/EIF2S3/EIF2S1/EIF3CL/EIF3F/EIF3L/EIF4B/EIF3G/EIF2S2/EIF5B/EIF3B/EIF5/EIF4G2/DENR/EIF3M/COPS5/EIF3H/EIF4E/EIF2B4/EIF3D/EIF3E/EIF1AY/EIF2A/EIF2B2/EIF3K/EIF2B1/EIF1AD/DHX29/EIF2D/AGO2",33
"GO:0051082","GO:0051082","unfolded protein binding","55/2695","122/18368",6.90590080795831e-16,1.16905446639826e-13,8.91790637170218e-14,"TUBB4B/HSPA8/HSP90AB1/HSPA5/HSP90B1/HSPA1B/HSPD1/CCT2/HSPA2/PPIA/CANX/CCT8/CCT3/SERPINH1/RUVBL2/CLU/HYOU1/NPM1/CALR/PPIB/NAP1L4/CCT4/HSPE1/ST13/CDC37/LMAN1/HSP90AB4P/NUDC/HSPB6/PTGES3/DNAJB2/HSP90AA4P/DNAJA1/AFG3L2/DNAJB1/TAPBP/PFDN6/DNAJA2/PFDN2/NUDCD3/PFDN4/DNAJB6/PFDN1/ERLEC1/NACAD/PFDN5/TTC1/CHAF1B/HSPA13/RP2/DNAJA3/SYVN1/AHSP/HSPA14/TOR1A",55
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","51/2695","108/18368",7.26765654066416e-16,1.16905446639826e-13,8.91790637170218e-14,"EEF1A1/EEF2/TUFM/EIF4A1/EEF1A2/PABPC1/EIF4A2/EEF1G/SHMT2/EIF4G1/EEF1D/GSPT1/EIF3I/EIF2S3/EIF2S1/EIF3CL/ABCF1/EIF3F/EIF3L/EIF4B/EIF3G/EIF2S2/EIF5B/EIF3B/EEF1B2/PURA/EIF5/EIF4G2/LARP1/DENR/EIF3M/COPS5/EIF3H/CELF1/EIF4E/EIF2B4/EIF3D/EIF3E/EEFSEC/EIF1AY/GTPBP1/EIF2A/HBS1L/PAIP1/EIF2B2/EIF3K/EIF2B1/EIF1AD/DHX29/EIF2D/AGO2",51
"GO:0051015","GO:0051015","actin filament binding","79/2695","217/18368",1.34674644712063e-15,1.89554562432228e-13,1.44598039585583e-13,"SPTAN1/SPTBN1/FLNA/FLNC/MYH9/TLN1/ACTN4/ACTN1/MYH10/EEF2/ANXA6/IQGAP1/EZR/EGFR/GSN/FSCN1/WDR1/CTNNA1/FLNB/SPTB/MYH14/CAPZB/MARCKS/FERMT2/DBN1/TPM2/LIMA1/ACTR3/CYFIP1/TLN2/CTTN/ACTR2/MYO5A/LASP1/CORO1B/ADD2/CAPZA1/SYNE2/TAGLN/CORO2B/HIP1R/ARPC1A/CORO7/MYO6/SCIN/MYO18A/ARPC1B/DMD/MYH1/ARPC4/FMNL2/PPP1R9B/UTRN/ARPC3/ABLIM1/ERMN/MARCKSL1/VPS16/MYO5C/SPTBN4/AIF1L/MYO1B/SYNE1/NEBL/FLII/AIF1/MICAL1/MICALL2/MYO1D/TMEM201/PPP1R9A/MPRIP/ABI3/CACNB2/CLMN/MYO1F/SHROOM3/FMNL1/XIRP1",79
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","59/2695","149/18368",7.70039163796691e-14,9.63404553816749e-12,7.3491457036035e-12,"HSPA5/EEF2/SND1/NPM1/RPSA/DDX3X/PPP1CA/NME1/CKAP5/SERBP1/PRMT5/EIF2S1/STRAP/CPSF6/SBDS/PRPF6/LETM1/EIF4B/ABCE1/OLA1/C1QBP/RBM3/SRP72/RPLP1/CSNK2B/CBX5/PRPF31/LARP1/SNRPB/MTOR/CCDC47/FMR1/YTHDF3/SNRPB2/NAA15/EEFSEC/SEC61A1/YTHDF1/TIMM50/TMCO1/SEC61B/PHF6/EIF2A/GEMIN5/SRP54/EIF3K/SRP19/CD2BP2/PQBP1/NOLC1/DHX29/UNK/OXA1L/PPIH/PES1/XPO5/NEMF/SNRPC/DERL1",59
"GO:0048156","GO:0048156","tau protein binding","28/2695","45/18368",3.44192207412642e-13,3.87560425546634e-11,2.95642990788122e-11,"ACTB/HSP90AB1/MAP2/HSPA2/APOE/CLU/DCTN1/PPP2CA/FKBP4/PPP2R2A/S100B/PICALM/PIN1/ROCK2/PPP5C/GSK3A/FYN/STUB1/GSK3B/TAOK1/CDK5/PRKAA1/MARK2/BAG2/LGMN/MARK1/HDAC6/BRSK1",28
