"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","BP","GO:0030198","extracellular matrix organization","12/27","301/18723",3.35725385534688e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0043062","BP","GO:0043062","extracellular structure organization","12/27","302/18723",3.49355336346924e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","12/27","304/18723",3.78143133605935e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0071711","BP","GO:0071711","basement membrane organization","5/27","31/18723",6.97790428344248e-10,6.99534904415108e-08,4.60908940827385e-08,"LAMB2/NID1/NID2/LAMB1/COL4A1",5
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","9/27","363/18723",1.20781240247382e-09,9.68665546784e-08,6.3823350109669e-08,"LAMB2/LAMC1/VCL/NID1/NID2/EMILIN1/LAMA5/LAMB1/VWF",9
"GO:0007492","BP","GO:0007492","endoderm development","4/27","77/18723",4.31846830877448e-06,0.000288617631969761,0.000190164130789894,"LAMC1/COL4A2/LAMB1/COL12A1",4
"GO:0034446","BP","GO:0034446","substrate adhesion-dependent cell spreading","4/27","108/18723",1.65879057162338e-05,0.000850784549485016,0.000560564173568025,"LAMB2/LAMC1/LAMA5/LAMB1",4
"GO:0035633","BP","GO:0035633","maintenance of blood-brain barrier","3/27","35/18723",1.69732578450876e-05,0.000850784549485016,0.000560564173568025,"LAMC1/VCL/LAMA2",3
"GO:0007528","BP","GO:0007528","neuromuscular junction development","3/27","44/18723",3.40500351421534e-05,0.00132866366696647,0.000875428745002188,"AGRN/LAMB2/COL4A1",3
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","3/27","45/18723",3.64471330090552e-05,0.00132866366696647,0.000875428745002188,"COL4A2/LAMB1/COL12A1",3
"GO:0085029","BP","GO:0085029","extracellular matrix assembly","3/27","45/18723",3.64471330090552e-05,0.00132866366696647,0.000875428745002188,"LAMB2/EMILIN1/LAMB1",3
