"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","12/27","301/18723",3.35725385534688e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0043062","GO:0043062","extracellular structure organization","12/27","302/18723",3.49355336346924e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0045229","GO:0045229","external encapsulating structure organization","12/27","304/18723",3.78143133605935e-15,5.05451321919933e-13,3.33031321175753e-13,"LAMB2/LAMC1/NID1/NID2/EMILIN1/COL4A2/LAMB1/COL18A1/COL4A1/TGFBI/VWA1/COL12A1",12
"GO:0071711","GO:0071711","basement membrane organization","5/27","31/18723",6.97790428344248e-10,6.99534904415108e-08,4.60908940827385e-08,"LAMB2/NID1/NID2/LAMB1/COL4A1",5
"GO:0031589","GO:0031589","cell-substrate adhesion","9/27","363/18723",1.20781240247382e-09,9.68665546784e-08,6.3823350109669e-08,"LAMB2/LAMC1/VCL/NID1/NID2/EMILIN1/LAMA5/LAMB1/VWF",9
"GO:0007492","GO:0007492","endoderm development","4/27","77/18723",4.31846830877448e-06,0.000288617631969761,0.000190164130789894,"LAMC1/COL4A2/LAMB1/COL12A1",4
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","4/27","108/18723",1.65879057162338e-05,0.000850784549485016,0.000560564173568025,"LAMB2/LAMC1/LAMA5/LAMB1",4
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","3/27","35/18723",1.69732578450876e-05,0.000850784549485016,0.000560564173568025,"LAMC1/VCL/LAMA2",3
"GO:0007528","GO:0007528","neuromuscular junction development","3/27","44/18723",3.40500351421534e-05,0.00132866366696647,0.000875428745002188,"AGRN/LAMB2/COL4A1",3
"GO:0035987","GO:0035987","endodermal cell differentiation","3/27","45/18723",3.64471330090552e-05,0.00132866366696647,0.000875428745002188,"COL4A2/LAMB1/COL12A1",3
"GO:0085029","GO:0085029","extracellular matrix assembly","3/27","45/18723",3.64471330090552e-05,0.00132866366696647,0.000875428745002188,"LAMB2/EMILIN1/LAMB1",3
"GO:0001706","GO:0001706","endoderm formation","3/27","54/18723",6.31606187999006e-05,0.00211061734489668,0.00139064169462939,"COL4A2/LAMB1/COL12A1",3
"GO:0045995","GO:0045995","regulation of embryonic development","3/27","64/18723",0.000105078248052737,0.0031297393313369,0.00206211989018391,"LAMA5/LAMA4/LAMA2",3
"GO:0032836","GO:0032836","glomerular basement membrane development","2/27","11/18723",0.00010926770732847,0.0031297393313369,0.00206211989018391,"LAMB2/NID1",2
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","2/27","12/18723",0.000131004591130728,0.00350218940289479,0.00230751946482896,"COL4A2/COL4A1",2
"GO:0070831","GO:0070831","basement membrane assembly","2/27","15/18723",0.000207860689581521,0.00520950853263687,0.00343243638716854,"LAMB2/LAMB1",2
"GO:0038065","GO:0038065","collagen-activated signaling pathway","2/27","17/18723",0.000268750388896194,0.00633934740866905,0.0041768636292845,"COL4A2/COL4A1",2
"GO:0007160","GO:0007160","cell-matrix adhesion","4/27","233/18723",0.000327540109153299,0.00729686576502628,0.00480775247938469,"VCL/NID1/NID2/EMILIN1",4
"GO:0001704","GO:0001704","formation of primary germ layer","3/27","121/18723",0.00068761893350237,0.0144599109294157,0.00952733335945225,"COL4A2/LAMB1/COL12A1",3
"GO:0030168","GO:0030168","platelet activation","3/27","123/18723",0.000721192565058139,0.0144599109294157,0.00952733335945225,"VCL/VWF/CLIC1",3
"GO:0072001","GO:0072001","renal system development","4/27","302/18723",0.000868888585086546,0.0165916344104621,0.0109318814464523,"LAMB2/NID1/LAMA5/COL4A1",4
"GO:0072006","GO:0072006","nephron development","3/27","142/18723",0.00109325611935921,0.0199270774483201,0.013129535213357,"LAMB2/NID1/LAMA5",3
"GO:0016525","GO:0016525","negative regulation of angiogenesis","3/27","149/18723",0.00125584722798032,0.020511867930063,0.0135148414501793,"HSPG2/EMILIN1/COL4A2",3
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis","3/27","151/18723",0.00130494805268364,0.020511867930063,0.0135148414501793,"HSPG2/EMILIN1/COL4A2",3
"GO:0001655","GO:0001655","urogenital system development","4/27","338/18723",0.00131870388122753,0.020511867930063,0.0135148414501793,"LAMB2/NID1/LAMA5/COL4A1",4
"GO:1901343","GO:1901343","negative regulation of vasculature development","3/27","152/18723",0.00132994654908139,0.020511867930063,0.0135148414501793,"HSPG2/EMILIN1/COL4A2",3
"GO:0014037","GO:0014037","Schwann cell differentiation","2/27","40/18723",0.00151016637691303,0.0224287673015602,0.0147778464173556,"LAMB2/LAMA2",2
"GO:0007369","GO:0007369","gastrulation","3/27","185/18723",0.00233146663859104,0.0333899329312503,0.0219999295596373,"COL4A2/LAMB1/COL12A1",3
"GO:0007409","GO:0007409","axonogenesis","4/27","418/18723",0.00286083235683461,0.0387680187739466,0.0255434380161717,"LAMB2/VCL/LAMA5/LAMA2",4
"GO:0030199","GO:0030199","collagen fibril organization","2/27","61/18723",0.0034776547013344,0.0387680187739466,0.0255434380161717,"EMILIN1/COL12A1",2
"GO:0007601","GO:0007601","visual perception","3/27","215/18723",0.0035640623991202,0.0387680187739466,0.0255434380161717,"LAMB2/COL18A1/TGFBI",3
"GO:0032835","GO:0032835","glomerulus development","2/27","62/18723",0.00359039095867187,0.0387680187739466,0.0255434380161717,"LAMB2/NID1",2
"GO:0007596","GO:0007596","blood coagulation","3/27","217/18723",0.00365791901622603,0.0387680187739466,0.0255434380161717,"VCL/VWF/CLIC1",3
"GO:0050953","GO:0050953","sensory perception of light stimulus","3/27","219/18723",0.0037532820969874,0.0387680187739466,0.0255434380161717,"LAMB2/COL18A1/TGFBI",3
"GO:0002064","GO:0002064","epithelial cell development","3/27","220/18723",0.00380153096859727,0.0387680187739466,0.0255434380161717,"LAMB2/VCL/COL18A1",3
"GO:0001885","GO:0001885","endothelial cell development","2/27","64/18723",0.00382094260467927,0.0387680187739466,0.0255434380161717,"VCL/COL18A1",2
"GO:0006749","GO:0006749","glutathione metabolic process","2/27","64/18723",0.00382094260467927,0.0387680187739466,0.0255434380161717,"CLIC1/GGT5",2
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","3/27","221/18723",0.00385015933326743,0.0387680187739466,0.0255434380161717,"VCL/NID1/EMILIN1",3
"GO:0007599","GO:0007599","hemostasis","3/27","222/18723",0.00389916813790488,0.0387680187739466,0.0255434380161717,"VCL/VWF/CLIC1",3
"GO:0050817","GO:0050817","coagulation","3/27","222/18723",0.00389916813790488,0.0387680187739466,0.0255434380161717,"VCL/VWF/CLIC1",3
"GO:0007411","GO:0007411","axon guidance","3/27","227/18723",0.0041499514972901,0.0387680187739466,0.0255434380161717,"LAMB2/LAMA5/LAMA2",3
"GO:0070527","GO:0070527","platelet aggregation","2/27","67/18723",0.00417939677280822,0.0387680187739466,0.0255434380161717,"VCL/CLIC1",2
"GO:0097485","GO:0097485","neuron projection guidance","3/27","228/18723",0.00420126250314149,0.0387680187739466,0.0255434380161717,"LAMB2/LAMA5/LAMA2",3
"GO:0061564","GO:0061564","axon development","4/27","467/18723",0.00425384744651784,0.0387680187739466,0.0255434380161717,"LAMB2/VCL/LAMA5/LAMA2",4
"GO:0061333","GO:0061333","renal tubule morphogenesis","2/27","75/18723",0.0052084532369464,0.0464131055114557,0.030580626022773,"LAMA5/COL4A1",2
