"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","21/27","425/19550",1.94070087954134e-30,1.35849061567894e-28,7.76280351816538e-29,"HSPG2/AGRN/LAMB2/LAMC1/NID1/NID2/EMILIN1/LAMA5/COL4A2/LAMB1/LAMA4/COL18A1/COL4A1/TGFBI/LAMA2/VWA1/VWF/COL12A1/PCOLCE/IGFBP7/BGN",21
"GO:0005604","GO:0005604","basement membrane","15/27","96/19550",1.22499438538865e-28,4.28748034886027e-27,2.4499887707773e-27,"HSPG2/AGRN/LAMB2/LAMC1/NID1/NID2/LAMA5/COL4A2/LAMB1/LAMA4/COL18A1/COL4A1/TGFBI/LAMA2/VWA1",15
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","9/27","313/19550",2.24240834293651e-10,5.23228613351853e-09,2.98987779058202e-09,"LAMB2/LAMC1/COL4A2/LAMB1/COL18A1/COL4A1/VWA1/COL12A1/IGFBP7",9
"GO:0043256","GO:0043256","laminin complex","4/27","12/19550",1.41699259250991e-09,2.47973703689235e-08,1.41699259250991e-08,"LAMB2/LAMC1/LAMA5/LAMB1",4
"GO:0005581","GO:0005581","collagen trimer","5/27","87/19550",1.16111285236713e-07,1.62555799331398e-06,9.28890281893704e-07,"EMILIN1/COL4A2/COL18A1/COL4A1/COL12A1",5
"GO:0043083","GO:0043083","synaptic cleft","3/27","17/19550",1.5769271851788e-06,1.8397483827086e-05,1.0512847901192e-05,"LAMB2/LAMA5/LAMA2",3
"GO:0031594","GO:0031594","neuromuscular junction","3/27","70/19550",0.000120898150670085,0.00120898150670085,0.00069084657525763,"LAMB2/LAMA5/LAMA2",3
"GO:0043202","GO:0043202","lysosomal lumen","3/27","97/19550",0.000317647753102604,0.00272868311675138,0.0015592474952865,"HSPG2/AGRN/BGN",3
"GO:0098644","GO:0098644","complex of collagen trimers","2/27","21/19550",0.0003795343704992,0.00272868311675138,0.0015592474952865,"COL4A2/COL4A1",2
"GO:0005796","GO:0005796","Golgi lumen","3/27","104/19550",0.000389811873821626,0.00272868311675138,0.0015592474952865,"HSPG2/AGRN/BGN",3
"GO:0042383","GO:0042383","sarcolemma","3/27","138/19550",0.000889107189429895,0.0056579548418266,0.00323311705247234,"VCL/LAMA2/BGN",3
"GO:0005775","GO:0005775","vacuolar lumen","3/27","174/19550",0.00173214515939077,0.0101041800964462,0.00577381719796924,"HSPG2/AGRN/BGN",3
"GO:0014704","GO:0014704","intercalated disc","2/27","50/19550",0.00215997951153335,0.0116306589082565,0.00664609080471799,"VCL/FHOD1",2
"GO:0001725","GO:0001725","stress fiber","2/27","71/19550",0.00430419578905333,0.0193524462877281,0.0110585407358446,"PDLIM4/FHOD1",2
"GO:0097517","GO:0097517","contractile actin filament bundle","2/27","71/19550",0.00430419578905333,0.0193524462877281,0.0110585407358446,"PDLIM4/FHOD1",2
"GO:0044291","GO:0044291","cell-cell contact zone","2/27","72/19550",0.00442341629433785,0.0193524462877281,0.0110585407358446,"VCL/FHOD1",2
"GO:0032432","GO:0032432","actin filament bundle","2/27","80/19550",0.00543169906674651,0.0216396752108934,0.0123655286919391,"PDLIM4/FHOD1",2
"GO:0042641","GO:0042641","actomyosin","2/27","81/19550",0.0055644879113726,0.0216396752108934,0.0123655286919391,"PDLIM4/FHOD1",2
"GO:0005614","GO:0005614","interstitial matrix","1/27","10/19550",0.0137283662278683,0.0480492817975391,0.0274567324557367,"VWA1",1
"GO:0005916","GO:0005916","fascia adherens","1/27","10/19550",0.0137283662278683,0.0480492817975391,0.0274567324557367,"VCL",1
