"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006099","BP","GO:0006099","tricarboxylic acid cycle","4/22","30/18723",3.83885556728375e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/NNT/SDHB",4
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","8/22","490/18723",4.81424549248949e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/ALDH2/NNT/SLC25A4/NDUFA9/CYCS/SDHB",8
"GO:0009060","BP","GO:0009060","aerobic respiration","6/22","189/18723",6.3745925302044e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:1901524","BP","GO:1901524","regulation of mitophagy","3/22","10/18723",1.68066641446736e-07,1.71993285334595e-05,9.48129609851472e-06,"VDAC1/SLC25A4/SLC25A5",3
"GO:0045333","BP","GO:0045333","cellular respiration","6/22","230/18723",2.03783513429615e-07,1.71993285334595e-05,9.48129609851472e-06,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:0098656","BP","GO:0098656","anion transmembrane transport","6/22","245/18723",2.95631286418592e-07,1.85470981459809e-05,1.0224267124624e-05,"VDAC1/SLC25A4/VDAC2/SLC25A11/SLC25A5/VDAC3",6
"GO:1903599","BP","GO:1903599","positive regulation of autophagy of mitochondrion","3/22","12/18723",3.07653286781674e-07,1.85470981459809e-05,1.0224267124624e-05,"VDAC1/SLC25A4/SLC25A5",3
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","6/22","318/18723",1.35851531659705e-06,7.16616829504945e-05,3.95041953905195e-05,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:0010822","BP","GO:0010822","positive regulation of mitochondrion organization","4/22","74/18723",1.55808795732927e-06,7.30570131103279e-05,4.02733846280431e-05,"VDAC1/SLC25A4/SLC25A5/FAM162A",4
"GO:0000423","BP","GO:0000423","mitophagy","3/22","28/18723",4.52576488659331e-06,0.000190987278214238,0.000105283583151276,"VDAC1/SLC25A4/SLC25A5",3
"GO:1990542","BP","GO:1990542","mitochondrial transmembrane transport","4/22","102/18723",5.63165074539538e-06,0.00021605060132335,0.000119099982271041,"VDAC1/SLC25A4/SLC25A5/TOMM20",4
"GO:0008637","BP","GO:0008637","apoptotic mitochondrial changes","4/22","107/18723",6.81268254827494e-06,0.000239579336281002,0.000132070424839365,"SLC25A4/VDAC2/SLC25A5/FAM162A",4
"GO:1903146","BP","GO:1903146","regulation of autophagy of mitochondrion","3/22","33/18723",7.50877745795533e-06,0.00024374646825055,0.000134367596616043,"VDAC1/SLC25A4/SLC25A5",3
"GO:0006839","BP","GO:0006839","mitochondrial transport","5/22","254/18723",9.63213547709766e-06,0.000290340083666801,0.000160052777476585,"VDAC1/SLC25A4/VDAC2/SLC25A5/TOMM20",5
"GO:0010821","BP","GO:0010821","regulation of mitochondrion organization","4/22","144/18723",2.20408291265166e-05,0.000620081992759334,0.000341826192067381,"VDAC1/SLC25A4/SLC25A5/FAM162A",4
"GO:0022900","BP","GO:0022900","electron transport chain","4/22","175/18723",4.72937887246697e-05,0.00118644251959146,0.00065403790678402,"ALDH2/NDUFA9/CYCS/SDHB",4
"GO:0015698","BP","GO:0015698","inorganic anion transport","4/22","180/18723",5.27820910386607e-05,0.00118644251959146,0.00065403790678402,"VDAC1/VDAC2/SLC25A11/VDAC3",4
"GO:0016239","BP","GO:0016239","positive regulation of macroautophagy","3/22","63/18723",5.3418028133265e-05,0.00118644251959146,0.00065403790678402,"VDAC1/SLC25A4/SLC25A5",3
"GO:0046902","BP","GO:0046902","regulation of mitochondrial membrane permeability","3/22","63/18723",5.3418028133265e-05,0.00118644251959146,0.00065403790678402,"SLC25A4/VDAC2/SLC25A5",3
"GO:0061912","BP","GO:0061912","selective autophagy","3/22","68/18723",6.71584574239876e-05,0.00141704345164614,0.000781158899510593,"VDAC1/SLC25A4/SLC25A5",3
"GO:0090559","BP","GO:0090559","regulation of membrane permeability","3/22","78/18723",0.000101173499604259,0.00203310556347606,0.00112076909336046,"SLC25A4/VDAC2/SLC25A5",3
"GO:0000422","BP","GO:0000422","autophagy of mitochondrion","3/22","81/18723",0.000113208346245484,0.0020771270485041,0.00114503636248293,"VDAC1/SLC25A4/SLC25A5",3
"GO:0061726","BP","GO:0061726","mitochondrion disassembly","3/22","81/18723",0.000113208346245484,0.0020771270485041,0.00114503636248293,"VDAC1/SLC25A4/SLC25A5",3
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","4/22","239/18723",0.000158065630568976,0.00277932067083783,0.00153212738402385,"VDAC1/NNT/HBG1/DCXR",4
"GO:0015867","BP","GO:0015867","ATP transport","2/22","17/18723",0.000177342774977091,0.00299354604161329,0.00165022119031314,"SLC25A4/SLC25A5",2
"GO:0043648","BP","GO:0043648","dicarboxylic acid metabolic process","3/22","96/18723",0.000187431224155072,0.00304215294590155,0.00167701621612433,"MDH2/GOT2/SDHB",3
"GO:1901679","BP","GO:1901679","nucleotide transmembrane transport","2/22","20/18723",0.00024722971218673,0.00386410883491851,0.00213012734476675,"SLC25A4/SLC25A5",2
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","3/22","114/18723",0.000311152278151806,0.00452780211655386,0.00249599468136294,"NDUFA9/CYCS/SDHB",3
"GO:1903008","BP","GO:1903008","organelle disassembly","3/22","114/18723",0.000311152278151806,0.00452780211655386,0.00249599468136294,"VDAC1/SLC25A4/SLC25A5",3
"GO:0007006","BP","GO:0007006","mitochondrial membrane organization","3/22","116/18723",0.000327470038152916,0.00460641187001768,0.00253932906778226,"SLC25A4/VDAC2/SLC25A5",3
"GO:0072530","BP","GO:0072530","purine-containing compound transmembrane transport","2/22","24/18723",0.000358112642615984,0.0048749527478692,0.00268736482234745,"SLC25A4/SLC25A5",2
"GO:0010508","BP","GO:0010508","positive regulation of autophagy","3/22","124/18723",0.000398248854234365,0.00525190676521569,0.00289516436795378,"VDAC1/SLC25A4/SLC25A5",3
"GO:0014850","BP","GO:0014850","response to muscle activity","2/22","27/18723",0.000454454575897215,0.00581151003117045,0.00320365107729775,"GOT2/TOMM20",2
