"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006099","GO:0006099","tricarboxylic acid cycle","4/22","30/18723",3.83885556728375e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/NNT/SDHB",4
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","8/22","490/18723",4.81424549248949e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/ALDH2/NNT/SLC25A4/NDUFA9/CYCS/SDHB",8
"GO:0009060","GO:0009060","aerobic respiration","6/22","189/18723",6.3745925302044e-08,8.96692682582086e-06,4.94310508482517e-06,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:1901524","GO:1901524","regulation of mitophagy","3/22","10/18723",1.68066641446736e-07,1.71993285334595e-05,9.48129609851472e-06,"VDAC1/SLC25A4/SLC25A5",3
"GO:0045333","GO:0045333","cellular respiration","6/22","230/18723",2.03783513429615e-07,1.71993285334595e-05,9.48129609851472e-06,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:0098656","GO:0098656","anion transmembrane transport","6/22","245/18723",2.95631286418592e-07,1.85470981459809e-05,1.0224267124624e-05,"VDAC1/SLC25A4/VDAC2/SLC25A11/SLC25A5/VDAC3",6
"GO:1903599","GO:1903599","positive regulation of autophagy of mitochondrion","3/22","12/18723",3.07653286781674e-07,1.85470981459809e-05,1.0224267124624e-05,"VDAC1/SLC25A4/SLC25A5",3
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","6/22","318/18723",1.35851531659705e-06,7.16616829504945e-05,3.95041953905195e-05,"MDH2/ACO2/NNT/NDUFA9/CYCS/SDHB",6
"GO:0010822","GO:0010822","positive regulation of mitochondrion organization","4/22","74/18723",1.55808795732927e-06,7.30570131103279e-05,4.02733846280431e-05,"VDAC1/SLC25A4/SLC25A5/FAM162A",4
"GO:0000423","GO:0000423","mitophagy","3/22","28/18723",4.52576488659331e-06,0.000190987278214238,0.000105283583151276,"VDAC1/SLC25A4/SLC25A5",3
"GO:1990542","GO:1990542","mitochondrial transmembrane transport","4/22","102/18723",5.63165074539538e-06,0.00021605060132335,0.000119099982271041,"VDAC1/SLC25A4/SLC25A5/TOMM20",4
"GO:0008637","GO:0008637","apoptotic mitochondrial changes","4/22","107/18723",6.81268254827494e-06,0.000239579336281002,0.000132070424839365,"SLC25A4/VDAC2/SLC25A5/FAM162A",4
"GO:1903146","GO:1903146","regulation of autophagy of mitochondrion","3/22","33/18723",7.50877745795533e-06,0.00024374646825055,0.000134367596616043,"VDAC1/SLC25A4/SLC25A5",3
"GO:0006839","GO:0006839","mitochondrial transport","5/22","254/18723",9.63213547709766e-06,0.000290340083666801,0.000160052777476585,"VDAC1/SLC25A4/VDAC2/SLC25A5/TOMM20",5
"GO:0010821","GO:0010821","regulation of mitochondrion organization","4/22","144/18723",2.20408291265166e-05,0.000620081992759334,0.000341826192067381,"VDAC1/SLC25A4/SLC25A5/FAM162A",4
"GO:0022900","GO:0022900","electron transport chain","4/22","175/18723",4.72937887246697e-05,0.00118644251959146,0.00065403790678402,"ALDH2/NDUFA9/CYCS/SDHB",4
"GO:0015698","GO:0015698","inorganic anion transport","4/22","180/18723",5.27820910386607e-05,0.00118644251959146,0.00065403790678402,"VDAC1/VDAC2/SLC25A11/VDAC3",4
"GO:0016239","GO:0016239","positive regulation of macroautophagy","3/22","63/18723",5.3418028133265e-05,0.00118644251959146,0.00065403790678402,"VDAC1/SLC25A4/SLC25A5",3
"GO:0046902","GO:0046902","regulation of mitochondrial membrane permeability","3/22","63/18723",5.3418028133265e-05,0.00118644251959146,0.00065403790678402,"SLC25A4/VDAC2/SLC25A5",3
"GO:0061912","GO:0061912","selective autophagy","3/22","68/18723",6.71584574239876e-05,0.00141704345164614,0.000781158899510593,"VDAC1/SLC25A4/SLC25A5",3
"GO:0090559","GO:0090559","regulation of membrane permeability","3/22","78/18723",0.000101173499604259,0.00203310556347606,0.00112076909336046,"SLC25A4/VDAC2/SLC25A5",3
"GO:0000422","GO:0000422","autophagy of mitochondrion","3/22","81/18723",0.000113208346245484,0.0020771270485041,0.00114503636248293,"VDAC1/SLC25A4/SLC25A5",3
"GO:0061726","GO:0061726","mitochondrion disassembly","3/22","81/18723",0.000113208346245484,0.0020771270485041,0.00114503636248293,"VDAC1/SLC25A4/SLC25A5",3
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","4/22","239/18723",0.000158065630568976,0.00277932067083783,0.00153212738402385,"VDAC1/NNT/HBG1/DCXR",4
"GO:0015867","GO:0015867","ATP transport","2/22","17/18723",0.000177342774977091,0.00299354604161329,0.00165022119031314,"SLC25A4/SLC25A5",2
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","3/22","96/18723",0.000187431224155072,0.00304215294590155,0.00167701621612433,"MDH2/GOT2/SDHB",3
"GO:1901679","GO:1901679","nucleotide transmembrane transport","2/22","20/18723",0.00024722971218673,0.00386410883491851,0.00213012734476675,"SLC25A4/SLC25A5",2
"GO:0022904","GO:0022904","respiratory electron transport chain","3/22","114/18723",0.000311152278151806,0.00452780211655386,0.00249599468136294,"NDUFA9/CYCS/SDHB",3
"GO:1903008","GO:1903008","organelle disassembly","3/22","114/18723",0.000311152278151806,0.00452780211655386,0.00249599468136294,"VDAC1/SLC25A4/SLC25A5",3
"GO:0007006","GO:0007006","mitochondrial membrane organization","3/22","116/18723",0.000327470038152916,0.00460641187001768,0.00253932906778226,"SLC25A4/VDAC2/SLC25A5",3
"GO:0072530","GO:0072530","purine-containing compound transmembrane transport","2/22","24/18723",0.000358112642615984,0.0048749527478692,0.00268736482234745,"SLC25A4/SLC25A5",2
"GO:0010508","GO:0010508","positive regulation of autophagy","3/22","124/18723",0.000398248854234365,0.00525190676521569,0.00289516436795378,"VDAC1/SLC25A4/SLC25A5",3
"GO:0014850","GO:0014850","response to muscle activity","2/22","27/18723",0.000454454575897215,0.00581151003117045,0.00320365107729775,"GOT2/TOMM20",2
"GO:0051503","GO:0051503","adenine nucleotide transport","2/22","28/18723",0.000489064484436494,0.00607015330682943,0.00334623068298654,"SLC25A4/SLC25A5",2
"GO:0015868","GO:0015868","purine ribonucleotide transport","2/22","29/18723",0.000524917844267681,0.00632900943659889,0.00348892762656113,"SLC25A4/SLC25A5",2
"GO:0015865","GO:0015865","purine nucleotide transport","2/22","30/18723",0.000562011953155061,0.00643788298984619,0.00354894522513347,"SLC25A4/SLC25A5",2
"GO:0015748","GO:0015748","organophosphate ester transport","3/22","140/18723",0.000567811916655786,0.00643788298984619,0.00354894522513347,"SLC25A4/SLC25A5/APOC3",3
"GO:0016241","GO:0016241","regulation of macroautophagy","3/22","141/18723",0.000579714582024064,0.00643788298984619,0.00354894522513347,"VDAC1/SLC25A4/SLC25A5",3
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","2/22","32/18723",0.00063991162985553,0.00675106769497584,0.0037215913210019,"NNT/HBG1",2
"GO:0097345","GO:0097345","mitochondrial outer membrane permeabilization","2/22","32/18723",0.00063991162985553,0.00675106769497584,0.0037215913210019,"VDAC2/SLC25A5",2
"GO:0006739","GO:0006739","NADP metabolic process","2/22","35/18723",0.000765999444760858,0.00777620703497979,0.00428670929092176,"NNT/DCXR",2
"GO:1902600","GO:1902600","proton transmembrane transport","3/22","157/18723",0.000792362328208841,0.00777620703497979,0.00428670929092176,"NNT/SLC25A4/SLC25A5",3
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","3/22","157/18723",0.000792362328208841,0.00777620703497979,0.00428670929092176,"VDAC1/NNT/DCXR",3
"GO:0006862","GO:0006862","nucleotide transport","2/22","37/18723",0.00085618556942106,0.00821159796126562,0.00452672274741756,"SLC25A4/SLC25A5",2
"GO:1902110","GO:1902110","positive regulation of mitochondrial membrane permeability involved in apoptotic process","2/22","38/18723",0.000903108886081754,0.00846915444281112,0.00466870324734661,"VDAC2/SLC25A5",2
"GO:1902686","GO:1902686","mitochondrial outer membrane permeabilization involved in programmed cell death","2/22","40/18723",0.00100060270227127,0.00917944218170599,0.00506025622887759,"VDAC2/SLC25A5",2
"GO:0035794","GO:0035794","positive regulation of mitochondrial membrane permeability","2/22","43/18723",0.00115592152905087,0.0103786996863716,0.0057213585200502,"VDAC2/SLC25A5",2
"GO:1902108","GO:1902108","regulation of mitochondrial membrane permeability involved in apoptotic process","2/22","45/18723",0.00126548857901099,0.0111257537571383,0.00613317929739974,"VDAC2/SLC25A5",2
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","4/22","427/18723",0.0014084318169118,0.012129759729322,0.00668664729403882,"VDAC1/NNT/SLC25A4/SLC25A5",4
"GO:1905710","GO:1905710","positive regulation of membrane permeability","2/22","48/18723",0.00143881812913108,0.0121436250098663,0.00669429066395724,"VDAC2/SLC25A5",2
"GO:0022411","GO:0022411","cellular component disassembly","4/22","443/18723",0.00161246090215093,0.0133423235432881,0.0073550848168288,"VDAC1/SLC25A4/SLC25A5/CTSV",4
"GO:0042180","GO:0042180","cellular ketone metabolic process","3/22","211/18723",0.00185518720815831,0.0150555577277463,0.00829952172070825,"GOT2/NDUFA9/APOC3",3
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","2/22","57/18723",0.00202279479678903,0.0158077667452772,0.00871418421228801,"NDUFA9/NDUFA11",2
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","2/22","57/18723",0.00202279479678903,0.0158077667452772,0.00871418421228801,"NDUFA9/NDUFA11",2
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","2/22","58/18723",0.0020935494390348,0.0160632338776852,0.00885501293830986,"NNT/HBG1",2
"GO:0015931","GO:0015931","nucleobase-containing compound transport","3/22","222/18723",0.00214425924547759,0.0161585250284204,0.00890754310621332,"SLC25A4/SLC25A5/TOMM20",3
"GO:0009896","GO:0009896","positive regulation of catabolic process","4/22","492/18723",0.00236520324879157,0.0175108029998253,0.00965299940873385,"VDAC1/NNT/SLC25A4/SLC25A5",4
"GO:0014823","GO:0014823","response to activity","2/22","76/18723",0.00356372013381878,0.0254896592622293,0.0140514210450304,"GOT2/TOMM20",2
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","2/22","76/18723",0.00356372013381878,0.0254896592622293,0.0140514210450304,"NNT/DCXR",2
"GO:0006919","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/22","78/18723",0.0037497086877482,0.026372951103829,0.0145383442103922,"CYCS/FAM162A",2
"GO:1901264","GO:1901264","carbohydrate derivative transport","2/22","80/18723",0.00394015048241004,0.0272580902225743,0.0150262857051358,"SLC25A4/SLC25A5",2
"GO:0016236","GO:0016236","macroautophagy","3/22","291/18723",0.00459766073392334,0.0310905343947313,0.0171389575984924,"VDAC1/SLC25A4/SLC25A5",3
"GO:0019646","GO:0019646","aerobic electron transport chain","2/22","87/18723",0.00464147788357362,0.0310905343947313,0.0171389575984924,"NDUFA9/CYCS",2
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","2/22","93/18723",0.00528519470755603,0.0348492526029476,0.0192109873416099,"NDUFA9/NDUFA11",2
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","2/22","95/18723",0.00550840266421913,0.0352203927924314,0.0194155819584119,"NDUFA9/CYCS",2
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","2/22","95/18723",0.00550840266421913,0.0352203927924314,0.0194155819584119,"NDUFA9/CYCS",2
"GO:0010506","GO:0010506","regulation of autophagy","3/22","317/18723",0.00583221319277369,0.0367342383186641,0.0202501039372032,"VDAC1/SLC25A4/SLC25A5",3
