"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046930","GO:0046930","pore complex","5/22","26/19550",7.17242235389833e-11,4.44690185941697e-09,1.73648120147012e-09,"VDAC1/SLC25A4/VDAC2/SLC25A5/VDAC3",5
"GO:0005759","GO:0005759","mitochondrial matrix","9/22","480/19550",1.12699195851576e-09,3.05131781251057e-08,1.19151629351007e-08,"MDH2/ACO2/ALDH2/GOT2/VDAC1/VDAC2/SLC25A5/NDUFA9/ECHS1",9
"GO:0005743","GO:0005743","mitochondrial inner membrane","9/22","495/19550",1.4764441028277e-09,3.05131781251057e-08,1.19151629351007e-08,"GOT2/NNT/SLC25A4/SLC25A11/SLC25A5/NDUFA9/CYCS/SDHB/NDUFA11",9
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","7/22","268/19550",1.20341004945843e-08,1.86528557666057e-07,7.28379766777473e-08,"VDAC1/SLC25A4/SLC25A5/NDUFA9/SDHB/TOMM20/NDUFA11",7
"GO:0070469","GO:0070469","respirasome","5/22","100/19550",7.77967562461309e-08,9.64679777452023e-07,3.76700082876002e-07,"NNT/NDUFA9/CYCS/SDHB/NDUFA11",5
"GO:0005746","GO:0005746","mitochondrial respirasome","4/22","89/19550",2.75696593590688e-06,2.84886480043711e-05,1.11245993905015e-05,"NNT/NDUFA9/SDHB/NDUFA11",4
"GO:0009295","GO:0009295","nucleoid","3/22","44/19550",1.5897688407074e-05,0.000123207085154824,4.81114254424608e-05,"VDAC1/VDAC2/SLC25A5",3
"GO:0042645","GO:0042645","mitochondrial nucleoid","3/22","44/19550",1.5897688407074e-05,0.000123207085154824,4.81114254424608e-05,"VDAC1/VDAC2/SLC25A5",3
"GO:0005741","GO:0005741","mitochondrial outer membrane","4/22","205/19550",7.40600725086316e-05,0.000510191610615018,0.000199225926046611,"VDAC1/VDAC2/VDAC3/TOMM20",4
"GO:0031968","GO:0031968","organelle outer membrane","4/22","230/19550",0.000115572911506935,0.000673523228530695,0.00026300567497803,"VDAC1/VDAC2/VDAC3/TOMM20",4
"GO:0019867","GO:0019867","outer membrane","4/22","232/19550",0.000119496056674801,0.000673523228530695,0.00026300567497803,"VDAC1/VDAC2/VDAC3/TOMM20",4
"GO:0098803","GO:0098803","respiratory chain complex","3/22","90/19550",0.000136369466114698,0.000704575574925942,0.000275131379003339,"NDUFA9/SDHB/NDUFA11",3
"GO:1990204","GO:1990204","oxidoreductase complex","3/22","112/19550",0.000260359536423664,0.0012417147121744,0.000484880108319373,"NDUFA9/SDHB/NDUFA11",3
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","3/22","147/19550",0.000577570238796458,0.00255781105752717,0.000998805676114176,"NDUFA9/SDHB/NDUFA11",3
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","2/22","48/19550",0.00132148828029318,0.00481954549283397,0.0018819956932968,"NDUFA9/NDUFA11",2
"GO:0030964","GO:0030964","NADH dehydrogenase complex","2/22","48/19550",0.00132148828029318,0.00481954549283397,0.0018819956932968,"NDUFA9/NDUFA11",2
"GO:0045271","GO:0045271","respiratory chain complex I","2/22","48/19550",0.00132148828029318,0.00481954549283397,0.0018819956932968,"NDUFA9/NDUFA11",2
"GO:0032592","GO:0032592","integral component of mitochondrial membrane","2/22","87/19550",0.00426796770842329,0.0142412568049289,0.00556110197815558,"SLC25A4/TOMM20",2
"GO:0098573","GO:0098573","intrinsic component of mitochondrial membrane","2/22","88/19550",0.00436425611763949,0.0142412568049289,0.00556110197815558,"SLC25A4/TOMM20",2
"GO:0005902","GO:0005902","microvillus","2/22","91/19550",0.00465915269975278,0.0144433733692336,0.00564002695233231,"DCXR/CTSV",2
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","1/22","11/19550",0.0123122338168373,0.0363502395745003,0.0141944908355434,"HBG1",1
"GO:0005833","GO:0005833","hemoglobin complex","1/22","12/19550",0.0134243240392656,0.0363502395745003,0.0141944908355434,"HBG1",1
"GO:0043204","GO:0043204","perikaryon","2/22","158/19550",0.0134847662937663,0.0363502395745003,0.0141944908355434,"GOT2/CTSV",2
"GO:0042627","GO:0042627","chylomicron","1/22","13/19550",0.0145352189553848,0.037549315634744,0.0146627208760461,"APOC3",1
"GO:0008021","GO:0008021","synaptic vesicle","2/22","206/19550",0.0222233575185944,0.0486454223355689,0.0189956657677094,"VDAC1/VDAC2",2
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","1/22","20/19550",0.0222781174269566,0.0486454223355689,0.0189956657677094,"APOC3",1
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","1/22","20/19550",0.0222781174269566,0.0486454223355689,0.0189956657677094,"APOC3",1
"GO:0044233","GO:0044233","mitochondria-associated endoplasmic reticulum membrane","1/22","20/19550",0.0222781174269566,0.0486454223355689,0.0189956657677094,"TOMM20",1
"GO:0005742","GO:0005742","mitochondrial outer membrane translocase complex","1/22","22/19550",0.0244796859238399,0.0486454223355689,0.0189956657677094,"TOMM20",1
"GO:0098858","GO:0098858","actin-based cell projection","2/22","221/19550",0.0253282466276482,0.0486454223355689,0.0189956657677094,"DCXR/CTSV",2
"GO:0031307","GO:0031307","integral component of mitochondrial outer membrane","1/22","23/19550",0.0255786948807056,0.0486454223355689,0.0189956657677094,"TOMM20",1
"GO:0098799","GO:0098799","outer mitochondrial membrane protein complex","1/22","23/19550",0.0255786948807056,0.0486454223355689,0.0189956657677094,"TOMM20",1
"GO:0070382","GO:0070382","exocytic vesicle","2/22","224/19550",0.0259695118960563,0.0486454223355689,0.0189956657677094,"VDAC1/VDAC2",2
"GO:0031306","GO:0031306","intrinsic component of mitochondrial outer membrane","1/22","24/19550",0.0266765219259572,0.0486454223355689,0.0189956657677094,"TOMM20",1
