"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008308","GO:0008308","voltage-gated anion channel activity","3/22","17/18368",1.00310608610123e-06,7.82290024144741e-05,2.74487727770085e-05,"VDAC1/VDAC2/VDAC3",3
"GO:0008509","GO:0008509","anion transmembrane transporter activity","6/22","314/18368",1.40953157503557e-06,7.82290024144741e-05,2.74487727770085e-05,"VDAC1/SLC25A4/VDAC2/SLC25A11/SLC25A5/VDAC3",6
"GO:0015301","GO:0015301","anion:anion antiporter activity","3/22","29/18368",5.34025245590688e-06,0.000164530048706101,5.77298416512636e-05,"SLC25A4/SLC25A11/SLC25A5",3
"GO:0022829","GO:0022829","wide pore channel activity","3/22","30/18368",5.92901076418383e-06,0.000164530048706101,5.77298416512636e-05,"VDAC1/VDAC2/VDAC3",3
"GO:0140323","GO:0140323","solute:anion antiporter activity","3/22","33/18368",7.94912751809747e-06,0.000176470630901764,6.1919519614654e-05,"SLC25A4/SLC25A11/SLC25A5",3
"GO:0009055","GO:0009055","electron transfer activity","4/22","126/18368",1.40320729410832e-05,0.00025959334941004,9.10853857579087e-05,"ALDH2/NDUFA9/CYCS/SDHB",4
"GO:0015485","GO:0015485","cholesterol binding","3/22","50/18368",2.81820183029234e-05,0.000407355333390417,0.000142931695926462,"VDAC1/VDAC2/APOC3",3
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","4/22","152/18368",2.93589429470571e-05,0.000407355333390417,0.000142931695926462,"VDAC1/VDAC2/SLC25A11/VDAC3",4
"GO:0032934","GO:0032934","sterol binding","3/22","60/18368",4.8823216263731e-05,0.000602153000586016,0.000211281754591584,"VDAC1/VDAC2/APOC3",3
"GO:0005347","GO:0005347","ATP transmembrane transporter activity","2/22","11/18368",7.48284083617933e-05,0.000830595332815905,0.000291436958882774,"SLC25A4/SLC25A5",2
"GO:0022804","GO:0022804","active transmembrane transporter activity","5/22","406/18368",9.93769387584524e-05,0.00100280365474438,0.000351860931489257,"SLC25A4/SLC25A11/SLC25A5/NDUFA9/TOMM20",5
"GO:0005253","GO:0005253","anion channel activity","3/22","87/18368",0.000148093256620753,0.00117232650610169,0.000411342633719892,"VDAC1/VDAC2/VDAC3",3
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","3/22","88/18368",0.000153201200328401,0.00117232650610169,0.000411342633719892,"NNT/NDUFA9/DCXR",3
"GO:0015297","GO:0015297","antiporter activity","3/22","89/18368",0.000158422500824553,0.00117232650610169,0.000411342633719892,"SLC25A4/SLC25A11/SLC25A5",3
"GO:0043178","GO:0043178","alcohol binding","3/22","89/18368",0.000158422500824553,0.00117232650610169,0.000411342633719892,"VDAC1/VDAC2/APOC3",3
"GO:0000295","GO:0000295","adenine nucleotide transmembrane transporter activity","2/22","18/18368",0.000207104127968562,0.00135226812967708,0.00047448004550073,"SLC25A4/SLC25A5",2
"GO:0005346","GO:0005346","purine ribonucleotide transmembrane transporter activity","2/22","18/18368",0.000207104127968562,0.00135226812967708,0.00047448004550073,"SLC25A4/SLC25A5",2
"GO:0005496","GO:0005496","steroid binding","3/22","100/18368",0.000223656216098436,0.00137921333260702,0.00048393450266913,"VDAC1/VDAC2/APOC3",3
"GO:0097001","GO:0097001","ceramide binding","2/22","20/18368",0.000256815150970239,0.00150034114514192,0.000526435489523482,"VDAC1/VDAC2",2
"GO:0015216","GO:0015216","purine nucleotide transmembrane transporter activity","2/22","21/18368",0.000283642443075059,0.00157421555906658,0.000552356336514589,"SLC25A4/SLC25A5",2
