"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006956","GO:0006956","complement activation","17/51","130/18723",8.31400788493688e-25,8.01470360107916e-22,5.20719441214468e-22,"C3/A2M/IGHG3/IGKC/IGHA1/IGHG2/IGHG4/CFH/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",17
"GO:0006959","GO:0006959","humoral immune response","21/51","317/18723",2.36247623942797e-24,1.13871354740428e-21,7.39828085505074e-22,"C3/TF/A2M/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/F2/HRG/CFH/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",21
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","16/51","121/18723",1.96883290838423e-23,6.32651641227466e-21,4.1103704578548e-21,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",16
"GO:0006958","GO:0006958","complement activation, classical pathway","15/51","108/18723",2.54794594342082e-22,6.14054972364417e-20,3.9895469377247e-20,"C3/IGHG3/IGKC/IGHA1/IGHG2/IGHG4/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",15
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","16/51","207/18723",1.41574825556648e-19,2.72956263673216e-17,1.77341097276222e-17,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",16
"GO:0019724","GO:0019724","B cell mediated immunity","16/51","210/18723",1.78829327382168e-19,2.8731911932735e-17,1.86672718934018e-17,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",16
"GO:0002449","GO:0002449","lymphocyte mediated immunity","17/51","350/18723",2.34162243424555e-17,3.22474860944672e-15,2.0951358622197e-15,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/AZGP1/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",17
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","17/51","356/18723",3.11458617202407e-17,3.75307633728901e-15,2.43839312151885e-15,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/AZGP1/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",17
"GO:0002443","GO:0002443","leukocyte mediated immunity","18/51","440/18723",4.63359482866209e-17,4.96309490536695e-15,3.22454844801631e-15,"C3/IGHG3/IGKC/IGHA1/HPX/IGHG2/IGHG4/F2/AZGP1/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",18
"GO:0002253","GO:0002253","activation of immune response","17/51","375/18723",7.43955534821585e-17,7.17173135568008e-15,4.65951098125098e-15,"C3/A2M/IGHG3/IGKC/IGHA1/IGHG2/IGHG4/CFH/C1QB/SERPING1/C1QC/C9/IGHV3-74/IGHV3-23/C1QA/IGHV1-18/IGHV1-69-2",17
