"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072562","GO:0072562","blood microparticle","37/51","146/19550",1.70300326551306e-69,1.43052274303097e-67,1.02180195930784e-67,"ALB/C3/TF/A2M/APOA1/ITIH1/ITIH2/IGHG3/IGKC/IGHA1/HPX/IGHG2/SERPINA3/AHSG/CP/SERPINC1/APOA4/IGHG4/PLG/F2/GC/HRG/A1BG/CFH/ORM2/KNG1/C1QB/SERPINF2/APOA2/SERPING1/C1QC/C9/AFM/IGHV3-23/IGKV2-40/PON1/IGKV3D-11",37
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","22/51","425/19550",1.33822212067336e-23,5.62053290682813e-22,4.01466636202009e-22,"A2M/APOA1/ITIH1/SERPINA1/ITIH2/HPX/SERPINA3/AHSG/SERPINC1/APOA4/PLG/F2/HRG/A1BG/ORM2/AZGP1/KNG1/C1QB/SERPINF2/SERPING1/C1QC/C1QA",22
"GO:0031093","GO:0031093","platelet alpha granule lumen","12/51","67/19550",1.32617457293143e-19,3.71328880420802e-18,2.65234914586287e-18,"ALB/A2M/SERPINA1/SERPINA3/AHSG/PLG/HRG/A1BG/ORM2/KNG1/SERPINF2/SERPING1",12
"GO:0034774","GO:0034774","secretory granule lumen","17/51","322/19550",2.821380254914e-18,5.1242987520213e-17,3.66021339430093e-17,"ALB/C3/TF/A2M/APOA1/SERPINA1/FABP5/TTR/SERPINA3/AHSG/PLG/HRG/A1BG/ORM2/KNG1/SERPINF2/SERPING1",17
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","17/51","325/19550",3.29996724928197e-18,5.1242987520213e-17,3.66021339430093e-17,"ALB/C3/TF/A2M/APOA1/SERPINA1/FABP5/TTR/SERPINA3/AHSG/PLG/HRG/A1BG/ORM2/KNG1/SERPINF2/SERPING1",17
"GO:0031983","GO:0031983","vesicle lumen","17/51","327/19550",3.66021339430093e-18,5.1242987520213e-17,3.66021339430093e-17,"ALB/C3/TF/A2M/APOA1/SERPINA1/FABP5/TTR/SERPINA3/AHSG/PLG/HRG/A1BG/ORM2/KNG1/SERPINF2/SERPING1",17
"GO:0031091","GO:0031091","platelet alpha granule","12/51","91/19550",6.67424708239655e-18,8.00909649887586e-17,5.72078321348276e-17,"ALB/A2M/SERPINA1/SERPINA3/AHSG/PLG/HRG/A1BG/ORM2/KNG1/SERPINF2/SERPING1",12
"GO:0019814","GO:0019814","immunoglobulin complex","13/51","167/19550",2.88815622701084e-16,3.03256403836138e-15,2.16611717025813e-15,"IGHG3/IGKC/IGHA1/IGHG2/IGHG4/IGKV3D-20/IGHV3-74/IGHV3-23/IGKV2-40/IGHV1-18/IGHV1-69-2/IGKV3D-11/IGKV3D-7",13
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","14/51","313/19550",4.12903589221293e-14,3.85376683273207e-13,2.75269059480862e-13,"ALB/C3/TF/APOA1/SERPINA1/ITIH2/AHSG/CP/SERPINC1/APOA4/F2/KNG1/APOA2/SERPING1",14
"GO:0042571","GO:0042571","immunoglobulin complex, circulating","9/51","77/19550",3.74893259855789e-13,3.14910338278862e-12,2.24935955913473e-12,"IGHG3/IGKC/IGHA1/IGHG2/IGHG4/IGHV3-74/IGHV3-23/IGHV1-18/IGHV1-69-2",9
"GO:0009897","GO:0009897","external side of plasma membrane","14/51","421/19550",2.32938910686712e-12,1.77880622706216e-11,1.27057587647297e-11,"TF/IGHG3/IGKC/IGHA1/IGHG2/IGHG4/PLG/F2/CD14/AZGP1/IGHV3-74/IGHV3-23/IGHV1-18/IGHV1-69-2",14
"GO:0034364","GO:0034364","high-density lipoprotein particle","4/51","27/19550",6.89565202846613e-07,4.82695641992629e-06,3.44782601423306e-06,"APOA1/APOA4/APOA2/PON1",4
"GO:0034358","GO:0034358","plasma lipoprotein particle","4/51","36/19550",2.27474116026546e-06,1.36484469615928e-05,9.74889068685199e-06,"APOA1/APOA4/APOA2/PON1",4
"GO:1990777","GO:1990777","lipoprotein particle","4/51","36/19550",2.27474116026546e-06,1.36484469615928e-05,9.74889068685199e-06,"APOA1/APOA4/APOA2/PON1",4
"GO:0032994","GO:0032994","protein-lipid complex","4/51","39/19550",3.15802432303101e-06,1.76849362089737e-05,1.2632097292124e-05,"APOA1/APOA4/APOA2/PON1",4
"GO:0035578","GO:0035578","azurophil granule lumen","5/51","91/19550",3.87949145723837e-06,2.03673301505014e-05,1.45480929646439e-05,"C3/FABP5/TTR/SERPINA3/ORM2",5
"GO:0042627","GO:0042627","chylomicron","3/51","13/19550",4.69597506296625e-06,2.3203641487598e-05,1.65740296339985e-05,"APOA1/APOA4/APOA2",3
"GO:0005775","GO:0005775","vacuolar lumen","6/51","174/19550",5.89173933876868e-06,2.74947835809205e-05,1.96391311292289e-05,"C3/FABP5/TTR/SERPINA3/GC/ORM2",6
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","3/51","20/19550",1.84784922157364e-05,7.76096673060927e-05,5.54354766472091e-05,"APOA1/APOA4/APOA2",3
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","3/51","20/19550",1.84784922157364e-05,7.76096673060927e-05,5.54354766472091e-05,"APOA1/APOA4/APOA2",3
"GO:0005766","GO:0005766","primary lysosome","5/51","155/19550",5.1402869697723e-05,0.000196265502482215,0.000140189644630154,"C3/FABP5/TTR/SERPINA3/ORM2",5
"GO:0042582","GO:0042582","azurophil granule","5/51","155/19550",5.1402869697723e-05,0.000196265502482215,0.000140189644630154,"C3/FABP5/TTR/SERPINA3/ORM2",5
"GO:0005581","GO:0005581","collagen trimer","3/51","87/19550",0.00151926603651911,0.00554862378554804,0.00396330270396288,"C1QB/C1QC/C1QA",3
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/51","23/19550",0.00162990426028493,0.00570466491099726,0.00407476065071233,"APOA1/HPX",2
