"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046514","GO:0046514","ceramide catabolic process","5/53","21/18723",2.94476013084114e-09,2.86525160730843e-06,2.4890972474373e-06,"ASAH1/HEXB/HEXA/GM2A/GALC",5
"GO:0030149","GO:0030149","sphingolipid catabolic process","5/53","31/18723",2.40680352158256e-08,1.17090991324991e-05,1.01719117254252e-05,"ASAH1/HEXB/HEXA/GM2A/GALC",5
"GO:0046466","GO:0046466","membrane lipid catabolic process","5/53","36/18723",5.28333305604991e-08,1.36408457763477e-05,1.18500558861981e-05,"ASAH1/HEXB/HEXA/GM2A/GALC",5
"GO:0046479","GO:0046479","glycosphingolipid catabolic process","4/53","14/18723",5.60774749284593e-08,1.36408457763477e-05,1.18500558861981e-05,"HEXB/HEXA/GM2A/GALC",4
"GO:0019377","GO:0019377","glycolipid catabolic process","4/53","16/18723",1.01532654991966e-07,1.97582546614365e-05,1.71643625175892e-05,"HEXB/HEXA/GM2A/GALC",4
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","7/53","172/18723",5.27653155813377e-07,8.55677534344027e-05,7.43342954593232e-05,"CD44/TYMP/HEXB/HEXA/GM2A/GALC/GALT",7
"GO:0006665","GO:0006665","sphingolipid metabolic process","6/53","155/18723",4.86452509307385e-06,0.000676168987937265,0.000587400548832827,"PSAP/ASAH1/HEXB/HEXA/GM2A/GALC",6
"GO:0006672","GO:0006672","ceramide metabolic process","5/53","102/18723",1.01373327604805e-05,0.00123295309699345,0.00107108923771919,"ASAH1/HEXB/HEXA/GM2A/GALC",5
"GO:0006687","GO:0006687","glycosphingolipid metabolic process","4/53","56/18723",1.88441689435832e-05,0.00203726404245627,0.00176980908323945,"HEXB/HEXA/GM2A/GALC",4
"GO:0006643","GO:0006643","membrane lipid metabolic process","6/53","203/18723",2.26601657916139e-05,0.00220483413152403,0.00191538032954379,"PSAP/ASAH1/HEXB/HEXA/GM2A/GALC",6
"GO:0001573","GO:0001573","ganglioside metabolic process","3/53","26/18723",5.31810135050012e-05,0.00470410237639692,0.00408654103775272,"HEXB/HEXA/GM2A",3
"GO:0006664","GO:0006664","glycolipid metabolic process","4/53","100/18723",0.000183511717483477,0.0142717258825539,0.0123981131429553,"HEXB/HEXA/GM2A/GALC",4
"GO:1903509","GO:1903509","liposaccharide metabolic process","4/53","101/18723",0.000190680818574718,0.0142717258825539,0.0123981131429553,"HEXB/HEXA/GM2A/GALC",4
"GO:0044242","GO:0044242","cellular lipid catabolic process","5/53","214/18723",0.000341986033769431,0.0237680293469755,0.0206477282042747,"ASAH1/HEXB/HEXA/GM2A/GALC",5
"GO:0044706","GO:0044706","multi-multicellular organism process","5/53","220/18723",0.000388206385352814,0.0243488449055841,0.0211522934593867,"CTSB/CAPN2/TPPP3/HEXB/ARHGDIB",5
"GO:0032984","GO:0032984","protein-containing complex disassembly","5/53","224/18723",0.000421547156830881,0.0243488449055841,0.0211522934593867,"MAP1B/VCP/CAPG/HMGA1/ARID1A",5
"GO:0009313","GO:0009313","oligosaccharide catabolic process","2/53","11/18723",0.000425416611916681,0.0243488449055841,0.0211522934593867,"HEXB/GM2A",2
