"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005775","GO:0005775","vacuolar lumen","13/53","174/19550",8.62941185045777e-16,1.34911004140667e-13,1.02282152262035e-13,"VCP/CTSD/CTSB/DPP7/PSAP/ASAH1/HEXB/HEXA/RNASET2/GM2A/MAN2B2/GALC/EPDR1",13
"GO:0043202","GO:0043202","lysosomal lumen","11/53","97/19550",1.60608338262699e-15,1.34911004140667e-13,1.02282152262035e-13,"CTSD/CTSB/PSAP/ASAH1/HEXB/HEXA/RNASET2/GM2A/MAN2B2/GALC/EPDR1",11
"GO:0005766","GO:0005766","primary lysosome","8/53","155/19550",8.5299105143991e-09,3.58256241604762e-07,2.71610308484814e-07,"VCP/DPP7/PSAP/HEXB/LAMP1/HEXA/RNASET2/GM2A",8
"GO:0042582","GO:0042582","azurophil granule","8/53","155/19550",8.5299105143991e-09,3.58256241604762e-07,2.71610308484814e-07,"VCP/DPP7/PSAP/HEXB/LAMP1/HEXA/RNASET2/GM2A",8
"GO:0101002","GO:0101002","ficolin-1-rich granule","7/53","185/19550",6.47344928585258e-07,2.17507896004647e-05,1.64902602860666e-05,"VCP/CTSD/CTSB/COTL1/ASAH1/LAMP1/CD58",7
"GO:0035578","GO:0035578","azurophil granule lumen","5/53","91/19550",4.70471818525098e-06,0.000131732109187028,9.987208779217e-05,"VCP/DPP7/HEXB/RNASET2/GM2A",5
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","5/53","124/19550",2.12911799330317e-05,0.000459627800921894,0.000348464686162588,"VCP/CTSD/CTSB/COTL1/ASAH1",5
"GO:0034774","GO:0034774","secretory granule lumen","7/53","322/19550",2.4791688333116e-05,0.000459627800921894,0.000348464686162588,"VCP/CTSD/COTL1/DPP7/HEXB/RNASET2/GM2A",7
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","7/53","325/19550",2.63068484072739e-05,0.000459627800921894,0.000348464686162588,"VCP/CTSD/COTL1/DPP7/HEXB/RNASET2/GM2A",7
"GO:0031983","GO:0031983","vesicle lumen","7/53","327/19550",2.73587976739222e-05,0.000459627800921894,0.000348464686162588,"VCP/CTSD/COTL1/DPP7/HEXB/RNASET2/GM2A",7
"GO:0042470","GO:0042470","melanosome","4/53","109/19550",0.000216946669390161,0.00303725337146225,0.00230267956107101,"CTSD/CAPG/CTSB/LAMP1",4
"GO:0048770","GO:0048770","pigment granule","4/53","109/19550",0.000216946669390161,0.00303725337146225,0.00230267956107101,"CTSD/CAPG/CTSB/LAMP1",4
"GO:0070820","GO:0070820","tertiary granule","4/53","164/19550",0.00101511514054641,0.0131184110470613,0.00994566251061665,"CTSD/ASAH1/LAMP1/CD58",4
"GO:0030667","GO:0030667","secretory granule membrane","5/53","311/19550",0.00151565119524487,0.0181878143429384,0.0137890071146337,"CD44/RAB6A/PSAP/LAMP1/CD58",5
