"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","BP","GO:0002181","cytoplasmic translation","15/21","148/18723",7.39802604340292e-28,8.72967073121545e-26,5.99629479307395e-26,"RPS8/RPL6/RPS9/RPL23A/RPS16/EIF3J/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",15
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","10/21","463/18723",2.14679904390075e-11,1.26661143590144e-09,8.7001855989662e-10,"RPS8/RPL6/RPL23A/RPS16/EIF3J/RPL10A/RPL14/RPL13A/RPL35/RPL35A",10
"GO:0042273","BP","GO:0042273","ribosomal large subunit biogenesis","6/21","72/18723",1.3552260629485e-10,5.33055584759743e-09,3.66148795954507e-09,"RPL6/RPL23A/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0042254","BP","GO:0042254","ribosome biogenesis","8/21","299/18723",6.54679025950227e-10,1.93130312655317e-08,1.3265864473202e-08,"RPS8/RPL6/RPL23A/RPS16/RPL10A/RPL14/RPL35/RPL35A",8
"GO:0006364","BP","GO:0006364","rRNA processing","6/21","225/18723",1.31499432057664e-07,3.10338659656088e-06,2.13167500388214e-06,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0016072","BP","GO:0016072","rRNA metabolic process","6/21","236/18723",1.74327405858331e-07,3.4284389818805e-06,2.35494916685815e-06,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0034470","BP","GO:0034470","ncRNA processing","6/21","395/18723",3.52211892553494e-06,5.93728618875891e-05,4.07824296640888e-05,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0034660","BP","GO:0034660","ncRNA metabolic process","6/21","485/18723",1.14162873578201e-05,0.000168390238527847,0.000115665016651599,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0022618","BP","GO:0022618","ribonucleoprotein complex assembly","4/21","220/18723",9.48866661757666e-05,0.00124406962319338,0.000854534888366553,"RPL6/RPL23A/EIF3J/RPL13A",4
"GO:0071826","BP","GO:0071826","ribonucleoprotein complex subunit organization","4/21","227/18723",0.00010709544900822,0.001263726298297,0.00086803679722452,"RPL6/RPL23A/EIF3J/RPL13A",4
"GO:0000027","BP","GO:0000027","ribosomal large subunit assembly","2/21","27/18723",0.000413508154380761,0.00437598584766426,0.0030058065144527,"RPL6/RPL23A",2
"GO:0000470","BP","GO:0000470","maturation of LSU-rRNA","2/21","28/18723",0.000445015509931959,0.00437598584766426,0.0030058065144527,"RPL10A/RPL35",2
"GO:0002183","BP","GO:0002183","cytoplasmic translational initiation","2/21","34/18723",0.000657786269065003,0.00597067536535925,0.00410117754801661,"EIF3J/RPL13A",2
"GO:0000462","BP","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","2/21","37/18723",0.000779319689249084,0.006568551666528,0.0045118508324947,"RPS8/RPS16",2
"GO:0030490","BP","GO:0030490","maturation of SSU-rRNA","2/21","50/18723",0.00142089930069845,0.0111777411654945,0.00767784183535301,"RPS8/RPS16",2
"GO:0042255","BP","GO:0042255","ribosome assembly","2/21","61/18723",0.00210694243061748,0.0155387004258039,0.0106733267866807,"RPL6/RPL23A",2
"GO:0042274","BP","GO:0042274","ribosomal small subunit biogenesis","2/21","73/18723",0.00300130364444163,0.020832578237889,0.0143096210911459,"RPS8/RPS16",2
"GO:0140694","BP","GO:0140694","non-membrane-bounded organelle assembly","3/21","367/18723",0.00764433095382128,0.04749847262282,0.0326260695089843,"RPL6/RPL23A/RCC1",3
"GO:0006413","BP","GO:0006413","translational initiation","2/21","118/18723",0.00764805915113203,0.04749847262282,0.0326260695089843,"EIF3J/RPL13A",2
"GO:0022626","CC","GO:0022626","cytosolic ribosome","14/21","102/19550",4.93497744907964e-28,2.664887822503e-26,1.09088975190181e-26,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0044391","CC","GO:0044391","ribosomal subunit","14/21","180/19550",2.06926669880083e-24,5.58702008676223e-23,2.28708424604302e-23,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0005840","CC","GO:0005840","ribosome","14/21","240/19550",1.29891278892299e-22,2.33804302006139e-21,9.57093633943257e-22,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","10/21","58/19550",8.00826209276135e-21,1.08111538252278e-19,4.42561852494706e-20,"RPL6/RPL23A/RPL17/RPL10A/RPL18A/RPL14/RPL13A/RPL21/RPL35/RPL35A",10
"GO:0015934","CC","GO:0015934","large ribosomal subunit","10/21","113/19550",9.2636797546007e-18,1.00047741349688e-16,4.0955215757182e-17,"RPL6/RPL23A/RPL17/RPL10A/RPL18A/RPL14/RPL13A/RPL21/RPL35/RPL35A",10
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit","4/21","42/19550",1.07220652338051e-07,9.64985871042463e-07,3.95023455982295e-07,"RPS8/RPS9/RPS16/RPS12",4
"GO:0005844","CC","GO:0005844","polysome","4/21","66/19550",6.78951649657018e-07,5.23762701163986e-06,2.14405784102216e-06,"RPL6/VBP1/RPL10A/RPL18A",4
"GO:0015935","CC","GO:0015935","small ribosomal subunit","4/21","71/19550",9.12142525302656e-07,6.15696204579293e-06,2.52039381991523e-06,"RPS8/RPS9/RPS16/RPS12",4
"GO:0005925","CC","GO:0005925","focal adhesion","6/21","418/19550",3.80953313704636e-06,2.26346694362977e-05,9.2656541552096e-06,"RPS8/RPL6/RPS9/RPS16/RPL10A/RPL13A",6
"GO:0030055","CC","GO:0030055","cell-substrate junction","6/21","425/19550",4.19160545116625e-06,2.26346694362977e-05,9.2656541552096e-06,"RPS8/RPL6/RPS9/RPS16/RPL10A/RPL13A",6
