"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","15/21","148/18723",7.39802604340292e-28,8.72967073121545e-26,5.99629479307395e-26,"RPS8/RPL6/RPS9/RPL23A/RPS16/EIF3J/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",15
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","10/21","463/18723",2.14679904390075e-11,1.26661143590144e-09,8.7001855989662e-10,"RPS8/RPL6/RPL23A/RPS16/EIF3J/RPL10A/RPL14/RPL13A/RPL35/RPL35A",10
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","6/21","72/18723",1.3552260629485e-10,5.33055584759743e-09,3.66148795954507e-09,"RPL6/RPL23A/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0042254","GO:0042254","ribosome biogenesis","8/21","299/18723",6.54679025950227e-10,1.93130312655317e-08,1.3265864473202e-08,"RPS8/RPL6/RPL23A/RPS16/RPL10A/RPL14/RPL35/RPL35A",8
"GO:0006364","GO:0006364","rRNA processing","6/21","225/18723",1.31499432057664e-07,3.10338659656088e-06,2.13167500388214e-06,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0016072","GO:0016072","rRNA metabolic process","6/21","236/18723",1.74327405858331e-07,3.4284389818805e-06,2.35494916685815e-06,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0034470","GO:0034470","ncRNA processing","6/21","395/18723",3.52211892553494e-06,5.93728618875891e-05,4.07824296640888e-05,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0034660","GO:0034660","ncRNA metabolic process","6/21","485/18723",1.14162873578201e-05,0.000168390238527847,0.000115665016651599,"RPS8/RPS16/RPL10A/RPL14/RPL35/RPL35A",6
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","4/21","220/18723",9.48866661757666e-05,0.00124406962319338,0.000854534888366553,"RPL6/RPL23A/EIF3J/RPL13A",4
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","4/21","227/18723",0.00010709544900822,0.001263726298297,0.00086803679722452,"RPL6/RPL23A/EIF3J/RPL13A",4
"GO:0000027","GO:0000027","ribosomal large subunit assembly","2/21","27/18723",0.000413508154380761,0.00437598584766426,0.0030058065144527,"RPL6/RPL23A",2
"GO:0000470","GO:0000470","maturation of LSU-rRNA","2/21","28/18723",0.000445015509931959,0.00437598584766426,0.0030058065144527,"RPL10A/RPL35",2
"GO:0002183","GO:0002183","cytoplasmic translational initiation","2/21","34/18723",0.000657786269065003,0.00597067536535925,0.00410117754801661,"EIF3J/RPL13A",2
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","2/21","37/18723",0.000779319689249084,0.006568551666528,0.0045118508324947,"RPS8/RPS16",2
"GO:0030490","GO:0030490","maturation of SSU-rRNA","2/21","50/18723",0.00142089930069845,0.0111777411654945,0.00767784183535301,"RPS8/RPS16",2
"GO:0042255","GO:0042255","ribosome assembly","2/21","61/18723",0.00210694243061748,0.0155387004258039,0.0106733267866807,"RPL6/RPL23A",2
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","2/21","73/18723",0.00300130364444163,0.020832578237889,0.0143096210911459,"RPS8/RPS16",2
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","3/21","367/18723",0.00764433095382128,0.04749847262282,0.0326260695089843,"RPL6/RPL23A/RCC1",3
"GO:0006413","GO:0006413","translational initiation","2/21","118/18723",0.00764805915113203,0.04749847262282,0.0326260695089843,"EIF3J/RPL13A",2
