"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","14/21","102/19550",4.93497744907964e-28,2.664887822503e-26,1.09088975190181e-26,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0044391","GO:0044391","ribosomal subunit","14/21","180/19550",2.06926669880083e-24,5.58702008676223e-23,2.28708424604302e-23,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0005840","GO:0005840","ribosome","14/21","240/19550",1.29891278892299e-22,2.33804302006139e-21,9.57093633943257e-22,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","10/21","58/19550",8.00826209276135e-21,1.08111538252278e-19,4.42561852494706e-20,"RPL6/RPL23A/RPL17/RPL10A/RPL18A/RPL14/RPL13A/RPL21/RPL35/RPL35A",10
"GO:0015934","GO:0015934","large ribosomal subunit","10/21","113/19550",9.2636797546007e-18,1.00047741349688e-16,4.0955215757182e-17,"RPL6/RPL23A/RPL17/RPL10A/RPL18A/RPL14/RPL13A/RPL21/RPL35/RPL35A",10
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","4/21","42/19550",1.07220652338051e-07,9.64985871042463e-07,3.95023455982295e-07,"RPS8/RPS9/RPS16/RPS12",4
"GO:0005844","GO:0005844","polysome","4/21","66/19550",6.78951649657018e-07,5.23762701163986e-06,2.14405784102216e-06,"RPL6/VBP1/RPL10A/RPL18A",4
"GO:0015935","GO:0015935","small ribosomal subunit","4/21","71/19550",9.12142525302656e-07,6.15696204579293e-06,2.52039381991523e-06,"RPS8/RPS9/RPS16/RPS12",4
"GO:0005925","GO:0005925","focal adhesion","6/21","418/19550",3.80953313704636e-06,2.26346694362977e-05,9.2656541552096e-06,"RPS8/RPL6/RPS9/RPS16/RPL10A/RPL13A",6
"GO:0030055","GO:0030055","cell-substrate junction","6/21","425/19550",4.19160545116625e-06,2.26346694362977e-05,9.2656541552096e-06,"RPS8/RPL6/RPS9/RPS16/RPL10A/RPL13A",6
"GO:0042788","GO:0042788","polysomal ribosome","3/21","32/19550",5.19290329300232e-06,2.5492434347466e-05,1.04354994404831e-05,"RPL6/RPL10A/RPL18A",3
"GO:0030127","GO:0030127","COPII vesicle coat","2/21","15/19550",0.000114421770748759,0.000514897968369416,0.000210776946116135,"TMED7/SEC13",2
"GO:0014069","GO:0014069","postsynaptic density","4/21","330/19550",0.000380181746857137,0.00155232108040898,0.00063545307385163,"RPL6/RPL10A/RPL18A/RPL14",4
"GO:0032279","GO:0032279","asymmetric synapse","4/21","335/19550",0.000402453613439365,0.00155232108040898,0.00063545307385163,"RPL6/RPL10A/RPL18A/RPL14",4
"GO:0099572","GO:0099572","postsynaptic specialization","4/21","356/19550",0.000506318472689338,0.00180098620469926,0.000737245814789169,"RPL6/RPL10A/RPL18A/RPL14",4
"GO:0098984","GO:0098984","neuron to neuron synapse","4/21","361/19550",0.000533625542133113,0.00180098620469926,0.000737245814789169,"RPL6/RPL10A/RPL18A/RPL14",4
"GO:0030120","GO:0030120","vesicle coat","2/21","54/19550",0.00152053167433077,0.00482992414199186,0.00197716192947035,"TMED7/SEC13",2
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","2/21","62/19550",0.00199894454484436,0.00599683363453308,0.00245484417787904,"TMED7/SEC13",2
"GO:0030117","GO:0030117","membrane coat","2/21","89/19550",0.00406794835873471,0.0109834605685837,0.00449615344912783,"TMED7/SEC13",2
"GO:0048475","GO:0048475","coated membrane","2/21","89/19550",0.00406794835873471,0.0109834605685837,0.00449615344912783,"TMED7/SEC13",2
"GO:0030134","GO:0030134","COPII-coated ER to Golgi transport vesicle","2/21","94/19550",0.00452596828113515,0.0116382041514904,0.004764177138037,"TMED7/SEC13",2
"GO:0030126","GO:0030126","COPI vesicle coat","1/21","13/19550",0.0138787810504056,0.0340660989419047,0.0139451867013645,"TMED7",1
"GO:0030662","GO:0030662","coated vesicle membrane","2/21","181/19550",0.0159480374104776,0.0345548740418215,0.0141452700755994,"TMED7/SEC13",2
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","1/21","15/19550",0.0159976268712136,0.0345548740418215,0.0141452700755994,"EIF3J",1
"GO:0033290","GO:0033290","eukaryotic 48S preinitiation complex","1/21","15/19550",0.0159976268712136,0.0345548740418215,0.0141452700755994,"EIF3J",1
"GO:0016282","GO:0016282","eukaryotic 43S preinitiation complex","1/21","17/19550",0.0181121363497539,0.0369664089355116,0.0151324481022562,"EIF3J",1
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","1/21","18/19550",0.0191677675961912,0.0369664089355116,0.0151324481022562,"TMED7",1
"GO:0070993","GO:0070993","translation preinitiation complex","1/21","18/19550",0.0191677675961912,0.0369664089355116,0.0151324481022562,"EIF3J",1
"GO:0030658","GO:0030658","transport vesicle membrane","2/21","212/19550",0.0214646506453347,0.0399686598223474,0.0163614396933586,"TMED7/SEC13",2
